dataset,seed,task,group,phase,n,real_norm_null,real_norm_median,real_norm_min,real_norm_max,weighted_FD_norm_null,weighted_FD_norm_median,weighted_FD_norm_min,weighted_FD_norm_max,weighted_ratio_null,weighted_ratio_median,weighted_ratio_min,weighted_ratio_max,cosine_null,cosine_median,cosine_min,cosine_max,total_norm_null,total_norm_median,total_norm_min,total_norm_max,total_real_cosine_null,total_real_cosine_median,total_real_cosine_min,total_real_cosine_max,FD_dominant_count,opposed_count,total_against_real_count,real_zero_count,FD_zero_count
HK,1993,8,few,epoch2to10,9,0,1.004528933267557e-06,1.2908150138586985e-08,0.005522582884793709,0,0.046315036109477584,0.009683609074645666,0.4782091608541183,0,12015.25213500469,4.568498195075013,37047071.479637004,0,-0.326242364577439,-0.615381479178601,0.10384392895055942,0,0.04631503154119971,0.009683461777111624,0.47820915706708655,0,-0.3222374677714134,-0.615296385836462,0.10392625794372981,9,8,8,0,0
HK,1993,9,main,epoch1,1,0,4.324265418547431,4.324265418547431,4.324265418547431,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.324265418547431,4.324265418547431,4.324265418547431,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,9,few,epoch1,1,0,8.782013227698307,8.782013227698307,8.782013227698307,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,8.782013227698307,8.782013227698307,8.782013227698307,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,9,main,epoch2to10,9,0,2.0095909662182187e-14,7.79449123810702e-20,1.4257318189104368e-07,0,0.07659279877939881,0.03318006981627867,0.2832816887396453,0,8082468727086.281,1337850.8089857278,9.826529588607278e+17,0,-0.0808457084183305,-0.349661267818194,0.0752137801961466,0,0.07659279877939881,0.03318006597766972,0.28328164111212295,0,-0.08084570841833037,-0.3496612678181255,0.07521378037095278,9,7,7,0,0
HK,1993,9,few,epoch2to10,9,0,1.0951483891442943e-07,4.321922582352168e-10,0.00022744792532573865,0,0.13645612566452806,0.08028068063993331,0.44482006423485326,0,749842.2328938587,432.6137162578911,315730148.0172813,0,-0.11227228712936285,-0.3424545470534741,0.17664442510335693,0,0.13645612564045878,0.08024920472515076,0.444820042386252,0,-0.11227097032549134,-0.34197572480893806,0.17664977904720067,9,7,7,0,0
HK,1993,10,main,epoch1,1,0,3.5066997596039373,3.5066997596039373,3.5066997596039373,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,3.5066997596039373,3.5066997596039373,3.5066997596039373,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,10,few,epoch1,1,0,7.508280419894946,7.508280419894946,7.508280419894946,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,7.508280419894946,7.508280419894946,7.508280419894946,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,10,main,epoch2to10,9,0,7.650926875053718e-07,4.929667130521865e-09,0.03136878126044849,0,0.11819235941838847,0.07402889631745409,0.19738252399803566,0,154481.09928192018,4.606013134823567,40039726.57219562,0,-0.10891860401219437,-0.2602830659350936,-0.03768807763100139,0,0.11819230090854395,0.07402889478687855,0.19738252272864354,0,-0.10891850341628567,-0.26028266384179644,0.17672108659067612,9,9,8,0,0
HK,1993,10,few,epoch2to10,9,0,0.0003696377937122379,1.1716499834310911e-05,0.05496886506360455,0,0.17216861062984143,0.1378670821981319,0.2557424084992593,0,534.2268804938096,4.220802856863551,21492.722839128044,0,0.03462499070571393,-0.3027294481451867,0.07376314439125721,0,0.1726035402981931,0.13786716323512158,0.2557486536931341,0,0.04100124476598732,-0.30199749810045073,0.29743428273373246,9,2,2,0,0
HK,1993,11,main,epoch1,1,0,4.758513555920569,4.758513555920569,4.758513555920569,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.758513555920569,4.758513555920569,4.758513555920569,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,11,few,epoch1,1,0,10.179545238633548,10.179545238633548,10.179545238633548,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,10.179545238633548,10.179545238633548,10.179545238633548,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,11,main,epoch2to10,9,0,0.00011429639340430965,9.075055697118116e-06,0.0036077511863412998,0,0.012601468160799488,0.00721921551218903,0.26859592347037264,0,203.81520584827246,2.4038148885270476,5272.166013026301,0,0.019323209048697408,-0.18805589980821372,0.1769570560192347,0,0.01264962274190876,0.007227579320230361,0.2685892779326342,0,0.060408087737009,-0.10799502529121481,0.22608121339382023,9,4,3,0,0
HK,1993,11,few,epoch2to10,9,0,0.004632516844159458,0.0010642442252460295,0.0173961075271942,0,0.027062495152948337,0.010812749680279765,0.4572086344751871,0,7.853885495757712,0.9848703289703726,75.2389167136488,0,-0.022231961343849097,-0.1998862879635292,0.20232537465710138,0,0.027844673782088894,0.01094912460343355,0.45461023047543814,0,0.06293626268980519,-0.13066085219485,0.6397027479478848,8,6,2,0,0
HK,1994,4,main,epoch1,1,0,2.0562601409756645,2.0562601409756645,2.0562601409756645,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.0562601409756645,2.0562601409756645,2.0562601409756645,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,4,few,epoch1,1,0,3.2053615971262936,3.2053615971262936,3.2053615971262936,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,3.2053615971262936,3.2053615971262936,3.2053615971262936,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,4,main,epoch2to10,9,0,0.36036888382625526,0.1477473852467495,1.992307396724628,0,0.11248593607754807,0.0342165588080947,0.12706557661880521,0,0.35259863523640783,0.017174337084903187,0.7718911283775637,0,0.0998604388375284,-0.1902129016548083,0.18855702363913635,0,0.39389936284561194,0.19711142726383743,1.986083066176356,0,0.9470888842609577,0.8185362213588143,0.9998569544284948,0,4,0,0,0
HK,1994,4,few,epoch2to10,9,0,0.7278001493920324,0.3334807251569628,3.150616343816239,0,0.022339243391359818,0.005351177598436114,0.02847943294628922,0,0.030527449739791924,0.0017083906446425257,0.07796730676571827,0,-0.14935012946182918,-0.3661140489997265,0.03963002258416876,0,0.7248149110946348,0.3353209846443637,3.1455786712182707,0,0.9995405650153759,0.9969923726724733,0.9999987347245665,0,5,0,0,0
HK,1994,5,main,epoch1,1,0,2.171551786193569,2.171551786193569,2.171551786193569,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.171551786193569,2.171551786193569,2.171551786193569,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,5,few,epoch1,1,0,4.066807079047411,4.066807079047411,4.066807079047411,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.066807079047411,4.066807079047411,4.066807079047411,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,5,main,epoch2to10,9,0,3.143448178526667e-11,4.855146777070508e-12,0.058926809153702124,0,0.0381933472318905,0.01939181956963115,0.18449171853634228,0,616896429.2810479,3.1308621862609614,20611996079.120678,0,0.20946864053693004,-0.49319024304052494,0.4432346028906748,0,0.03819334723309727,0.019391819565820954,0.21713318577268786,0,0.20946864068115265,-0.4931902430038102,0.6479890315019452,9,3,3,0,0
HK,1994,5,few,epoch2to10,9,0,3.133542174802933e-06,8.766005604471888e-07,0.10097509963966964,0,0.04647562510367607,0.029083174572395953,0.14485035629505844,0,9281.24561598568,1.4345156064411717,129496.01641220064,0,-0.3309724041072352,-0.6409246664588523,0.4565200307674264,0,0.04647415651099056,0.029082541527673974,0.1960536161483868,0,-0.33078923483000156,-0.6409201163579099,0.6983890775027076,9,7,7,0,0
HK,1994,6,main,epoch1,1,0,1.7117831571768485,1.7117831571768485,1.7117831571768485,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,1.7117831571768485,1.7117831571768485,1.7117831571768485,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,6,few,epoch1,1,0,3.558426855545615,3.558426855545615,3.558426855545615,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,3.558426855545615,3.558426855545615,3.558426855545615,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,6,main,epoch2to10,9,0,1.4939825435813815e-06,3.8654294426805024e-10,0.000295982569397197,0,0.01214295488757263,0.006733684392353926,0.048189498950934426,0,6754.134201447001,41.02591214172906,53099499.979710914,0,0.08541272015277988,-0.22054011349320848,0.4528125172423807,0,0.012081128727125814,0.006733701707610875,0.04818691158792912,0,0.08544260121680627,-0.1971691663464033,0.45357456548454494,9,4,4,0,0
HK,1994,6,few,epoch2to10,9,0,0.00044145309699736626,1.5210259507472835e-05,0.016957703647375477,0,0.0039376417018269225,0.002857229507738262,0.06713939343960079,0,7.643193549183313,1.5870656433022028,187.84883363327882,0,0.16657057452088397,-0.06498791465488006,0.5492879828503827,0,0.00460515188721732,0.002856281352742822,0.07155302275426596,0,0.2965920925282339,-0.059684291159595636,0.8159468767160235,9,2,2,0,0
HK,1994,7,main,epoch1,1,0,2.2681536015557335,2.2681536015557335,2.2681536015557335,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.2681536015557335,2.2681536015557335,2.2681536015557335,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,7,few,epoch1,1,0,4.913885098753122,4.913885098753122,4.913885098753122,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.913885098753122,4.913885098753122,4.913885098753122,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,7,main,epoch2to10,9,0,0.00011896412193396936,4.2157120762537286e-07,0.035344601987215195,0,0.009809724504997782,0.0031803103483270478,0.09841514080997725,0,173.9162217677061,1.4230391652328704,23269.436639788608,0,-0.03285692129613559,-0.2027899279894555,0.16646056779851384,0,0.009809639023288977,0.0031799063195485757,0.09894405753753624,0,0.06190640374641816,-0.20274871991063703,0.5813756710300753,9,5,4,0,0
HK,1994,7,few,epoch2to10,9,0,0.0011209718126652221,0.000333470569138716,0.057041145593493436,0,0.024462854233557846,0.011971537629237078,0.14249109904685153,0,24.31547872146128,0.9403287649919345,63.15326572485268,0,-0.09179195841912142,-0.1836175575828797,0.12084525398514748,0,0.0243947005648452,0.011912648896935791,0.15308882998988968,0,0.038930090655432806,-0.16825181433019143,0.6934538588288239,8,6,4,0,0
HK,1994,8,main,epoch1,1,0,3.4532806931058344,3.4532806931058344,3.4532806931058344,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,3.4532806931058344,3.4532806931058344,3.4532806931058344,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,8,few,epoch1,1,0,6.4180708820592995,6.4180708820592995,6.4180708820592995,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,6.4180708820592995,6.4180708820592995,6.4180708820592995,0,1.0,1.0,1.0,0,0,0,0,1
