method,session,metric,mean_fixed_orders_then_mix,std_across_mix,values_by_mix,order_repetitions_are_not_independent
B1,1,old_macro_recall,60.133949722364356,,[60.133949722364356],True
B1,1,current_macro_recall,61.32401162888967,,[61.32401162888967],True
B1,1,label_6_recall,,,[null],True
B1,1,label_7_recall,,,[null],True
B1,2,balanced_accuracy,55.497263593432734,,[55.497263593432734],True
B1,2,tail_rank2,71.15384615384616,,[71.15384615384616],True
B1,2,old_macro_recall,55.99113888748035,,[55.99113888748035],True
B1,2,current_macro_recall,54.015637711289884,,[54.015637711289884],True
B1,2,label_6_recall,92.3076923076923,,[92.3076923076923],True
B1,2,label_7_recall,50.0,,[50.0],True
B2,0,balanced_accuracy,69.0342465952222,0.3792455966745271,"[69.4274113786309, 68.67065129260251, 69.0046771144332]",True
B2,0,tail_rank2,67.69943019943021,0.8018753738744866,"[68.16239316239317, 66.77350427350427, 68.16239316239317]",True
B2,0,old_macro_recall,,,"[null, null, null]",True
B2,0,current_macro_recall,69.0342465952222,0.3792455966745271,"[69.4274113786309, 68.67065129260251, 69.0046771144332]",True
B2,0,label_6_recall,,,"[null, null, null]",True
B2,0,label_7_recall,,,"[null, null, null]",True
B2,1,balanced_accuracy,60.38909567364852,0.2594864356464424,"[60.40191073727659, 60.123439147829394, 60.64193713583958]",True
B2,1,tail_rank2,71.40313390313389,0.38644113985418543,"[71.20726495726495, 71.15384615384615, 71.8482905982906]",True
B2,1,old_macro_recall,59.77109379548404,0.5054264415675077,"[59.94086029147005, 59.20264008678643, 60.16978100819565]",True
B2,1,current_macro_recall,61.625099429977475,0.32227389322139177,"[61.32401162888967, 61.96503726991532, 61.586249391127446]",True
B2,1,label_6_recall,,,"[null, null, null]",True
B2,1,label_7_recall,,,"[null, null, null]",True
B2,2,balanced_accuracy,55.02264584614796,0.31321164556801834,"[55.36195415172085, 54.96140728378268, 54.744576102940364]",True
B2,2,tail_rank2,69.87179487179488,1.110288979210825,"[69.23076923076923, 71.15384615384616, 69.23076923076923]",True
B2,2,old_macro_recall,55.6922612105539,0.4299634823164942,"[55.87425136205624, 56.00130148910637, 55.20123078049908]",True
B2,2,current_macro_recall,53.01379975293019,1.0397338149471294,"[53.82506252071469, 51.841724667811626, 53.37461207026424]",True
B2,2,label_6_recall,89.74358974358974,2.220577958421642,"[88.46153846153845, 92.3076923076923, 88.46153846153845]",True
B2,2,label_7_recall,50.0,0.0,"[50.0, 50.0, 50.0]",True
B3,0,balanced_accuracy,69.01768346890299,0.1726452328741533,"[69.20218615340566, 68.86004523199645, 68.99081902130683]",True
B3,0,tail_rank2,67.69943019943021,0.8018753738744866,"[68.16239316239317, 66.77350427350427, 68.16239316239317]",True
B3,0,old_macro_recall,,,"[null, null, null]",True
B3,0,current_macro_recall,69.01768346890299,0.1726452328741533,"[69.20218615340566, 68.86004523199645, 68.99081902130683]",True
B3,0,label_6_recall,,,"[null, null, null]",True
B3,0,label_7_recall,,,"[null, null, null]",True
B3,1,balanced_accuracy,60.624330908883756,0.38584405233156405,"[60.40191073727659, 60.40121692560717, 61.06986506376751]",True
B3,1,tail_rank2,71.40313390313389,0.38644113985418543,"[71.20726495726495, 71.15384615384615, 71.8482905982906]",True
B3,1,old_macro_recall,59.98112089575505,0.5862342567992976,"[59.94086029147005, 59.41605472093277, 60.58644767486231]",True
B3,1,current_macro_recall,61.910750935141174,0.5350018378915051,"[61.32401162888967, 62.37154133495597, 62.03669984157788]",True
B3,1,label_6_recall,,,"[null, null, null]",True
B3,1,label_7_recall,,,"[null, null, null]",True
B3,2,balanced_accuracy,55.179218122285455,0.7746337080254309,"[56.01229198955869, 54.48063805301345, 55.04472432428423]",True
B3,2,tail_rank2,69.23076923076923,0.0,"[69.23076923076923, 69.23076923076923, 69.23076923076923]",True
B3,2,old_macro_recall,55.85147636976905,0.7886448384456392,"[56.74136847917336, 55.57395106175594, 55.23910956837786]",True
B3,2,current_macro_recall,53.16244337983468,1.7284720636260473,"[53.82506252071469, 51.200699026785976, 54.46156859200337]",True
B3,2,label_6_recall,88.46153846153845,0.0,"[88.46153846153845, 88.46153846153845, 88.46153846153845]",True
B3,2,label_7_recall,50.0,0.0,"[50.0, 50.0, 50.0]",True
B4,0,balanced_accuracy,69.02230283327845,0.1717501149906292,"[69.20218615340566, 68.86004523199645, 69.0046771144332]",True
B4,0,tail_rank2,67.69943019943021,0.8018753738744866,"[68.16239316239317, 66.77350427350427, 68.16239316239317]",True
B4,0,old_macro_recall,,,"[null, null, null]",True
B4,0,current_macro_recall,69.02230283327845,0.1717501149906292,"[69.20218615340566, 68.86004523199645, 69.0046771144332]",True
B4,0,label_6_recall,,,"[null, null, null]",True
B4,0,label_7_recall,,,"[null, null, null]",True
B4,1,balanced_accuracy,60.59827295599653,0.4103100832782021,"[60.40191073727659, 60.32304306694551, 61.06986506376751]",True
B4,1,tail_rank2,71.18945868945868,0.6679130816777473,"[71.20726495726495, 70.51282051282051, 71.8482905982906]",True
B4,1,old_macro_recall,60.04887157326183,0.4925344842869312,"[59.94086029147005, 59.619306753453095, 60.58644767486231]",True
B4,1,current_macro_recall,61.69707572146596,0.35751894487564,"[61.32401162888967, 61.73051569393033, 62.03669984157788]",True
B4,1,label_6_recall,,,"[null, null, null]",True
B4,1,label_7_recall,,,"[null, null, null]",True
B4,2,balanced_accuracy,55.08863841214053,0.8131535285521239,"[56.01229198955869, 54.48063805301345, 54.77298519384945]",True
B4,2,tail_rank2,69.23076923076923,0.0,"[69.23076923076923, 69.23076923076923, 69.23076923076923]",True
B4,2,old_macro_recall,55.85147636976905,0.7886448384456392,"[56.74136847917336, 55.57395106175594, 55.23910956837786]",True
B4,2,current_macro_recall,52.800124539254966,1.4033345572351152,"[53.82506252071469, 51.200699026785976, 53.37461207026424]",True
B4,2,label_6_recall,88.46153846153845,0.0,"[88.46153846153845, 88.46153846153845, 88.46153846153845]",True
B4,2,label_7_recall,50.0,0.0,"[50.0, 50.0, 50.0]",True
