method,metric,mean,std_ddof1,minimum,maximum,n_unique_fits,unit
B1,AvgBA_all,61.702696591460295,,61.702696591460295,61.702696591460295,1,deterministic
B1,AvgBA_inc,58.013950308986104,,58.013950308986104,58.013950308986104,1,deterministic
B2,balanced_accuracy,55.02264584614796,0.31321164556801834,54.744576102940364,55.36195415172085,3,fixed synthesis seeds
B2,tail_rank2,69.87179487179488,1.110288979210825,69.23076923076923,71.15384615384616,3,fixed synthesis seeds
B2,old_macro_recall,55.6922612105539,0.4299634823164942,55.20123078049908,56.00130148910637,3,fixed synthesis seeds
B2,current_macro_recall,53.01379975293019,1.0397338149471294,51.841724667811626,53.82506252071469,3,fixed synthesis seeds
B2,label_6_recall,89.74358974358974,2.220577958421642,88.46153846153845,92.3076923076923,3,fixed synthesis seeds
B2,label_7_recall,50.0,0.0,50.0,50.0,3,fixed synthesis seeds
B2,accuracy,53.78531073446327,0.3914239113149995,53.559322033898304,54.23728813559322,3,fixed synthesis seeds
B2,macro_f1,55.23600755203346,0.44200321219068006,54.90984413829823,55.739059713856086,3,fixed synthesis seeds
B2,head_rank2,63.62612612612613,0.7802030664724691,63.17567567567568,64.52702702702703,3,fixed synthesis seeds
B2,mid_rank4,43.29633119333544,0.5435529068213403,42.75805365280445,43.84501017454358,3,fixed synthesis seeds
B2,worst_class_recall,34.166666666666664,1.4433756729740643,32.5,35.0,3,fixed synthesis seeds
B2,component_equal_balanced_accuracy,55.21151182141893,0.3249561682268862,54.90791972312869,55.554280092786286,3,fixed synthesis seeds
B2,HM_old_current_macro,53.638948140651785,0.5942246580670337,53.047092249626445,54.235513571267084,3,fixed synthesis seeds
B2,AvgBA_all,61.48199603833957,0.23981870524210638,61.251832574738195,61.73042542254278,3,fixed synthesis seeds
B2,AvgBA_inc,57.705870759898254,0.17010575092407854,57.542423215806046,57.881932444498716,3,fixed synthesis seeds
B3,balanced_accuracy,55.179218122285455,0.7746337080254309,54.48063805301345,56.01229198955869,3,fixed synthesis seeds
B3,tail_rank2,69.23076923076923,0.0,69.23076923076923,69.23076923076923,3,fixed synthesis seeds
B3,old_macro_recall,55.85147636976905,0.7886448384456392,55.23910956837786,56.74136847917336,3,fixed synthesis seeds
B3,current_macro_recall,53.16244337983468,1.7284720636260473,51.200699026785976,54.46156859200337,3,fixed synthesis seeds
B3,label_6_recall,88.46153846153845,0.0,88.46153846153845,88.46153846153845,3,fixed synthesis seeds
B3,label_7_recall,50.0,0.0,50.0,50.0,3,fixed synthesis seeds
B3,accuracy,54.011299435028256,0.8530886367537566,53.22033898305085,54.91525423728814,3,fixed synthesis seeds
B3,macro_f1,55.50822346511145,0.9333827143437102,54.575579197363844,56.4423428775299,3,fixed synthesis seeds
B3,head_rank2,63.24733824733824,1.2454047969067858,62.03931203931203,64.52702702702703,3,fixed synthesis seeds
B3,mid_rank4,44.11938250551719,1.2285676398946537,42.75805365280445,45.14568585021926,3,fixed synthesis seeds
B3,worst_class_recall,35.833333333333336,1.4433756729740643,35.0,37.5,3,fixed synthesis seeds
B3,component_equal_balanced_accuracy,55.38357057803653,0.813760694236554,54.65150231500851,56.25976498944766,3,fixed synthesis seeds
B3,HM_old_current_macro,53.834956868882074,1.0623607413996592,52.633403765031,54.649773017229904,3,fixed synthesis seeds
B3,AvgBA_all,61.60707750002407,0.32300565934174436,61.24730007020568,61.87212962674698,3,fixed synthesis seeds
B3,AvgBA_inc,57.90177451558461,0.4060732640398247,57.44092748931032,58.20710136341764,3,fixed synthesis seeds
B4,balanced_accuracy,55.08863841214053,0.8131535285521239,54.48063805301345,56.01229198955869,3,fixed synthesis seeds
B4,tail_rank2,69.23076923076923,0.0,69.23076923076923,69.23076923076923,3,fixed synthesis seeds
B4,old_macro_recall,55.85147636976905,0.7886448384456392,55.23910956837786,56.74136847917336,3,fixed synthesis seeds
B4,current_macro_recall,52.800124539254966,1.4033345572351152,51.200699026785976,53.82506252071469,3,fixed synthesis seeds
B4,label_6_recall,88.46153846153845,0.0,88.46153846153845,88.46153846153845,3,fixed synthesis seeds
B4,label_7_recall,50.0,0.0,50.0,50.0,3,fixed synthesis seeds
B4,accuracy,53.898305084745765,0.896864851208336,53.22033898305085,54.91525423728814,3,fixed synthesis seeds
B4,macro_f1,55.406041178055204,0.9502521516778515,54.575579197363844,56.4423428775299,3,fixed synthesis seeds
B4,head_rank2,63.24733824733824,1.2454047969067858,62.03931203931203,64.52702702702703,3,fixed synthesis seeds
B4,mid_rank4,43.93822308522733,1.194050070991586,42.75805365280445,45.14568585021926,3,fixed synthesis seeds
B4,worst_class_recall,35.833333333333336,1.4433756729740643,35.0,37.5,3,fixed synthesis seeds
B4,component_equal_balanced_accuracy,55.29097798544393,0.8532067002262387,54.65150231500851,56.25976498944766,3,fixed synthesis seeds
B4,HM_old_current_macro,53.645238380445,1.0082044473068363,52.633403765031,54.649773017229904,3,fixed synthesis seeds
B4,AvgBA_all,61.5697380671385,0.3278838949690813,61.221242117318475,61.87212962674698,3,fixed synthesis seeds
B4,AvgBA_inc,57.84345568406854,0.4082531887484278,57.40184055997948,58.20710136341764,3,fixed synthesis seeds
