method,order_seed,session,seen_classes,old_classes,current_classes,split,predictor,scope,n_images,n_classes,correct_sample_weighted,correct_class_macro,to_other_sample_weighted,to_other_class_macro,wrong_within_sample_weighted,wrong_within_class_macro,mix_seed
B2,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,56.132075471698116,57.18783276710106,13.679245283018867,13.472495606641946,30.18867924528302,29.339671626256997,41003
B2,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,60.56338028169014,59.77889474840694,0.0,0.0,39.436619718309856,40.22110525159306,41003
B2,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B2,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,61.72839506172839,60.6879606879607,24.691358024691358,25.73710073710074,13.580246913580247,13.574938574938574,41003
B2,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,52.816901408450704,52.45674027686222,12.676056338028168,13.302845528455286,34.50704225352113,34.24041419468249,41003
B2,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,59.72222222222222,65.96989966555184,36.11111111111111,29.09698996655518,4.166666666666666,4.933110367892977,41003
B2,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,51.569506726457405,51.00280158206988,7.174887892376682,7.528889754499511,41.25560538116592,41.46830866343061,41003
B2,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,78.2312925170068,79.46536571536572,0.0,0.0,21.768707482993197,20.534634284634286,41003
B2,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B2,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,53.84615384615385,53.59261700725115,12.82051282051282,12.590639419907712,33.33333333333333,33.81674357284113,41003
B2,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,63.94557823129252,65.80112455112454,14.965986394557824,14.327631827631826,21.08843537414966,19.87124362124362,41003
B2,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,45.714285714285715,46.7391304347826,50.0,47.01086956521739,4.285714285714286,6.25,41003
B2,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,56.00000000000001,57.41305799232629,8.88888888888889,8.946076171685927,35.11111111111111,33.640865835987796,41003
B3,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,71.81208053691275,69.94780118255728,0.0,0.0,28.187919463087248,30.052198817442722,41001
B3,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B3,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,63.49206349206349,67.2037422037422,34.92063492063492,30.87318087318087,1.5873015873015872,1.9230769230769231,41001
B3,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,63.758389261744966,62.22514781966001,11.409395973154362,12.02559127864006,24.832214765100673,25.749260901699927,41001
B3,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,48.19277108433735,48.766157461809634,49.39759036144578,48.79553466509988,2.4096385542168677,2.4383078730904817,41001
B3,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,57.54716981132076,58.42767016547504,12.264150943396226,12.476652202261958,30.18867924528302,29.095677632263,41001
B3,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,58.45070422535211,57.517715886618326,0.0,0.0,41.54929577464789,42.482284113381674,41001
B3,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B3,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,64.19753086419753,63.17567567567568,22.22222222222222,23.249385749385752,13.580246913580247,13.574938574938574,41001
B3,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,51.40845070422535,51.17130850362558,12.676056338028168,13.302845528455286,35.91549295774648,35.52584596791914,41001
B3,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,59.72222222222222,65.96989966555184,36.11111111111111,29.09698996655518,4.166666666666666,4.933110367892977,41001
B3,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,53.36322869955157,52.69308943089431,6.278026905829597,6.705719022792193,40.35874439461883,40.6011915463135,41001
B3,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,78.91156462585033,80.14104139104138,0.0,0.0,21.08843537414966,19.85895860895861,41001
B3,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B3,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,53.84615384615385,53.59261700725115,12.82051282051282,12.590639419907712,33.33333333333333,33.81674357284113,41001
B3,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,64.62585034013605,66.42612455112456,14.285714285714285,13.702631827631828,21.08843537414966,19.87124362124362,41001
B3,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,45.714285714285715,46.7391304347826,50.0,47.01086956521739,4.285714285714286,6.25,41001
B3,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,57.77777777777777,59.10334584115072,8.444444444444445,8.539572106645277,33.77777777777778,32.35708205220401,41001
B3,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,70.46979865771812,67.86446784922394,0.0,0.0,29.53020134228188,32.13553215077605,41002
B3,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B3,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,66.66666666666666,70.47817047817048,33.33333333333333,29.521829521829524,0.0,0.0,41002
B3,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,61.74496644295302,59.97505543237251,11.409395973154362,12.45750184774575,26.845637583892618,27.567442719881747,41002
B3,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,44.57831325301205,45.24089306698003,51.80722891566265,51.233842538190366,3.614457831325301,3.525264394829612,41002
B3,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,56.60377358490566,57.56055304835793,12.735849056603774,12.649324874934631,30.660377358490564,29.790122076707444,41002
B3,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,59.154929577464785,58.57462645572402,0.0,0.0,40.845070422535215,41.42537354427598,41002
B3,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B3,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,62.96296296296296,61.82432432432432,23.456790123456788,24.600737100737103,13.580246913580247,13.574938574938574,41002
B3,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,52.112676056338024,51.846984179301245,11.971830985915492,12.677845528455286,35.91549295774648,35.47517029224346,41002
B3,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,56.94444444444444,63.79598662207358,38.88888888888889,31.270903010033447,4.166666666666666,4.933110367892977,41002
B3,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,52.01793721973094,51.375521863326746,7.174887892376682,7.572836139909311,40.80717488789238,41.05164199676395,41002
B3,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,78.91156462585033,80.14104139104138,0.0,0.0,21.08843537414966,19.85895860895861,41002
B3,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B3,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,55.12820512820513,54.81212920237311,12.82051282051282,12.590639419907712,32.05128205128205,32.59723137771918,41002
B3,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,64.62585034013605,66.42612455112456,14.285714285714285,13.702631827631828,21.08843537414966,19.87124362124362,41002
B3,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,42.857142857142854,44.565217391304344,52.85714285714286,49.184782608695656,4.285714285714286,6.25,41002
B3,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,56.44444444444444,57.78577827358314,8.88888888888889,8.956238773311943,34.66666666666667,33.25798295310491,41002
B3,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,70.46979865771812,68.33795269770879,0.0,0.0,29.53020134228188,31.662047302291203,41003
B3,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B3,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,68.25396825396825,71.82952182952182,31.746031746031743,28.170478170478177,0.0,0.0,41003
B3,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,63.758389261744966,62.25147819660014,10.06711409395973,10.806079083518108,26.174496644295303,26.942442719881743,41003
B3,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,48.19277108433735,48.50176263219741,49.39759036144578,49.05992949471211,2.4096385542168677,2.4383078730904817,41003
B3,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,56.132075471698116,57.22571155497985,13.679245283018867,13.434616818763159,30.18867924528302,29.339671626256997,41003
B3,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,59.859154929577464,59.169138650845966,0.0,0.0,40.140845070422536,40.830861349154034,41003
B3,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B3,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,61.72839506172839,60.6879606879607,24.691358024691358,25.73710073710074,13.580246913580247,13.574938574938574,41003
B3,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,53.52112676056338,53.081740276862234,12.676056338028168,13.302845528455286,33.80281690140845,33.615414194682494,41003
B3,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,61.111111111111114,67.05685618729098,34.72222222222222,28.010033444816052,4.166666666666666,4.933110367892977,41003
B3,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,51.569506726457405,51.04068036994867,7.623318385650224,7.907677633287389,40.80717488789238,41.05164199676395,41003
B3,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,78.2312925170068,79.46536571536572,0.0,0.0,21.768707482993197,20.534634284634286,41003
B3,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B3,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,53.84615384615385,53.59261700725115,12.82051282051282,12.590639419907712,33.33333333333333,33.81674357284113,41003
B3,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,64.62585034013605,66.42612455112456,14.285714285714285,13.702631827631828,21.08843537414966,19.87124362124362,41003
B3,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,47.14285714285714,47.82608695652174,48.57142857142857,45.92391304347826,4.285714285714286,6.25,41003
