dataset,stream,seed,contrast,metric,difference_pp
HK,U,1994,interaction,BA,4.82284565347916
HK,U,1995,interaction,BA,3.392797538869859
HK,U,1993,interaction,tail,1.1607142857142847
HK,U,1994,interaction,tail,3.467261904761905
HK,U,1995,interaction,tail,2.5
HK,U,1993,interaction,old,6.977787872113215
HK,U,1994,interaction,old,5.601217556446085
HK,U,1995,interaction,old,3.4895959575791182
HK,U,1993,interaction,current,1.9272369714847457
HK,U,1994,interaction,current,-0.3663003663003721
HK,U,1995,interaction,current,2.7474747474747403
HK,U,1993,interaction,HM,6.985637214887596
HK,U,1994,interaction,HM,6.481832641893247
HK,U,1995,interaction,HM,3.581135062294608
HK,U,1993,Q11-PT,BA,-8.354935248672945
HK,U,1994,Q11-PT,BA,-4.248049376393986
HK,U,1995,Q11-PT,BA,-3.8674307604787046
HK,U,1993,Q11-PT,tail,-6.919642857142861
HK,U,1994,Q11-PT,tail,-4.508928571428573
HK,U,1995,Q11-PT,tail,-2.4107142857142883
HK,U,1993,Q11-PT,old,-8.0444587218146
HK,U,1994,Q11-PT,old,-4.609699007295298
HK,U,1995,Q11-PT,old,-4.0020908290959625
HK,U,1993,Q11-PT,current,-10.424778761061958
HK,U,1994,Q11-PT,current,-1.8370518370518454
HK,U,1995,Q11-PT,current,-2.969696969696983
HK,U,1993,Q11-PT,HM,-9.196608478371694
HK,U,1994,Q11-PT,HM,-3.3773034240263655
HK,U,1995,Q11-PT,HM,-3.8981870475694507
HK,U,1993,Q00-PT,BA,-48.47001830741469
HK,U,1994,Q00-PT,BA,-47.07331770391952
HK,U,1995,Q00-PT,BA,-46.925621410443156
HK,U,1993,Q00-PT,tail,-21.11607142857143
HK,U,1994,Q00-PT,tail,-33.61607142857143
HK,U,1995,Q00-PT,tail,-17.99107142857143
HK,U,1993,Q00-PT,old,-56.32046205647674
HK,U,1994,Q00-PT,old,-58.60672203779647
HK,U,1995,Q00-PT,old,-55.667494925039925
HK,U,1993,Q00-PT,current,3.866273352999002
HK,U,1994,Q00-PT,current,29.81604452192687
HK,U,1995,Q00-PT,current,11.35353535353535
HK,U,1993,Q00-PT,HM,-69.23323316622015
HK,U,1994,Q00-PT,HM,-59.220161948771036
HK,U,1995,Q00-PT,HM,-66.75525672768194
HK,U,1993,Q11-Risk-Q11,BA,0.5412358323120898
HK,U,1994,Q11-Risk-Q11,BA,-1.012216041220448
HK,U,1995,Q11-Risk-Q11,BA,0.22544749628660554
HK,U,1993,Q11-Risk-Q11,tail,0.0
HK,U,1994,Q11-Risk-Q11,tail,-3.125
HK,U,1995,Q11-Risk-Q11,tail,0.0
HK,U,1993,Q11-Risk-Q11,old,0.42242120715889797
HK,U,1994,Q11-Risk-Q11,old,-1.239806023161087
HK,U,1995,Q11-Risk-Q11,old,0.25926462072959566
HK,U,1993,Q11-Risk-Q11,current,1.3333333333333428
HK,U,1994,Q11-Risk-Q11,current,0.5050505050505052
HK,U,1995,Q11-Risk-Q11,current,0.0
HK,U,1993,Q11-Risk-Q11,HM,0.7049255131376313
HK,U,1994,Q11-Risk-Q11,HM,-0.49618383107782904
HK,U,1995,Q11-Risk-Q11,HM,0.1975579123034521
HK,R,1993,Q11-Q00,BA,37.40946526331439
HK,R,1994,Q11-Q00,BA,38.351274795147965
HK,R,1995,Q11-Q00,BA,36.77683959249121
HK,R,1993,Q11-Q00,tail,9.19642857142857
HK,R,1994,Q11-Q00,tail,23.973214285714285
HK,R,1995,Q11-Q00,tail,16.830357142857142
HK,R,1993,Q11-Q00,old,45.18578180797379
HK,R,1994,Q11-Q00,old,48.97827471225827
HK,R,1995,Q11-Q00,old,45.7115473495467
HK,R,1993,Q11-Q00,current,-14.432645034414932
HK,R,1994,Q11-Q00,current,-32.49539131892072
HK,R,1995,Q11-Q00,current,-22.787878787878796
HK,R,1993,Q11-Q00,HM,58.71233237347359
HK,R,1994,Q11-Q00,HM,54.32906232779798
HK,R,1995,Q11-Q00,HM,57.42564594834163
HK,R,1993,Q10-Q00,BA,34.096210952745096
HK,R,1994,Q10-Q00,BA,33.98910779952485
HK,R,1995,Q10-Q00,BA,33.33900785201664
HK,R,1993,Q10-Q00,tail,10.848214285714285
HK,R,1994,Q10-Q00,tail,20.625
HK,R,1995,Q10-Q00,tail,12.767857142857142
HK,R,1993,Q10-Q00,old,41.86403492604034
HK,R,1994,Q10-Q00,old,43.86229065603496
HK,R,1995,Q10-Q00,old,42.14894993891005
HK,R,1993,Q10-Q00,current,-17.689282202556527
HK,R,1994,Q10-Q00,current,-31.832111243875936
HK,R,1995,Q10-Q00,current,-25.39393939393939
HK,R,1993,Q10-Q00,HM,55.0919897292001
HK,R,1994,Q10-Q00,HM,51.24586084310416
HK,R,1995,Q10-Q00,HM,53.86607562187562
HK,R,1993,Q01-Q00,BA,0.038476337052713916
HK,R,1994,Q01-Q00,BA,0.11426283293291029
HK,R,1995,Q01-Q00,BA,0.0
HK,R,1993,Q01-Q00,tail,0.0
HK,R,1994,Q01-Q00,tail,0.0
HK,R,1995,Q01-Q00,tail,0.0
HK,R,1993,Q01-Q00,old,0.0
HK,R,1994,Q01-Q00,old,-0.11666666666666667
HK,R,1995,Q01-Q00,old,0.0
HK,R,1993,Q01-Q00,current,0.2949852507374686
HK,R,1994,Q01-Q00,current,1.6537928302634413
HK,R,1995,Q01-Q00,current,0.0
HK,R,1993,Q01-Q00,HM,0.0
HK,R,1994,Q01-Q00,HM,-0.23304377080916525
HK,R,1995,Q01-Q00,HM,0.0
HK,R,1993,interaction,BA,3.274777973516578
HK,R,1994,interaction,BA,4.247904162690203
HK,R,1995,interaction,BA,3.4378317404745644
HK,R,1993,interaction,tail,-1.6517857142857153
HK,R,1994,interaction,tail,3.3482142857142847
HK,R,1995,interaction,tail,4.0625
HK,R,1993,interaction,old,3.32174688193345
HK,R,1994,interaction,old,5.232650722889978
HK,R,1995,interaction,old,3.5625974106366485
HK,R,1993,interaction,current,2.961651917404126
HK,R,1994,interaction,current,-2.3170729053082226
HK,R,1995,interaction,current,2.606060606060595
HK,R,1993,interaction,HM,3.6203426442734923
HK,R,1994,interaction,HM,3.3162452555029818
HK,R,1995,interaction,HM,3.559570326466009
HK,R,1993,Q11-PT,BA,-10.905638154155994
HK,R,1994,Q11-PT,BA,-10.427840663162662
HK,R,1995,Q11-PT,BA,-11.307405802662892
HK,R,1993,Q11-PT,tail,-11.919642857142861
HK,R,1994,Q11-PT,tail,-9.642857142857146
HK,R,1995,Q11-PT,tail,-4.285714285714288
HK,R,1993,Q11-PT,old,-11.443253788783814
HK,R,1994,Q11-PT,old,-11.378447325538204
HK,R,1995,Q11-PT,old,-11.28836515791081
HK,R,1993,Q11-PT,current,-7.321533923303832
HK,R,1994,Q11-PT,current,-4.090462913992333
HK,R,1995,Q11-PT,current,-11.434343434343447
HK,R,1993,Q11-PT,HM,-11.136049472457366
HK,R,1994,Q11-PT,HM,-8.319672629421689
HK,R,1995,Q11-PT,HM,-11.95940608908682
HK,R,1993,Q00-PT,BA,-48.31510341747038
HK,R,1994,Q00-PT,BA,-48.77911545831063
HK,R,1995,Q00-PT,BA,-48.0842453951541
HK,R,1993,Q00-PT,tail,-21.11607142857143
HK,R,1994,Q00-PT,tail,-33.61607142857143
HK,R,1995,Q00-PT,tail,-21.11607142857143
HK,R,1993,Q00-PT,old,-56.6290355967576
HK,R,1994,Q00-PT,old,-60.35672203779647
HK,R,1995,Q00-PT,old,-56.99991250745751
HK,R,1993,Q00-PT,current,7.1111111111111
HK,R,1994,Q00-PT,current,28.404928404928384
HK,R,1995,Q00-PT,current,11.35353535353535
HK,R,1993,Q00-PT,HM,-69.84838184593096
HK,R,1994,Q00-PT,HM,-62.648734957219666
HK,R,1995,Q00-PT,HM,-69.38505203742845
ISIC,U,1993,Q11-Q00,BA,7.066047899823083
ISIC,U,1994,Q11-Q00,BA,22.66289698056665
ISIC,U,1995,Q11-Q00,BA,15.573514630712403
ISIC,U,1993,Q11-Q00,tail,6.25
ISIC,U,1994,Q11-Q00,tail,20.673076923076927
ISIC,U,1995,Q11-Q00,tail,7.852564102564102
ISIC,U,1993,Q11-Q00,old,16.64818920916482
ISIC,U,1994,Q11-Q00,old,38.63414134755598
ISIC,U,1995,Q11-Q00,old,26.591980860273523
ISIC,U,1993,Q11-Q00,current,-21.68037602820211
ISIC,U,1994,Q11-Q00,current,-25.250836120401345
ISIC,U,1995,Q11-Q00,current,-17.481884057971016
ISIC,U,1993,Q11-Q00,HM,2.772212613028934
ISIC,U,1994,Q11-Q00,HM,26.517221517223696
ISIC,U,1995,Q11-Q00,HM,12.227122003319494
ISIC,U,1993,Q10-Q00,BA,3.78435204952968
ISIC,U,1994,Q10-Q00,BA,18.8610794287491
ISIC,U,1995,Q10-Q00,BA,9.024399805815506
ISIC,U,1993,Q10-Q00,tail,4.32692307692308
ISIC,U,1994,Q10-Q00,tail,16.666666666666664
ISIC,U,1995,Q10-Q00,tail,-0.1602564102564088
ISIC,U,1993,Q10-Q00,old,10.921243390755585
ISIC,U,1994,Q10-Q00,old,34.20607691949155
ISIC,U,1995,Q10-Q00,old,20.335673171039005
ISIC,U,1993,Q10-Q00,current,-17.626321974148055
ISIC,U,1994,Q10-Q00,current,-27.173913043478265
ISIC,U,1995,Q10-Q00,current,-24.909420289855078
ISIC,U,1993,Q10-Q00,HM,1.6755159830753428
ISIC,U,1994,Q10-Q00,HM,23.254976388552862
ISIC,U,1995,Q10-Q00,HM,5.34871052015442
ISIC,U,1993,Q01-Q00,BA,-6.135370074261907
ISIC,U,1994,Q01-Q00,BA,-10.464337855642203
ISIC,U,1995,Q01-Q00,BA,-5.325583557290869
ISIC,U,1993,Q01-Q00,tail,-6.089743589743584
ISIC,U,1994,Q01-Q00,tail,-10.416666666666664
ISIC,U,1995,Q01-Q00,tail,0.1602564102564088
ISIC,U,1993,Q01-Q00,old,-8.444888261961431
ISIC,U,1994,Q01-Q00,old,-14.314769314769315
ISIC,U,1995,Q01-Q00,old,-7.7952225208322865
ISIC,U,1993,Q01-Q00,current,0.7931844888366726
ISIC,U,1994,Q01-Q00,current,1.0869565217391255
ISIC,U,1995,Q01-Q00,current,2.083333333333343
ISIC,U,1993,Q01-Q00,HM,-7.37185997272293
ISIC,U,1994,Q01-Q00,HM,-20.880719719223983
ISIC,U,1995,Q01-Q00,HM,-7.577309461464125
ISIC,U,1993,interaction,BA,9.41706592455531
ISIC,U,1994,interaction,BA,14.266155407459753
ISIC,U,1995,interaction,BA,11.874698382187766
ISIC,U,1993,interaction,tail,8.012820512820504
ISIC,U,1994,interaction,tail,14.423076923076927
ISIC,U,1995,interaction,tail,7.852564102564102
ISIC,U,1993,interaction,old,14.171834080370665
ISIC,U,1994,interaction,old,18.742833742833746
ISIC,U,1995,interaction,old,14.051530210066804
ISIC,U,1993,interaction,current,-4.847238542890729
ISIC,U,1994,interaction,current,0.8361204013377943
ISIC,U,1995,interaction,current,5.344202898550719
ISIC,U,1993,interaction,HM,8.468556602676522
ISIC,U,1994,interaction,HM,24.142964847894817
ISIC,U,1995,interaction,HM,14.4557209446292
ISIC,U,1993,Q11-PT,BA,5.680924852783278
ISIC,U,1994,Q11-PT,BA,6.4607688235737015
ISIC,U,1995,Q11-PT,BA,5.8721982926648835
ISIC,U,1993,Q11-PT,tail,-3.846153846153854
ISIC,U,1994,Q11-PT,tail,0.3205128205128176
ISIC,U,1995,Q11-PT,tail,2.403846153846146
ISIC,U,1993,Q11-PT,old,3.4127960042594196
ISIC,U,1994,Q11-PT,old,9.896409713482882
ISIC,U,1995,Q11-PT,old,3.572351346741584
ISIC,U,1993,Q11-PT,current,12.485311398354874
ISIC,U,1994,Q11-PT,current,-3.8461538461538396
ISIC,U,1995,Q11-PT,current,12.771739130434781
ISIC,U,1993,Q11-PT,HM,8.48695452133871
ISIC,U,1994,Q11-PT,HM,4.139432083674571
ISIC,U,1995,Q11-PT,HM,8.795164923067865
ISIC,U,1993,Q00-PT,BA,-1.385123047039805
ISIC,U,1994,Q00-PT,BA,-16.20212815699295
ISIC,U,1995,Q00-PT,BA,-9.70131633804752
ISIC,U,1993,Q00-PT,tail,-10.096153846153854
ISIC,U,1994,Q00-PT,tail,-20.35256410256411
ISIC,U,1995,Q00-PT,tail,-5.448717948717956
ISIC,U,1993,Q00-PT,old,-13.2353932049054
ISIC,U,1994,Q00-PT,old,-28.737731634073096
ISIC,U,1995,Q00-PT,old,-23.01962951353194
ISIC,U,1993,Q00-PT,current,34.165687426556985
ISIC,U,1994,Q00-PT,current,21.404682274247506
ISIC,U,1995,Q00-PT,current,30.253623188405797
ISIC,U,1993,Q00-PT,HM,5.714741908309776
ISIC,U,1994,Q00-PT,HM,-22.377789433549125
ISIC,U,1995,Q00-PT,HM,-3.431957080251628
ISIC,U,1993,Q11-Risk-Q11,BA,0.04076086956521863
ISIC,U,1994,Q11-Risk-Q11,BA,-0.2888207365275264
ISIC,U,1995,Q11-Risk-Q11,BA,-0.5889689578713941
ISIC,U,1993,Q11-Risk-Q11,tail,0.0
ISIC,U,1994,Q11-Risk-Q11,tail,0.0
ISIC,U,1995,Q11-Risk-Q11,tail,0.0
ISIC,U,1993,Q11-Risk-Q11,old,0.4166666666666643
ISIC,U,1994,Q11-Risk-Q11,old,-0.7474131559497295
ISIC,U,1995,Q11-Risk-Q11,old,-0.7852919438285113
ISIC,U,1993,Q11-Risk-Q11,current,-1.0869565217391326
ISIC,U,1994,Q11-Risk-Q11,current,1.0869565217391255
ISIC,U,1995,Q11-Risk-Q11,current,0.0
ISIC,U,1993,Q11-Risk-Q11,HM,-0.3657717890292531
ISIC,U,1994,Q11-Risk-Q11,HM,0.11580537872492869
ISIC,U,1995,Q11-Risk-Q11,HM,-0.37924359252155426
ISIC,R,1993,Q11-Q00,BA,26.36050320866068
ISIC,R,1994,Q11-Q00,BA,16.712433657025386
ISIC,R,1995,Q11-Q00,BA,15.432317681124681
ISIC,R,1993,Q11-Q00,tail,55.60897435897436
ISIC,R,1994,Q11-Q00,tail,12.5
ISIC,R,1995,Q11-Q00,tail,10.416666666666664
ISIC,R,1993,Q11-Q00,old,48.70981313054483
ISIC,R,1994,Q11-Q00,old,34.60208545574399
ISIC,R,1995,Q11-Q00,old,32.32159265695851
ISIC,R,1993,Q11-Q00,current,-40.68742655699178
ISIC,R,1994,Q11-Q00,current,-36.95652173913044
ISIC,R,1995,Q11-Q00,current,-35.23550724637681
ISIC,R,1993,Q11-Q00,HM,44.35161971487981
ISIC,R,1994,Q11-Q00,HM,35.2487646200269
ISIC,R,1995,Q11-Q00,HM,29.037179209145727
ISIC,R,1993,Q10-Q00,BA,24.13763820179515
ISIC,R,1994,Q10-Q00,BA,11.228240760319231
ISIC,R,1995,Q10-Q00,BA,11.530429009551492
ISIC,R,1993,Q10-Q00,tail,55.60897435897436
ISIC,R,1994,Q10-Q00,tail,2.564102564102562
ISIC,R,1995,Q10-Q00,tail,8.493589743589745
ISIC,R,1993,Q10-Q00,old,45.657861511520046
ISIC,R,1994,Q10-Q00,old,29.93754286437213
ISIC,R,1995,Q10-Q00,old,28.20603094993339
ISIC,R,1993,Q10-Q00,current,-40.42303172737955
ISIC,R,1994,Q10-Q00,current,-44.89966555183946
ISIC,R,1995,Q10-Q00,current,-38.4963768115942
ISIC,R,1993,Q10-Q00,HM,43.024481398582786
ISIC,R,1994,Q10-Q00,HM,29.09663238120919
ISIC,R,1995,Q10-Q00,HM,25.397622522471032
ISIC,R,1993,Q01-Q00,BA,-1.287465349965352
ISIC,R,1994,Q01-Q00,BA,0.4023187447100476
ISIC,R,1995,Q01-Q00,BA,0.360482765374071
ISIC,R,1993,Q01-Q00,tail,-7.852564102564102
ISIC,R,1994,Q01-Q00,tail,1.9230769230769198
ISIC,R,1995,Q01-Q00,tail,-2.0833333333333357
ISIC,R,1993,Q01-Q00,old,-2.6175213675213675
ISIC,R,1994,Q01-Q00,old,-0.8292383292383294
ISIC,R,1995,Q01-Q00,old,0.45045045045045046
ISIC,R,1993,Q01-Q00,current,2.7027027027026946
ISIC,R,1994,Q01-Q00,current,4.096989966555185
ISIC,R,1995,Q01-Q00,current,0.09057971014492949
ISIC,R,1993,Q01-Q00,HM,-5.084435883301379
ISIC,R,1994,Q01-Q00,HM,-1.5936421382780646
ISIC,R,1995,Q01-Q00,HM,0.8943698041842323
ISIC,R,1993,interaction,BA,3.5103303568308846
ISIC,R,1994,interaction,BA,5.081874151996107
ISIC,R,1995,interaction,BA,3.5414059061991185
ISIC,R,1993,interaction,tail,7.852564102564102
ISIC,R,1994,interaction,tail,8.012820512820518
ISIC,R,1995,interaction,tail,4.0064102564102555
ISIC,R,1993,interaction,old,5.669472986546152
ISIC,R,1994,interaction,old,5.493780920610192
ISIC,R,1995,interaction,old,3.6651112565746686
ISIC,R,1993,interaction,current,-2.9670975323149236
ISIC,R,1994,interaction,current,3.8461538461538396
ISIC,R,1995,interaction,current,3.170289855072461
ISIC,R,1993,interaction,HM,6.411574199598403
ISIC,R,1994,interaction,HM,7.745774377095771
ISIC,R,1995,interaction,HM,2.7451868824904624
ISIC,R,1993,Q11-PT,BA,-5.081962484865457
ISIC,R,1994,Q11-PT,BA,-17.578186990633967
ISIC,R,1995,Q11-PT,BA,-24.66639518767037
ISIC,R,1993,Q11-PT,tail,-7.6923076923077005
ISIC,R,1994,Q11-PT,tail,-22.11538461538462
ISIC,R,1995,Q11-PT,tail,-27.40384615384616
ISIC,R,1993,Q11-PT,old,-6.864081589691352
ISIC,R,1994,Q11-PT,old,-14.797671840354766
ISIC,R,1995,Q11-PT,old,-26.09504865602426
ISIC,R,1993,Q11-PT,current,0.2643948296122147
ISIC,R,1994,Q11-PT,current,-25.919732441471567
ISIC,R,1995,Q11-PT,current,-20.380434782608695
ISIC,R,1993,Q11-PT,HM,-2.8172047431520184
ISIC,R,1994,Q11-PT,HM,-19.399466232652884
ISIC,R,1995,Q11-PT,HM,-22.892314959536137
ISIC,R,1993,Q00-PT,BA,-31.442465693526138
ISIC,R,1994,Q00-PT,BA,-34.29062064765935
ISIC,R,1995,Q00-PT,BA,-40.098712868795054
ISIC,R,1993,Q00-PT,tail,-63.30128205128206
ISIC,R,1994,Q00-PT,tail,-34.61538461538462
ISIC,R,1995,Q00-PT,tail,-37.820512820512825
ISIC,R,1993,Q00-PT,old,-55.57389472023618
ISIC,R,1994,Q00-PT,old,-49.399757296098755
ISIC,R,1995,Q00-PT,old,-58.41664131298277
ISIC,R,1993,Q00-PT,current,40.951821386603996
ISIC,R,1994,Q00-PT,current,11.03678929765887
ISIC,R,1995,Q00-PT,current,14.855072463768117
ISIC,R,1993,Q00-PT,HM,-47.16882445803183
ISIC,R,1994,Q00-PT,HM,-54.64823085267978
ISIC,R,1995,Q00-PT,HM,-51.92949416868186
