dataset,seed,stream,mode,identity,valid_online_CIL,scope,n_images,n_classes,correct_sample,correct_macro,to_other_sample,to_other_macro,wrong_within_sample,wrong_within_macro
HK,1994,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,96.25935162094763,93.89488507135567,0.0,0.0,3.7406483790523692,6.1051149286443405
HK,1994,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,66.22976098689283,43.97895732270163,8.326908249807248,10.748969124859856,25.44333076329992,45.27207355243852
HK,1994,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,77.55610972568579,62.06277382747971,19.950124688279303,33.20862144391556,2.493765586034913,4.728604728604728
HK,1994,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,0.0,0.0,100.0,100.0,0.0,0.0
HK,1994,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,96.50872817955111,95.54867790161907,0.0,0.0,3.4912718204488775,4.451322098380922
HK,1994,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,73.0917501927525,49.09494137892493,4.240555127216654,5.255665056909222,22.667694680030838,45.649393564165855
HK,1994,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,76.30922693266832,61.39949375243493,22.443890274314214,36.075253722312546,1.2468827930174564,2.525252525252525
HK,1995,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,0.2936857562408223,1.3324175824175823,92.29074889867842,92.03336156981719,7.415565345080763,6.634220847765225
HK,1995,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,100.0,100.0,0.0,0.0,0.0,0.0
HK,1995,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,75.55066079295155,49.59064330320001,7.562408223201175,4.741919938498894,16.886930983847286,45.6674367583011
HK,1995,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,76.19047619047619,82.92929292929293,23.809523809523807,17.07070707070707,0.0,0.0
HK,1995,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,0.07342143906020558,1.25,99.11894273127754,98.30436720142602,0.8076358296622614,0.4456327985739751
HK,1995,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,100.0,100.0,0.0,0.0,0.0,0.0
