dataset,seed,stream,mode,identity,valid_online_CIL,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,11,13,160,153,95.625,0.14440902854842508,160
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,12,18,33,5,15.151515151515152,-0.06735711414511084,33
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,13,14,60,48,80.0,0.054887639281373114,60
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,14,9,164,158,96.34146341463415,0.18869947637046072,164
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,15,19,2,0,0.0,-0.04706544770206193,2
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,16,15,123,120,97.5609756097561,0.20206055709804915,123
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,17,6,1,0,0.0,-0.1456119679542133,1
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,18,5,1,0,0.0,-0.011266233333274783,1
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,19,20,66,0,0.0,-0.07085511432010198,66
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,20,10,150,91,60.666666666666664,0.008948894663076084,150
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.3552068759031761,21
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,92,81.41592920353982,0.12663331347374832,113
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,2,28.571428571428573,-0.026250364427437608,7
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,133,80.60606060606061,0.08865384815202156,165
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,25,60.97560975609756,0.026598530600679227,41
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,3,8,153,145,94.77124183006536,0.19034375133282208,153
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,4,2,182,139,76.37362637362638,0.0846014387861642,182
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,5,11,61,10,16.39344262295082,-0.045178819067647535,61
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,6,17,5,3,60.0,-0.01010334752208496,5
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,7,3,157,103,65.60509554140127,0.01815984443404455,157
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,8,21,4,0,0.0,-0.04585495640543257,4
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,9,16,8,2,25.0,-0.06484257543069297,8
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,10,22,21,17,80.95238095238095,0.07437512512346808,21
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,11,13,160,153,95.625,0.14397665043886046,160
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,12,18,33,5,15.151515151515152,-0.06765686992270695,33
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,13,14,60,49,81.66666666666667,0.07154806716982373,60
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,14,9,164,158,96.34146341463415,0.18696066782341492,164
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,15,19,2,0,0.0,-0.046471414306089524,2
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,16,15,123,120,97.5609756097561,0.2022200541771304,123
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,17,6,1,0,0.0,-0.14720818038254668,1
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,18,5,1,0,0.0,-0.030768914543230413,1
