dataset,seed,stream,from_task,to_task,split,version,label_a,label_b,distance
HK,1993,U,10,11,fit,pre,16,8,0.3619632964647985
HK,1993,U,10,11,fit,pre,16,2,0.40348793612871003
HK,1993,U,10,11,fit,pre,16,11,0.059920476966821366
HK,1993,U,10,11,fit,pre,16,17,0.3153577713313419
HK,1993,U,10,11,fit,pre,16,3,0.3672708792355016
HK,1993,U,10,11,fit,pre,16,21,0.3089098418379647
HK,1993,U,10,11,fit,pre,22,0,0.3141714080723891
HK,1993,U,10,11,fit,pre,22,4,0.2569146006400333
HK,1993,U,10,11,fit,pre,22,12,0.3087873734439229
HK,1993,U,10,11,fit,pre,22,8,0.18189665280460418
HK,1993,U,10,11,fit,pre,22,2,0.2958358155112615
HK,1993,U,10,11,fit,pre,22,11,0.30385253866446543
HK,1993,U,10,11,fit,pre,22,17,0.12714211243745208
HK,1993,U,10,11,fit,pre,22,3,0.23773812764977625
HK,1993,U,10,11,fit,pre,22,21,0.07740555768725847
HK,1993,U,10,11,fit,pre,22,16,0.3070314729894861
HK,1993,U,10,11,fit,pre,13,0,0.31499179566185054
HK,1993,U,10,11,fit,pre,13,4,0.25798632196467636
HK,1993,U,10,11,fit,pre,13,12,0.30185404225016793
HK,1993,U,10,11,fit,pre,13,8,0.19066963380540794
HK,1993,U,10,11,fit,pre,13,2,0.32818179711287027
HK,1993,U,10,11,fit,pre,13,11,0.28909369513325245
HK,1993,U,10,11,fit,pre,13,17,0.15525164029162428
HK,1993,U,10,11,fit,pre,13,3,0.233004588471938
HK,1993,U,10,11,fit,pre,13,21,0.16443051938931852
HK,1993,U,10,11,fit,pre,13,16,0.29776730568603105
HK,1993,U,10,11,fit,pre,13,22,0.17698089155495753
HK,1993,U,10,11,fit,pre,18,0,0.2997869128914281
HK,1993,U,10,11,fit,pre,18,4,0.23419742458455067
HK,1993,U,10,11,fit,pre,18,12,0.2957647393805844
HK,1993,U,10,11,fit,pre,18,8,0.1407025665348389
HK,1993,U,10,11,fit,pre,18,2,0.2652660069097941
HK,1993,U,10,11,fit,pre,18,11,0.2913426668248394
HK,1993,U,10,11,fit,pre,18,17,0.07090033362804656
HK,1993,U,10,11,fit,pre,18,3,0.21153026721466284
HK,1993,U,10,11,fit,pre,18,21,0.09004469281153626
HK,1993,U,10,11,fit,pre,18,16,0.29619054549280033
HK,1993,U,10,11,fit,pre,18,22,0.10197849382615383
HK,1993,U,10,11,fit,pre,18,13,0.1484449498860869
HK,1993,U,10,11,fit,pre,14,0,0.35358010781062027
HK,1993,U,10,11,fit,pre,14,4,0.1843968221399558
HK,1993,U,10,11,fit,pre,14,12,0.33657628325982397
HK,1993,U,10,11,fit,pre,14,8,0.20187406649349057
HK,1993,U,10,11,fit,pre,14,2,0.27750167628965405
HK,1993,U,10,11,fit,pre,14,11,0.3413668016354222
HK,1993,U,10,11,fit,pre,14,17,0.17461563157716584
HK,1993,U,10,11,fit,pre,14,3,0.16736359207910437
HK,1993,U,10,11,fit,pre,14,21,0.2227629024528752
HK,1993,U,10,11,fit,pre,14,16,0.354837850631333
HK,1993,U,10,11,fit,pre,14,22,0.22619077140029645
HK,1993,U,10,11,fit,pre,14,13,0.21565725691737586
HK,1993,U,10,11,fit,pre,14,18,0.185746753304458
HK,1993,U,10,11,fit,pre,9,0,0.1559436389757496
HK,1993,U,10,11,fit,pre,9,4,0.3411073912163801
HK,1993,U,10,11,fit,pre,9,12,0.14128741169991393
HK,1993,U,10,11,fit,pre,9,8,0.298590711445864
HK,1993,U,10,11,fit,pre,9,2,0.3458919704674002
HK,1993,U,10,11,fit,pre,9,11,0.14247670812421748
HK,1993,U,10,11,fit,pre,9,17,0.26147051926490117
HK,1993,U,10,11,fit,pre,9,3,0.32766789242674216
HK,1993,U,10,11,fit,pre,9,21,0.27343132415148985
HK,1993,U,10,11,fit,pre,9,16,0.16605558207257723
HK,1993,U,10,11,fit,pre,9,22,0.2810437115321109
HK,1993,U,10,11,fit,pre,9,13,0.2637579146602935
HK,1993,U,10,11,fit,pre,9,18,0.24711842590239436
HK,1993,U,10,11,fit,pre,9,14,0.2967886684852688
HK,1993,U,10,11,fit,pre,19,0,0.32850555486531663
HK,1993,U,10,11,fit,pre,19,4,0.2645751483425348
HK,1993,U,10,11,fit,pre,19,12,0.320785880508478
HK,1993,U,10,11,fit,pre,19,8,0.17580863204227612
HK,1993,U,10,11,fit,pre,19,2,0.30637074363749156
HK,1993,U,10,11,fit,pre,19,11,0.3178154801845238
HK,1993,U,10,11,fit,pre,19,17,0.13552819081845002
HK,1993,U,10,11,fit,pre,19,3,0.24175137955138956
HK,1993,U,10,11,fit,pre,19,21,0.13873417581464442
HK,1993,U,10,11,fit,pre,19,16,0.33085086309305306
HK,1993,U,10,11,fit,pre,19,22,0.1516763524625058
HK,1993,U,10,11,fit,pre,19,13,0.1899701398587017
HK,1993,U,10,11,fit,pre,19,18,0.1265444869310121
HK,1993,U,10,11,fit,pre,19,14,0.22216353888531606
HK,1993,U,10,11,fit,pre,19,9,0.2753740592476501
HK,1993,U,10,11,fit,pre,15,0,0.2678069307648505
HK,1993,U,10,11,fit,pre,15,4,0.3473205858148504
HK,1993,U,10,11,fit,pre,15,12,0.2567270990584381
HK,1993,U,10,11,fit,pre,15,8,0.33929773455881473
HK,1993,U,10,11,fit,pre,15,2,0.39077253586120364
HK,1993,U,10,11,fit,pre,15,11,0.24150031835112418
HK,1993,U,10,11,fit,pre,15,17,0.3093361780741074
HK,1993,U,10,11,fit,pre,15,3,0.33507494539797
HK,1993,U,10,11,fit,pre,15,21,0.3195511457468228
HK,1993,U,10,11,fit,pre,15,16,0.25645125542234903
HK,1993,U,10,11,fit,pre,15,22,0.3195218046100026
HK,1993,U,10,11,fit,pre,15,13,0.29758538008142077
HK,1993,U,10,11,fit,pre,15,18,0.3054650865955911
HK,1993,U,10,11,fit,pre,15,14,0.29099894579258173
HK,1993,U,10,11,fit,pre,15,9,0.24017852460043537
HK,1993,U,10,11,fit,pre,15,19,0.32441219033068086
HK,1993,U,10,11,fit,pre,6,0,0.30238454545530297
HK,1993,U,10,11,fit,pre,6,4,0.28544489353118707
HK,1993,U,10,11,fit,pre,6,12,0.30521623037973195
HK,1993,U,10,11,fit,pre,6,8,0.20016458559612638
HK,1993,U,10,11,fit,pre,6,2,0.3171116028387554
HK,1993,U,10,11,fit,pre,6,11,0.30161920402770553
HK,1993,U,10,11,fit,pre,6,17,0.15221269674801616
HK,1993,U,10,11,fit,pre,6,3,0.26476289678828374
HK,1993,U,10,11,fit,pre,6,21,0.14809343541745396
HK,1993,U,10,11,fit,pre,6,16,0.3056332777818147
HK,1993,U,10,11,fit,pre,6,22,0.159940174090254
HK,1993,U,10,11,fit,pre,6,13,0.19236630339030705
HK,1993,U,10,11,fit,pre,6,18,0.1400671897330793
HK,1993,U,10,11,fit,pre,6,14,0.2440145899552729
HK,1993,U,10,11,fit,pre,6,9,0.2664530265065418
HK,1993,U,10,11,fit,pre,6,19,0.16937288269834933
HK,1993,U,10,11,fit,pre,6,15,0.30898496662845715
HK,1993,U,10,11,fit,pre,5,0,0.34891911114167395
HK,1993,U,10,11,fit,pre,5,4,0.23263145826312712
HK,1993,U,10,11,fit,pre,5,12,0.3317161283624392
HK,1993,U,10,11,fit,pre,5,8,0.27867298984155936
HK,1993,U,10,11,fit,pre,5,2,0.35106739564468836
HK,1993,U,10,11,fit,pre,5,11,0.3335501126640228
HK,1993,U,10,11,fit,pre,5,17,0.21646086269624235
HK,1993,U,10,11,fit,pre,5,3,0.23137465379679614
HK,1993,U,10,11,fit,pre,5,21,0.2569048711212024
HK,1993,U,10,11,fit,pre,5,16,0.350273542406594
HK,1993,U,10,11,fit,pre,5,22,0.25081696234620926
HK,1993,U,10,11,fit,pre,5,13,0.2412121816647242
HK,1993,U,10,11,fit,pre,5,18,0.22804861132167922
HK,1993,U,10,11,fit,pre,5,14,0.1555550267653419
HK,1993,U,10,11,fit,pre,5,9,0.31567351323387577
HK,1993,U,10,11,fit,pre,5,19,0.25008924367200747
HK,1993,U,10,11,fit,pre,5,15,0.3005144420304339
HK,1993,U,10,11,fit,pre,5,6,0.2733747115455673
HK,1993,U,10,11,fit,pre,20,0,0.30146725519862305
HK,1993,U,10,11,fit,pre,20,4,0.2252212321898401
HK,1993,U,10,11,fit,pre,20,12,0.2957771225967108
HK,1993,U,10,11,fit,pre,20,8,0.14271819184840479
HK,1993,U,10,11,fit,pre,20,2,0.2639414743419516
HK,1993,U,10,11,fit,pre,20,11,0.2943972654607086
HK,1993,U,10,11,fit,pre,20,17,0.08553908208466106
HK,1993,U,10,11,fit,pre,20,3,0.20398734431782042
HK,1993,U,10,11,fit,pre,20,21,0.06957114669294147
HK,1993,U,10,11,fit,pre,20,16,0.30106498405055193
HK,1993,U,10,11,fit,pre,20,22,0.0819956710209186
HK,1993,U,10,11,fit,pre,20,13,0.15605110269247735
HK,1993,U,10,11,fit,pre,20,18,0.04890823366266673
HK,1993,U,10,11,fit,pre,20,14,0.18203302666269286
HK,1993,U,10,11,fit,pre,20,9,0.25371611846080194
HK,1993,U,10,11,fit,pre,20,19,0.11818556172606887
HK,1993,U,10,11,fit,pre,20,15,0.3050294504908143
HK,1993,U,10,11,fit,pre,20,6,0.13891402536086175
HK,1993,U,10,11,fit,pre,20,5,0.22364059171782935
HK,1993,U,10,11,fit,pre,10,0,0.10280985055875069
HK,1993,U,10,11,fit,pre,10,4,0.3780555216776531
HK,1993,U,10,11,fit,pre,10,12,0.11157932467840063
HK,1993,U,10,11,fit,pre,10,8,0.3590589625901355
HK,1993,U,10,11,fit,pre,10,2,0.40873626024133014
HK,1993,U,10,11,fit,pre,10,11,0.061591434196146544
HK,1993,U,10,11,fit,pre,10,17,0.314142735748015
HK,1993,U,10,11,fit,pre,10,3,0.37043220816361666
HK,1993,U,10,11,fit,pre,10,21,0.30323551737852283
HK,1993,U,10,11,fit,pre,10,16,0.07740671896898797
HK,1993,U,10,11,fit,pre,10,22,0.3066982369331295
HK,1993,U,10,11,fit,pre,10,13,0.29273248541055413
HK,1993,U,10,11,fit,pre,10,18,0.29455922795800804
HK,1993,U,10,11,fit,pre,10,14,0.3564341330815662
HK,1993,U,10,11,fit,pre,10,9,0.15482547606861785
HK,1993,U,10,11,fit,pre,10,19,0.3241354100628039
HK,1993,U,10,11,fit,pre,10,15,0.26039404734718774
HK,1993,U,10,11,fit,pre,10,6,0.3039229579280641
HK,1993,U,10,11,fit,pre,10,5,0.3487490053568392
HK,1993,U,10,11,fit,pre,10,20,0.29753113449923824
HK,1993,U,10,11,fit,pre,7,0,0.4035991840499818
HK,1993,U,10,11,fit,pre,7,4,0.3090403881487142
HK,1993,U,10,11,fit,pre,7,12,0.4022368767010598
HK,1993,U,10,11,fit,pre,7,8,0.24635844967988452
HK,1993,U,10,11,fit,pre,7,2,0.1518010737832443
HK,1993,U,10,11,fit,pre,7,11,0.40861043734304286
HK,1993,U,10,11,fit,pre,7,17,0.29179096350855555
HK,1993,U,10,11,fit,pre,7,3,0.286777224643059
HK,1993,U,10,11,fit,pre,7,21,0.3032461813534754
HK,1993,U,10,11,fit,pre,7,16,0.41299367683804394
HK,1993,U,10,11,fit,pre,7,22,0.3082681963623986
HK,1993,U,10,11,fit,pre,7,13,0.3280554222942331
HK,1993,U,10,11,fit,pre,7,18,0.2783083668709697
HK,1993,U,10,11,fit,pre,7,14,0.2869924968269166
HK,1993,U,10,11,fit,pre,7,9,0.3571795527109957
HK,1993,U,10,11,fit,pre,7,19,0.3106252568149192
HK,1993,U,10,11,fit,pre,7,15,0.3854472157054271
HK,1993,U,10,11,fit,pre,7,6,0.31334977834288785
HK,1993,U,10,11,fit,pre,7,5,0.36664053342517955
HK,1993,U,10,11,fit,pre,7,20,0.28019411115323256
HK,1993,U,10,11,fit,pre,7,10,0.42200434481688737
HK,1993,U,10,11,fit,pre,1,0,0.37872261571015386
HK,1993,U,10,11,fit,pre,1,4,0.2855263485889601
HK,1993,U,10,11,fit,pre,1,12,0.381794965568527
HK,1993,U,10,11,fit,pre,1,8,0.19362021242270788
HK,1993,U,10,11,fit,pre,1,2,0.17991074139395707
HK,1993,U,10,11,fit,pre,1,11,0.37727609500551684
HK,1993,U,10,11,fit,pre,1,17,0.2402047347419902
HK,1993,U,10,11,fit,pre,1,3,0.26716195258336767
HK,1993,U,10,11,fit,pre,1,21,0.2228902129302474
HK,1993,U,10,11,fit,pre,1,16,0.38049253404525796
HK,1993,U,10,11,fit,pre,1,22,0.23091621681464145
HK,1993,U,10,11,fit,pre,1,13,0.26857428787932464
HK,1993,U,10,11,fit,pre,1,18,0.21514788123032214
HK,1993,U,10,11,fit,pre,1,14,0.2678980444189936
HK,1993,U,10,11,fit,pre,1,9,0.34033929060633406
HK,1993,U,10,11,fit,pre,1,19,0.2567132396619015
HK,1993,U,10,11,fit,pre,1,15,0.35344372047354533
HK,1993,U,10,11,fit,pre,1,6,0.26086059417680135
HK,1993,U,10,11,fit,pre,1,5,0.3317361409763461
HK,1993,U,10,11,fit,pre,1,20,0.2140640628890598
HK,1993,U,10,11,fit,pre,1,10,0.38438629047237227
HK,1993,U,10,11,fit,pre,1,7,0.17754422390102947
HK,1993,U,10,11,fit,post,4,0,0.39402996245495786
HK,1993,U,10,11,fit,post,12,0,0.08230780736467064
HK,1993,U,10,11,fit,post,12,4,0.37415500444172645
HK,1993,U,10,11,fit,post,8,0,0.43087064872498415
HK,1993,U,10,11,fit,post,8,4,0.32776079591679463
HK,1993,U,10,11,fit,post,8,12,0.428018812240923
HK,1993,U,10,11,fit,post,2,0,0.4009228926589956
HK,1993,U,10,11,fit,post,2,4,0.31998654253313674
HK,1993,U,10,11,fit,post,2,12,0.4069519935164983
HK,1993,U,10,11,fit,post,2,8,0.2537511195858082
HK,1993,U,10,11,fit,post,11,0,0.07857960184352894
HK,1993,U,10,11,fit,post,11,4,0.3778026573349913
HK,1993,U,10,11,fit,post,11,12,0.06550848705009485
HK,1993,U,10,11,fit,post,11,8,0.41900571166842954
HK,1993,U,10,11,fit,post,11,2,0.400482478536064
HK,1993,U,10,11,fit,post,17,0,0.38963824736142905
HK,1993,U,10,11,fit,post,17,4,0.3282929133563341
HK,1993,U,10,11,fit,post,17,12,0.3810901404463764
HK,1993,U,10,11,fit,post,17,8,0.20495355925544773
HK,1993,U,10,11,fit,post,17,2,0.3336892118806614
HK,1993,U,10,11,fit,post,17,11,0.37480264942402186
HK,1993,U,10,11,fit,post,3,0,0.3941643070137743
HK,1993,U,10,11,fit,post,3,4,0.0892849792890128
HK,1993,U,10,11,fit,post,3,12,0.37578054709450487
HK,1993,U,10,11,fit,post,3,8,0.28323164481921276
HK,1993,U,10,11,fit,post,3,2,0.3016826871342225
HK,1993,U,10,11,fit,post,3,11,0.37705018256763617
HK,1993,U,10,11,fit,post,3,17,0.2870272595300694
HK,1993,U,10,11,fit,post,21,0,0.35584830519247773
HK,1993,U,10,11,fit,post,21,4,0.33144600168563704
HK,1993,U,10,11,fit,post,21,12,0.34985239568172416
HK,1993,U,10,11,fit,post,21,8,0.23587929634607105
HK,1993,U,10,11,fit,post,21,2,0.3390207348080683
HK,1993,U,10,11,fit,post,21,11,0.3408945281684211
HK,1993,U,10,11,fit,post,21,17,0.12591228198763504
HK,1993,U,10,11,fit,post,21,3,0.29982960087287447
HK,1993,U,10,11,fit,post,16,0,0.08421010887737478
HK,1993,U,10,11,fit,post,16,4,0.3837674231541947
HK,1993,U,10,11,fit,post,16,12,0.08608509652428836
HK,1993,U,10,11,fit,post,16,8,0.4218142241615543
HK,1993,U,10,11,fit,post,16,2,0.4020774298368602
HK,1993,U,10,11,fit,post,16,11,0.06033922129474024
HK,1993,U,10,11,fit,post,16,17,0.3786384350745048
HK,1993,U,10,11,fit,post,16,3,0.3802832470257593
HK,1993,U,10,11,fit,post,16,21,0.3457212288346736
HK,1993,U,10,11,fit,post,22,0,0.34687270202859305
HK,1993,U,10,11,fit,post,22,4,0.343867929938343
HK,1993,U,10,11,fit,post,22,12,0.3399488882460792
HK,1993,U,10,11,fit,post,22,8,0.2483462019851896
HK,1993,U,10,11,fit,post,22,2,0.3449587412673364
HK,1993,U,10,11,fit,post,22,11,0.33019827123089485
HK,1993,U,10,11,fit,post,22,17,0.15078138174084801
HK,1993,U,10,11,fit,post,22,3,0.30941130379089654
HK,1993,U,10,11,fit,post,22,21,0.09483968762183731
HK,1993,U,10,11,fit,post,22,16,0.3276991792920641
HK,1993,U,10,11,fit,post,13,0,0.3540828494143054
HK,1993,U,10,11,fit,post,13,4,0.2933651474313231
HK,1993,U,10,11,fit,post,13,12,0.34269678610446763
HK,1993,U,10,11,fit,post,13,8,0.2480187164084248
HK,1993,U,10,11,fit,post,13,2,0.33276278460029923
HK,1993,U,10,11,fit,post,13,11,0.3277347894331085
HK,1993,U,10,11,fit,post,13,17,0.15185498001278175
HK,1993,U,10,11,fit,post,13,3,0.26202916898263473
HK,1993,U,10,11,fit,post,13,21,0.1562700119945266
HK,1993,U,10,11,fit,post,13,16,0.33708032120517856
HK,1993,U,10,11,fit,post,13,22,0.17772015589920934
HK,1993,U,10,11,fit,post,18,0,0.3481418372887301
HK,1993,U,10,11,fit,post,18,4,0.30457367606156543
HK,1993,U,10,11,fit,post,18,12,0.3410343477093749
HK,1993,U,10,11,fit,post,18,8,0.1915178617341156
HK,1993,U,10,11,fit,post,18,2,0.2960710088573777
HK,1993,U,10,11,fit,post,18,11,0.3312507293492433
HK,1993,U,10,11,fit,post,18,17,0.08304407737267752
HK,1993,U,10,11,fit,post,18,3,0.26695758423594196
HK,1993,U,10,11,fit,post,18,21,0.10006202574319463
HK,1993,U,10,11,fit,post,18,16,0.3335265717329119
HK,1993,U,10,11,fit,post,18,22,0.11669948421918507
HK,1993,U,10,11,fit,post,18,13,0.12689019049192143
HK,1993,U,10,11,fit,post,14,0,0.35823884258993927
HK,1993,U,10,11,fit,post,14,4,0.2517895462425768
HK,1993,U,10,11,fit,post,14,12,0.34143213967413
HK,1993,U,10,11,fit,post,14,8,0.2502703270119108
HK,1993,U,10,11,fit,post,14,2,0.32016635337347527
HK,1993,U,10,11,fit,post,14,11,0.3317709329593427
HK,1993,U,10,11,fit,post,14,17,0.16563801723764596
HK,1993,U,10,11,fit,post,14,3,0.21392931707544524
HK,1993,U,10,11,fit,post,14,21,0.18954472172572362
HK,1993,U,10,11,fit,post,14,16,0.33502072100400987
HK,1993,U,10,11,fit,post,14,22,0.19739950491943165
HK,1993,U,10,11,fit,post,14,13,0.14438968431444496
HK,1993,U,10,11,fit,post,14,18,0.145285141385724
HK,1993,U,10,11,fit,post,9,0,0.16273000435099014
HK,1993,U,10,11,fit,post,9,4,0.36072214729670765
HK,1993,U,10,11,fit,post,9,12,0.16883954191922482
HK,1993,U,10,11,fit,post,9,8,0.37668742258079824
HK,1993,U,10,11,fit,post,9,2,0.3551563109774148
HK,1993,U,10,11,fit,post,9,11,0.16064217268487258
HK,1993,U,10,11,fit,post,9,17,0.3419709346708877
HK,1993,U,10,11,fit,post,9,3,0.3529370051736957
HK,1993,U,10,11,fit,post,9,21,0.32308919498671074
HK,1993,U,10,11,fit,post,9,16,0.1795960842826305
HK,1993,U,10,11,fit,post,9,22,0.32476013704297446
HK,1993,U,10,11,fit,post,9,13,0.31238583521719343
HK,1993,U,10,11,fit,post,9,18,0.304629799985558
HK,1993,U,10,11,fit,post,9,14,0.3237116245898944
HK,1993,U,10,11,fit,post,19,0,0.3981588949359649
HK,1993,U,10,11,fit,post,19,4,0.3483785595537992
HK,1993,U,10,11,fit,post,19,12,0.3934679979141799
HK,1993,U,10,11,fit,post,19,8,0.21570493174945182
HK,1993,U,10,11,fit,post,19,2,0.34295788987656667
HK,1993,U,10,11,fit,post,19,11,0.383231518779934
HK,1993,U,10,11,fit,post,19,17,0.11082104661890962
HK,1993,U,10,11,fit,post,19,3,0.30829381534518435
HK,1993,U,10,11,fit,post,19,21,0.13263355585687026
HK,1993,U,10,11,fit,post,19,16,0.3902663225184651
HK,1993,U,10,11,fit,post,19,22,0.17146963494468337
HK,1993,U,10,11,fit,post,19,13,0.16524330908980153
HK,1993,U,10,11,fit,post,19,18,0.11792818310868668
HK,1993,U,10,11,fit,post,19,14,0.2009433923367888
HK,1993,U,10,11,fit,post,19,9,0.3512262575571718
HK,1993,U,10,11,fit,post,15,0,0.24266912364728638
HK,1993,U,10,11,fit,post,15,4,0.3191043504483222
HK,1993,U,10,11,fit,post,15,12,0.22612535527875463
HK,1993,U,10,11,fit,post,15,8,0.33963495478588884
HK,1993,U,10,11,fit,post,15,2,0.36199703447803294
HK,1993,U,10,11,fit,post,15,11,0.20625938165464716
HK,1993,U,10,11,fit,post,15,17,0.2726331068145677
HK,1993,U,10,11,fit,post,15,3,0.30012131606121667
HK,1993,U,10,11,fit,post,15,21,0.2582455619939012
HK,1993,U,10,11,fit,post,15,16,0.21743818641781376
HK,1993,U,10,11,fit,post,15,22,0.25537955225024606
HK,1993,U,10,11,fit,post,15,13,0.23284436668736977
HK,1993,U,10,11,fit,post,15,18,0.23977124261293714
HK,1993,U,10,11,fit,post,15,14,0.21491053102686775
HK,1993,U,10,11,fit,post,15,9,0.22161146235607848
HK,1993,U,10,11,fit,post,15,19,0.28477414904367077
HK,1993,U,10,11,fit,post,6,0,0.3755782256199977
HK,1993,U,10,11,fit,post,6,4,0.32213118755703557
HK,1993,U,10,11,fit,post,6,12,0.3718924109188806
HK,1993,U,10,11,fit,post,6,8,0.2177984722974216
HK,1993,U,10,11,fit,post,6,2,0.315570617102444
HK,1993,U,10,11,fit,post,6,11,0.36829415724681464
HK,1993,U,10,11,fit,post,6,17,0.1485845678220342
HK,1993,U,10,11,fit,post,6,3,0.28161395965093455
HK,1993,U,10,11,fit,post,6,21,0.16183156624421266
HK,1993,U,10,11,fit,post,6,16,0.3722843343464844
HK,1993,U,10,11,fit,post,6,22,0.18957056441876366
HK,1993,U,10,11,fit,post,6,13,0.18888252577678705
HK,1993,U,10,11,fit,post,6,18,0.14553217753347
HK,1993,U,10,11,fit,post,6,14,0.22187383270464844
HK,1993,U,10,11,fit,post,6,9,0.32619913275724716
HK,1993,U,10,11,fit,post,6,19,0.16226495501091073
HK,1993,U,10,11,fit,post,6,15,0.28176997728605296
HK,1993,U,10,11,fit,post,5,0,0.3513524558802546
HK,1993,U,10,11,fit,post,5,4,0.3285831814837432
HK,1993,U,10,11,fit,post,5,12,0.3314594901825418
HK,1993,U,10,11,fit,post,5,8,0.3726589351345021
HK,1993,U,10,11,fit,post,5,2,0.42873550608656125
HK,1993,U,10,11,fit,post,5,11,0.3152101875661888
HK,1993,U,10,11,fit,post,5,17,0.2719220824702219
HK,1993,U,10,11,fit,post,5,3,0.3152837963317008
HK,1993,U,10,11,fit,post,5,21,0.25088900668685254
HK,1993,U,10,11,fit,post,5,16,0.3171468068303304
HK,1993,U,10,11,fit,post,5,22,0.238594163689086
HK,1993,U,10,11,fit,post,5,13,0.21811001404845878
HK,1993,U,10,11,fit,post,5,18,0.2449868417302383
HK,1993,U,10,11,fit,post,5,14,0.1920483358501398
HK,1993,U,10,11,fit,post,5,9,0.35773162821335897
HK,1993,U,10,11,fit,post,5,19,0.29348008462241854
HK,1993,U,10,11,fit,post,5,15,0.2143749748692762
HK,1993,U,10,11,fit,post,5,6,0.3138292707831441
HK,1993,U,10,11,fit,post,20,0,0.34285778191518623
HK,1993,U,10,11,fit,post,20,4,0.30792005232861014
HK,1993,U,10,11,fit,post,20,12,0.3372964080704148
HK,1993,U,10,11,fit,post,20,8,0.2003423440724361
HK,1993,U,10,11,fit,post,20,2,0.30388467707891204
HK,1993,U,10,11,fit,post,20,11,0.3282412226234623
HK,1993,U,10,11,fit,post,20,17,0.09543788557460674
HK,1993,U,10,11,fit,post,20,3,0.27046156917436204
HK,1993,U,10,11,fit,post,20,21,0.0700226936788037
HK,1993,U,10,11,fit,post,20,16,0.3306820735138189
HK,1993,U,10,11,fit,post,20,22,0.09198076244574961
HK,1993,U,10,11,fit,post,20,13,0.13908977294553462
HK,1993,U,10,11,fit,post,20,18,0.05113808999175426
HK,1993,U,10,11,fit,post,20,14,0.15974407046783698
HK,1993,U,10,11,fit,post,20,9,0.30334830303555765
HK,1993,U,10,11,fit,post,20,19,0.1157331878442289
HK,1993,U,10,11,fit,post,20,15,0.24222358933237031
HK,1993,U,10,11,fit,post,20,6,0.14339137193332058
HK,1993,U,10,11,fit,post,20,5,0.24683032860753792
HK,1993,U,10,11,fit,post,10,0,0.09980169250356961
HK,1993,U,10,11,fit,post,10,4,0.40180385872807206
HK,1993,U,10,11,fit,post,10,12,0.10881035182327274
HK,1993,U,10,11,fit,post,10,8,0.43234869035563106
HK,1993,U,10,11,fit,post,10,2,0.4169299262833145
HK,1993,U,10,11,fit,post,10,11,0.06866807525882951
HK,1993,U,10,11,fit,post,10,17,0.3874025986044159
HK,1993,U,10,11,fit,post,10,3,0.40316153164073903
HK,1993,U,10,11,fit,post,10,21,0.3446552399042979
HK,1993,U,10,11,fit,post,10,16,0.09420188578745256
HK,1993,U,10,11,fit,post,10,22,0.336556456203323
HK,1993,U,10,11,fit,post,10,13,0.3392643512305847
HK,1993,U,10,11,fit,post,10,18,0.3416525273043899
