dataset,seed,task,contrast,metric,difference_pp,low,high
HK,1993,5,F1-C0,tail,6.785714285714278,-8.482142857142861,22.238839285714253
HK,1994,5,F1-C0,tail,6.0,-11.5,25.0
HK,1995,5,F1-C0,tail,50.0,50.0,50.0
HK,fixed_three_mean,5,F1-C0,tail,20.928571428571427,12.362202380952382,29.705357142857128
HK,1993,6,F1-P,BA,-0.1035836067683249,-0.3107508203049608,0.10101010101010388
HK,1994,6,F1-P,BA,-0.31274114557997734,-0.9485361906192917,0.3365320538451188
HK,1995,6,F1-P,BA,-1.3727376113046859,-4.8256145954316665,0.9689042537746851
HK,fixed_three_mean,6,F1-P,BA,-0.5963541212176627,-1.7621982397777458,0.22711331248566932
HK,1993,6,F1-P,old,-0.12430032812198988,-0.37290098436596963,0.12121212121212466
HK,1994,6,F1-P,old,-0.24790083966412624,-0.9836065573770512,0.48780487804877737
HK,1995,6,F1-P,old,0.35271486643436845,-0.4761178861788693,1.5105654761904725
HK,fixed_three_mean,6,F1-P,old,-0.00649543378391589,-0.40062725611150746,0.44285708455723294
HK,1993,6,F1-P,current,0.0,0.0,0.0
HK,1994,6,F1-P,current,-0.6369426751592329,-1.5923566878981035,0.0
HK,1995,6,F1-P,current,-10.0,-30.0,0.0
HK,fixed_three_mean,6,F1-P,current,-3.545647558386411,-10.212314225053078,0.0
HK,1993,6,F1-P,HM,-0.07157426550628543,-0.22303450675270647,0.06696058201131938
HK,1994,6,F1-P,HM,-0.37727279481622134,-0.9975613261958873,0.23269275267635606
HK,1995,6,F1-P,HM,-8.609224655600762,-30.959004027140622,0.3106520752800478
HK,fixed_three_mean,6,F1-P,HM,-3.01935723864109,-10.474170903242099,0.04325446742469868
HK,1993,6,F1-P,tail,0.0,0.0,0.0
HK,1994,6,F1-P,tail,0.0,0.0,0.0
HK,1995,6,F1-P,tail,-5.0,-15.0,0.0
HK,fixed_three_mean,6,F1-P,tail,-1.6666666666666667,-5.0,0.0
HK,1993,6,F1-C0,BA,11.385822129531363,5.035994673786057,18.040119223718214
HK,1994,6,F1-C0,BA,23.399453046788395,16.067737355938704,30.799530762970992
HK,1995,6,F1-C0,BA,24.020155763578906,20.074697877298288,27.457403969469055
HK,fixed_three_mean,6,F1-C0,BA,19.601810313299556,15.346317232601853,24.225296438376265
HK,1993,6,F1-C0,old,15.404057984009064,8.010961084475857,23.48407009692429
HK,1994,6,F1-C0,old,29.416923273980466,20.877929263900494,38.232071957472414
HK,1995,6,F1-C0,old,30.82418691629468,27.91552794061722,33.70733993656818
HK,fixed_three_mean,6,F1-C0,old,25.215056058094735,20.597476756807573,30.478087053698193
HK,1993,6,F1-C0,current,-8.705357142857139,-17.098214285714278,-1.875
HK,1994,6,F1-C0,current,-6.687898089171981,-9.554140127388536,-4.140127388535035
HK,1995,6,F1-C0,current,-10.0,-30.0,0.0
HK,fixed_three_mean,6,F1-C0,current,-8.464418410676373,-15.400088306288549,-3.1271168233747866
HK,1993,6,F1-C0,HM,7.122055318652883,1.2648675495725574,13.240398165419162
HK,1994,6,F1-C0,HM,26.613020755036068,17.867257214291183,35.36062712046911
HK,1995,6,F1-C0,HM,1.8845058652218327,-20.53486309938421,11.484707498603496
HK,fixed_three_mean,6,F1-C0,HM,11.873193979636929,4.294242080979706,18.03893236773957
HK,1993,6,F1-C0,tail,13.035714285714292,-4.910714285714285,31.785714285714292
HK,1994,6,F1-C0,tail,21.5,5.0,38.0
HK,1995,6,F1-C0,tail,-5.0,-15.0,0.0
HK,fixed_three_mean,6,F1-C0,tail,9.845238095238097,-0.7447916666666656,21.327827380952378
HK,1993,7,F1-P,BA,0.0022058620784690675,-0.12987012987012747,0.13648771610554888
HK,1994,7,F1-P,BA,-0.16173887587822833,-0.44057377049180246,0.0
HK,1995,7,F1-P,BA,-0.3862150920974301,-1.0355657414480959,0.09337068160597539
HK,fixed_three_mean,7,F1-P,BA,-0.1819160352990631,-0.41040528233150547,0.0025478810838423034
HK,1993,7,F1-P,old,0.0025735057582068066,-0.1515151515151416,0.15923566878981887
HK,1994,7,F1-P,old,-0.188695355191264,-0.5140027322404352,0.0
HK,1995,7,F1-P,old,0.05446623093681069,0.0,0.1633986928104605
HK,fixed_three_mean,7,F1-P,old,-0.043885206165415504,-0.17029520788486283,0.05440063177043322
HK,1993,7,F1-P,current,0.0,0.0,0.0
HK,1994,7,F1-P,current,0.0,0.0,0.0
HK,1995,7,F1-P,current,-3.0303030303030276,-7.575757575757574,0.0
HK,fixed_three_mean,7,F1-P,current,-1.0101010101010093,-2.5252525252525246,0.0
HK,1993,7,F1-P,HM,0.0012974231969593575,-0.07625239806609123,0.08084180301389914
HK,1994,7,F1-P,HM,-0.12764633989246477,-0.3506544957227703,0.0
HK,1995,7,F1-P,HM,-3.9473823910864,-9.8139746284425,0.007569925274153364
HK,fixed_three_mean,7,F1-P,HM,-1.3579104359273018,-3.2911829248549362,-0.009454668632921267
HK,1993,7,F1-P,tail,0.0,0.0,0.0
HK,1994,7,F1-P,tail,0.0,0.0,0.0
HK,1995,7,F1-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,7,F1-P,tail,0.0,0.0,0.0
HK,1993,7,F1-C0,BA,9.824671087893194,3.7057189093824325,16.255822486276013
HK,1994,7,F1-C0,BA,35.514802047857614,30.23698148995525,41.27548800560457
HK,1995,7,F1-C0,BA,42.77168845793784,38.811050920251176,46.6017444762466
HK,fixed_three_mean,7,F1-C0,BA,29.370387197896218,25.408609039651026,33.608690587439185
