dataset,seed,task,method,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,restricted_old_BA,restricted_old_accuracy
HK,1995,3,F1,516,82.57537262872629,98.44961240310077,81.36209729964085,[5],98.4840785907859,100.0,50.0,99.06631097560975,49.59349593495935,100.0,100.0,66.09782149947114,99.06631097560977,98.46938775510205
HK,1995,4,F1,670,85.0241361788618,97.76119402985076,81.87017027696041,[5],98.27574525745257,95.1219512195122,50.0,82.47120596205961,92.6829268292683,100.0,100.0,87.27938788414968,82.5753726287263,98.44961240310077
HK,1995,5,F1,844,87.60416666666667,97.6303317535545,83.97347076689017,[5],98.0856199186992,95.92479674796748,50.0,84.50520833333334,100.0,100.0,100.0,91.60197600564574,84.86979166666666,97.46268656716418
HK,1995,6,F1,851,79.20186214729794,96.59224441833138,75.26393113299994,"[5, 19]",97.29054579148733,95.3150406504065,45.0,87.04223457675752,40.0,100.0,100.0,54.81152617740997,87.30081300813009,97.39336492890996
HK,1995,7,F1,885,67.71607016790456,93.78531073446328,63.803011264751376,"[5, 19, 6]",97.76263350868803,79.39488966318234,32.0,76.22430408477753,16.666666666666668,43.93939393939394,85.29411764705883,27.35260613174019,78.42668503715849,96.59224441833138
HK,1995,8,F1,958,63.547223813767935,89.4572025052192,59.9026737477708,"[5, 19, 6]",97.91507253307827,71.8611199099004,32.32142857142858,65.03418033880219,53.138528138528144,100.0,100.0,58.487626566712756,68.06118382312275,94.23728813559322
HK,1995,9,F1,1176,63.799662055362774,88.35034013605441,59.45259299252964,"[5, 19, 6]",97.94656200215056,68.17607650817224,30.23809523809524,62.325549122087864,75.59256552156208,100.0,100.0,68.32094780082878,63.259238146478104,89.14405010438414
HK,1995,10,F1,1362,61.139122832127086,88.2525697503671,57.383994705530604,"[5, 19, 6, 21]",98.2888016684588,64.51729645760251,25.918367346938776,62.37680314680787,50.0,100.0,100.0,55.50683183727826,63.40637829142728,87.84013605442176
HK,1995,11,F1,1698,61.31857149582831,82.50883392226149,55.71741053813829,"[5, 19, 6, 21]",89.53192393290882,60.73474021602988,33.61607142857143,57.41938752323286,87.31313131313131,99.55555555555556,99.40476190476191,69.27906130624137,60.674433915818824,87.59177679882526
ISIC,1993,1,F1,85,97.5609756097561,97.6470588235294,97.63888888888889,[],100.0,95.1219512195122,,,97.5609756097561,97.5609756097561,97.6470588235294,,,
ISIC,1993,2,F1,149,73.6409830007391,75.83892617449665,74.85415646692333,[],93.18181818181819,71.52439024390245,58.333333333333336,85.61529933481154,61.66666666666667,82.91666666666666,85.9375,71.69391160345758,97.5609756097561,97.6470588235294
ISIC,1993,3,F1,212,68.97951294292757,68.86792452830188,70.31753625204368,[],90.9090909090909,57.442320369149634,75.32051282051282,67.55450849963044,71.82952182952184,98.64864864864865,98.4126984126984,69.62645622311209,72.22838137472284,73.8255033557047
ISIC,1993,4,F1,295,58.99420215698052,57.96610169491525,59.54243643615824,[],66.7997542997543,48.931475882032615,71.31410256410257,62.76586922928386,47.6792009400705,91.86251468860165,91.56626506024097,54.19212440306076,69.37585440634221,69.33962264150944
ISIC,1994,1,F1,64,73.75,79.6875,75.2895752895753,[],,97.5,50.0,,73.75,73.75,79.6875,,,
ISIC,1994,2,F1,142,60.45457042408262,61.267605633802816,61.576153660804714,[],,62.55053834322127,54.166666666666664,65.83333333333333,55.07580751483191,65.0955833882663,65.38461538461539,59.97601123110544,78.75,82.8125
ISIC,1994,3,F1,223,53.888980443858486,54.7085201793722,54.60184279191128,[],61.82432432432432,49.8950780048341,50.0,49.921308503625575,61.82432432432432,83.72235872235872,83.9506172839506,55.23886866119813,58.671308503625575,58.45070422535211
ISIC,1994,4,F1,295,55.214272847159904,53.898305084745765,55.34786749587792,[],63.17567567567568,44.14519503596916,69.39102564102564,53.357046070460704,60.785953177257525,93.9799331103679,94.44444444444444,56.829747343101,55.71815718157181,56.05381165919282
ISIC,1995,1,F1,77,85.74324324324324,85.71428571428571,85.70464135021098,[],86.48648648648648,85.0,,,85.74324324324324,85.74324324324326,85.71428571428571,,,
ISIC,1995,2,F1,147,78.84296446796446,78.2312925170068,79.31165509682134,[],72.2051597051597,82.5,88.46153846153847,73.68243243243244,84.0034965034965,94.66783216783216,94.28571428571428,78.5051906276547,86.89189189189189,87.01298701298701
ISIC,1995,3,F1,225,65.09464414952221,64.0,65.46344308105586,[],69.28746928746929,53.22841133816743,92.3076923076923,70.84565772065773,53.59261700725115,62.65655899802242,62.82051282051282,61.02309292140117,81.3219381969382,80.27210884353741
ISIC,1995,4,F1,295,60.61818861924907,59.32203389830508,61.273604759346625,[],67.01474201474201,50.068749820870714,75.32051282051282,63.131014777356235,53.07971014492754,83.2427536231884,87.14285714285714,57.670683455045655,64.7496400545181,63.55555555555556
