contrast,order_seed,session,metric,difference_pp,std_across_fixed_pairs
S-J-CB minus S-J-U,fixed_pair_mean,0,post_base_macro_recall,,
S-J-CB minus S-J-U,1993,0,tail_base_macro_recall,54.166666666666664,
S-J-CB minus S-J-U,1994,0,tail_base_macro_recall,54.166666666666664,
S-J-CB minus S-J-U,1995,0,tail_base_macro_recall,96.15384615384616,
S-J-CB minus S-J-U,fixed_pair_mean,0,tail_base_macro_recall,68.16239316239317,24.241309379436213
S-J-CB minus S-J-U,1993,0,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,1994,0,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,1995,0,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,fixed_pair_mean,0,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,1993,1,balanced_accuracy,43.541123419172195,
S-J-CB minus S-J-U,1994,1,balanced_accuracy,30.31320955101442,
S-J-CB minus S-J-U,1995,1,balanced_accuracy,35.6676450883768,
S-J-CB minus S-J-U,fixed_pair_mean,1,balanced_accuracy,36.50732601952114,6.653812769791901
S-J-CB minus S-J-U,1993,1,tail_rank2,71.31410256410255,
S-J-CB minus S-J-U,1994,1,tail_rank2,54.166666666666664,
S-J-CB minus S-J-U,1995,1,tail_rank2,92.3076923076923,
S-J-CB minus S-J-U,fixed_pair_mean,1,tail_rank2,72.59615384615385,19.10280609896622
S-J-CB minus S-J-U,1993,1,old_macro_recall,30.358462675535847,
S-J-CB minus S-J-U,1994,1,old_macro_recall,51.044138650845966,
S-J-CB minus S-J-U,1995,1,old_macro_recall,28.46850784350785,
S-J-CB minus S-J-U,fixed_pair_mean,1,old_macro_recall,36.623703056629886,12.524164816943962
S-J-CB minus S-J-U,1993,1,current_macro_recall,69.9064449064449,
S-J-CB minus S-J-U,1994,1,current_macro_recall,-11.148648648648646,
S-J-CB minus S-J-U,1995,1,current_macro_recall,50.0659195781147,
S-J-CB minus S-J-U,fixed_pair_mean,1,current_macro_recall,36.274571945303656,42.25083431073313
S-J-CB minus S-J-U,1993,1,label_6_recall,88.46153846153845,
S-J-CB minus S-J-U,1994,1,label_6_recall,,
S-J-CB minus S-J-U,1995,1,label_6_recall,92.3076923076923,
S-J-CB minus S-J-U,fixed_pair_mean,1,label_6_recall,,
S-J-CB minus S-J-U,1993,1,label_7_recall,54.166666666666664,
S-J-CB minus S-J-U,1994,1,label_7_recall,54.166666666666664,
S-J-CB minus S-J-U,1995,1,label_7_recall,,
S-J-CB minus S-J-U,fixed_pair_mean,1,label_7_recall,,
S-J-CB minus S-J-U,1993,1,base_macro_recall,30.358462675535847,
S-J-CB minus S-J-U,1994,1,base_macro_recall,51.044138650845966,
S-J-CB minus S-J-U,1995,1,base_macro_recall,28.46850784350785,
S-J-CB minus S-J-U,fixed_pair_mean,1,base_macro_recall,36.623703056629886,12.524164816943962
S-J-CB minus S-J-U,1993,1,post_base_macro_recall,69.9064449064449,
S-J-CB minus S-J-U,1994,1,post_base_macro_recall,-11.148648648648646,
S-J-CB minus S-J-U,1995,1,post_base_macro_recall,50.0659195781147,
S-J-CB minus S-J-U,fixed_pair_mean,1,post_base_macro_recall,36.274571945303656,42.25083431073313
S-J-CB minus S-J-U,1993,1,tail_base_macro_recall,54.166666666666664,
S-J-CB minus S-J-U,1994,1,tail_base_macro_recall,54.166666666666664,
S-J-CB minus S-J-U,1995,1,tail_base_macro_recall,92.3076923076923,
S-J-CB minus S-J-U,fixed_pair_mean,1,tail_base_macro_recall,66.88034188034187,22.020731421014574
S-J-CB minus S-J-U,1993,1,tail_post_base_macro_recall,88.46153846153845,
S-J-CB minus S-J-U,1994,1,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,1995,1,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,fixed_pair_mean,1,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,1993,2,balanced_accuracy,33.25982608491888,
S-J-CB minus S-J-U,1994,2,balanced_accuracy,29.1565768858982,
S-J-CB minus S-J-U,1995,2,balanced_accuracy,32.24271457801416,
S-J-CB minus S-J-U,fixed_pair_mean,2,balanced_accuracy,31.553039182943746,2.136797278695409
S-J-CB minus S-J-U,1993,2,tail_rank2,73.3974358974359,
S-J-CB minus S-J-U,1994,2,tail_rank2,69.23076923076923,
S-J-CB minus S-J-U,1995,2,tail_rank2,75.32051282051282,
S-J-CB minus S-J-U,fixed_pair_mean,2,tail_rank2,72.64957264957265,3.112991941096895
S-J-CB minus S-J-U,1993,2,old_macro_recall,46.25595299375787,
S-J-CB minus S-J-U,1994,2,old_macro_recall,29.56662871297018,
S-J-CB minus S-J-U,1995,2,old_macro_recall,36.89125228759376,
S-J-CB minus S-J-U,fixed_pair_mean,2,old_macro_recall,37.57127799810727,8.365417650215797
S-J-CB minus S-J-U,1993,2,current_macro_recall,-5.728554641598123,
S-J-CB minus S-J-U,1994,2,current_macro_recall,27.926421404682273,
S-J-CB minus S-J-U,1995,2,current_macro_recall,18.297101449275367,
S-J-CB minus S-J-U,fixed_pair_mean,2,current_macro_recall,13.498322737453172,17.33307707860048
S-J-CB minus S-J-U,1993,2,label_6_recall,88.46153846153845,
S-J-CB minus S-J-U,1994,2,label_6_recall,88.46153846153845,
S-J-CB minus S-J-U,1995,2,label_6_recall,92.3076923076923,
S-J-CB minus S-J-U,fixed_pair_mean,2,label_6_recall,89.74358974358974,2.220577958421642
S-J-CB minus S-J-U,1993,2,label_7_recall,58.333333333333336,
S-J-CB minus S-J-U,1994,2,label_7_recall,50.0,
S-J-CB minus S-J-U,1995,2,label_7_recall,58.333333333333336,
S-J-CB minus S-J-U,fixed_pair_mean,2,label_7_recall,55.555555555555564,4.811252243246883
S-J-CB minus S-J-U,1993,2,base_macro_recall,35.78205838876572,
S-J-CB minus S-J-U,1994,2,base_macro_recall,48.11222808174028,
S-J-CB minus S-J-U,1995,2,base_macro_recall,28.47465034965036,
S-J-CB minus S-J-U,fixed_pair_mean,2,base_macro_recall,37.45631227338545,9.925268729288474
S-J-CB minus S-J-U,1993,2,post_base_macro_recall,30.737593781072036,
S-J-CB minus S-J-U,1994,2,post_base_macro_recall,10.200925690056131,
S-J-CB minus S-J-U,1995,2,post_base_macro_recall,36.010778806377964,
S-J-CB minus S-J-U,fixed_pair_mean,2,post_base_macro_recall,25.649766092502045,13.636407973251664
S-J-CB minus S-J-U,1993,2,tail_base_macro_recall,58.333333333333336,
S-J-CB minus S-J-U,1994,2,tail_base_macro_recall,50.0,
S-J-CB minus S-J-U,1995,2,tail_base_macro_recall,92.3076923076923,
S-J-CB minus S-J-U,fixed_pair_mean,2,tail_base_macro_recall,66.88034188034187,22.41146410718339
S-J-CB minus S-J-U,1993,2,tail_post_base_macro_recall,88.46153846153845,
S-J-CB minus S-J-U,1994,2,tail_post_base_macro_recall,88.46153846153845,
S-J-CB minus S-J-U,1995,2,tail_post_base_macro_recall,58.333333333333336,
S-J-CB minus S-J-U,fixed_pair_mean,2,tail_post_base_macro_recall,78.41880341880342,17.394527340969486
A-CB minus A-U,1993,0,balanced_accuracy,37.92544345898004,
A-CB minus A-U,1994,0,balanced_accuracy,21.64441880905295,
A-CB minus A-U,1995,0,balanced_accuracy,39.12752787752788,
A-CB minus A-U,fixed_pair_mean,0,balanced_accuracy,32.89913004852029,9.765379949094312
A-CB minus A-U,1993,0,tail_rank2,50.0,
A-CB minus A-U,1994,0,tail_rank2,54.166666666666664,
A-CB minus A-U,1995,0,tail_rank2,96.15384615384616,
A-CB minus A-U,fixed_pair_mean,0,tail_rank2,66.77350427350427,25.5292703486039
A-CB minus A-U,1993,0,old_macro_recall,,
A-CB minus A-U,1994,0,old_macro_recall,,
A-CB minus A-U,1995,0,old_macro_recall,,
A-CB minus A-U,fixed_pair_mean,0,old_macro_recall,,
A-CB minus A-U,1993,0,current_macro_recall,37.92544345898004,
A-CB minus A-U,1994,0,current_macro_recall,21.64441880905295,
A-CB minus A-U,1995,0,current_macro_recall,39.12752787752788,
A-CB minus A-U,fixed_pair_mean,0,current_macro_recall,32.89913004852029,9.765379949094312
A-CB minus A-U,1993,0,label_6_recall,,
A-CB minus A-U,1994,0,label_6_recall,,
A-CB minus A-U,1995,0,label_6_recall,96.15384615384616,
A-CB minus A-U,fixed_pair_mean,0,label_6_recall,,
A-CB minus A-U,1993,0,label_7_recall,50.0,
A-CB minus A-U,1994,0,label_7_recall,54.166666666666664,
A-CB minus A-U,1995,0,label_7_recall,,
A-CB minus A-U,fixed_pair_mean,0,label_7_recall,,
A-CB minus A-U,1993,0,base_macro_recall,37.92544345898004,
A-CB minus A-U,1994,0,base_macro_recall,21.64441880905295,
A-CB minus A-U,1995,0,base_macro_recall,39.12752787752788,
A-CB minus A-U,fixed_pair_mean,0,base_macro_recall,32.89913004852029,9.765379949094312
A-CB minus A-U,1993,0,post_base_macro_recall,,
A-CB minus A-U,1994,0,post_base_macro_recall,,
A-CB minus A-U,1995,0,post_base_macro_recall,,
A-CB minus A-U,fixed_pair_mean,0,post_base_macro_recall,,
A-CB minus A-U,1993,0,tail_base_macro_recall,50.0,
A-CB minus A-U,1994,0,tail_base_macro_recall,54.166666666666664,
A-CB minus A-U,1995,0,tail_base_macro_recall,96.15384615384616,
A-CB minus A-U,fixed_pair_mean,0,tail_base_macro_recall,66.77350427350427,25.5292703486039
A-CB minus A-U,1993,0,tail_post_base_macro_recall,,
A-CB minus A-U,1994,0,tail_post_base_macro_recall,,
A-CB minus A-U,1995,0,tail_post_base_macro_recall,,
A-CB minus A-U,fixed_pair_mean,0,tail_post_base_macro_recall,,
A-CB minus A-U,1993,1,balanced_accuracy,44.7721216013899,
A-CB minus A-U,1994,1,balanced_accuracy,27.762854317732366,
A-CB minus A-U,1995,1,balanced_accuracy,33.53232517866664,
A-CB minus A-U,fixed_pair_mean,1,balanced_accuracy,35.3557670325963,8.64999991489725
A-CB minus A-U,1993,1,tail_rank2,71.31410256410255,
A-CB minus A-U,1994,1,tail_rank2,50.0,
