method,order_seed,original_label,in_parent_base,first_session,first_recall,last_recall,first_minus_final_pp,final_minus_first_pp,no_subsequent_interval
S-J-U,1995,5,False,1,0.0,0.0,0.0,0.0,False
S-J-U,1995,6,True,0,0.0,0.0,0.0,0.0,False
S-J-U,1995,7,False,2,0.0,0.0,,,True
S-J-CB,1993,0,True,0,95.45454545454545,81.81818181818183,13.636363636363626,-13.636363636363626,False
S-J-CB,1993,1,False,2,54.054054054054056,54.054054054054056,,,True
S-J-CB,1993,2,False,2,56.52173913043478,56.52173913043478,,,True
S-J-CB,1993,3,True,0,70.0,55.00000000000001,14.999999999999993,-14.999999999999993,False
S-J-CB,1993,4,True,0,80.48780487804879,53.65853658536586,26.829268292682933,-26.829268292682933,False
S-J-CB,1993,5,False,1,51.35135135135135,45.94594594594595,5.405405405405396,-5.405405405405396,False
S-J-CB,1993,6,False,1,88.46153846153845,88.46153846153845,0.0,0.0,False
S-J-CB,1993,7,True,0,54.166666666666664,58.333333333333336,-4.166666666666671,4.166666666666671,False
S-J-CB,1994,0,False,1,75.0,75.0,0.0,0.0,False
S-J-CB,1994,1,False,1,62.16216216216216,56.75675675675676,5.4054054054054035,-5.4054054054054035,False
S-J-CB,1994,2,False,2,36.95652173913043,36.95652173913043,,,True
S-J-CB,1994,3,True,0,80.0,35.0,45.0,-45.0,False
S-J-CB,1994,4,True,0,51.21951219512195,56.09756097560976,-4.878048780487809,4.878048780487809,False
S-J-CB,1994,5,True,0,51.35135135135135,51.35135135135135,0.0,0.0,False
S-J-CB,1994,6,False,2,88.46153846153845,88.46153846153845,,,True
S-J-CB,1994,7,True,0,54.166666666666664,50.0,4.166666666666664,-4.166666666666664,False
S-J-CB,1995,0,True,0,81.81818181818183,79.54545454545455,2.2727272727272805,-2.2727272727272805,False
S-J-CB,1995,1,True,0,67.56756756756756,54.054054054054056,13.513513513513509,-13.513513513513509,False
S-J-CB,1995,2,False,2,47.82608695652174,47.82608695652174,,,True
S-J-CB,1995,3,True,0,82.5,50.0,32.5,-32.5,False
S-J-CB,1995,4,False,1,56.09756097560976,56.09756097560976,0.0,0.0,False
S-J-CB,1995,5,False,1,51.35135135135135,51.35135135135135,0.0,0.0,False
S-J-CB,1995,6,True,0,96.15384615384616,92.3076923076923,3.846153846153854,-3.846153846153854,False
S-J-CB,1995,7,False,2,58.333333333333336,58.333333333333336,,,True
S-M-U,1993,0,True,0,100.0,93.18181818181817,6.818181818181827,-6.818181818181827,False
S-M-U,1993,1,False,2,43.24324324324324,43.24324324324324,,,True
S-M-U,1993,2,False,2,76.08695652173914,76.08695652173914,,,True
S-M-U,1993,3,True,0,32.5,20.0,12.5,-12.5,False
S-M-U,1993,4,True,0,24.390243902439025,0.0,24.390243902439025,-24.390243902439025,False
S-M-U,1993,5,False,1,0.0,0.0,0.0,0.0,False
S-M-U,1993,6,False,1,0.0,0.0,0.0,0.0,False
S-M-U,1993,7,True,0,0.0,0.0,0.0,0.0,False
S-M-U,1994,0,False,1,100.0,95.45454545454545,4.545454545454547,-4.545454545454547,False
S-M-U,1994,1,False,1,59.45945945945946,51.35135135135135,8.108108108108112,-8.108108108108112,False
S-M-U,1994,2,False,2,71.73913043478261,71.73913043478261,,,True
S-M-U,1994,3,True,0,100.0,5.0,95.0,-95.0,False
S-M-U,1994,4,True,0,41.46341463414634,0.0,41.46341463414634,-41.46341463414634,False
S-M-U,1994,5,True,0,18.91891891891892,0.0,18.91891891891892,-18.91891891891892,False
S-M-U,1994,6,False,2,0.0,0.0,,,True
S-M-U,1994,7,True,0,0.0,0.0,0.0,0.0,False
S-M-U,1995,0,True,0,100.0,97.72727272727273,2.2727272727272663,-2.2727272727272663,False
S-M-U,1995,1,True,0,64.86486486486487,54.054054054054056,10.810810810810814,-10.810810810810814,False
S-M-U,1995,2,False,2,69.56521739130434,69.56521739130434,,,True
S-M-U,1995,3,True,0,27.500000000000004,22.5,5.0000000000000036,-5.0000000000000036,False
S-M-U,1995,4,False,1,7.317073170731707,0.0,7.317073170731707,-7.317073170731707,False
S-M-U,1995,5,False,1,0.0,0.0,0.0,0.0,False
S-M-U,1995,6,True,0,0.0,0.0,0.0,0.0,False
S-M-U,1995,7,False,2,0.0,0.0,,,True
S-M-CB,1993,0,True,0,90.9090909090909,81.81818181818183,9.09090909090908,-9.09090909090908,False
S-M-CB,1993,1,False,2,54.054054054054056,54.054054054054056,,,True
