method,metric,mean,std_ddof1,minimum,maximum,n_parent_models,n_unique_final_fits,interpretation
S-M-CB,tail_rank2,73.29059829059828,3.5159151008342606,69.23076923076923,75.32051282051282,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,old_macro_recall,63.03065345748272,7.838586129257015,54.08838716765546,68.71436142777607,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,current_macro_recall,57.387864453081846,8.390118372456456,52.02702702702703,67.05685618729096,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,label_6_recall,91.02564102564104,2.220577958421642,88.46153846153845,92.3076923076923,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,label_7_recall,55.555555555555564,4.811252243246883,50.0,58.333333333333336,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,base_macro_recall,62.61861426495574,13.420197207607941,47.517715886618326,73.18134568134569,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,post_base_macro_recall,60.621298147809284,7.264206482983061,52.792327056643074,67.14329295851034,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,tail_base_macro_recall,66.88034188034187,22.41146410718339,50.0,92.3076923076923,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,tail_post_base_macro_recall,79.7008547008547,18.604473975248066,58.333333333333336,92.3076923076923,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,accuracy,60.67796610169491,3.9093432524307765,56.271186440677965,63.72881355932203,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,macro_f1,62.343837434751116,3.765079857354442,58.05618657925301,65.11045009604459,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,head_rank2,68.45823095823096,1.5566739431786454,67.22972972972973,70.2088452088452,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,mid_rank4,52.36549778835038,5.561175937881598,46.430759364879194,57.45674027686223,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,HM_old_current_macro,59.34986731706173,0.4764474442326864,58.95357167019729,59.87849129292115,3,3,"three existing fixed S0/order pairs, not independent splits"
