contrast,order_seed,session,metric,point_pp,lower95,upper95,resamples,seed,unit,parents_resampled,independent_confirmation,interpretation
S-J-CB minus A-CB,1995,1,tail_base_macro_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,1,tail_base_macro_recall,1.3888888888888882,0.0,4.545454545454547,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,1,tail_post_base_macro_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,balanced_accuracy,6.2269025726740495,2.734159723835928,9.61565342063005,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,balanced_accuracy,0.7057025671156083,-2.0034965099337407,3.6330889313226318,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,balanced_accuracy,5.692178097069409,2.3963371112681116,9.188595718167894,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,2,balanced_accuracy,4.208261078953022,1.7043408925331143,6.875571431246064,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,tail_rank2,2.2435897435897374,-4.0,8.695652173913032,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,tail_rank2,-1.923076923076934,-6.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,tail_rank2,4.166666666666657,0.0,10.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,2,tail_rank2,1.4957264957264869,-2.6666666666666665,5.797101449275355,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,old_macro_recall,5.678173269636687,2.078978351895031,9.544881825536235,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,old_macro_recall,2.6689189189189193,-0.43859649122806843,6.1571713759213775,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,old_macro_recall,5.47604422604423,1.6559588228972855,9.548605197554172,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,2,old_macro_recall,4.607712138199946,2.026234704223839,7.476984825944659,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,current_macro_recall,7.873090481786136,0.0,16.389603699444127,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,current_macro_recall,-5.1839464882943105,-11.570137604070315,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,current_macro_recall,6.3405797101449295,1.0638297872340488,12.638888888888893,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
