dataset,seed,task,contrast,metric,difference_pp,low,high
HK,1994,4,N1-N10,tail,0.0,0.0,0.0
HK,1995,4,N1-N10,tail,0.0,0.0,0.0
HK,fixed_three_mean,4,N1-N10,tail,0.0,0.0,0.0
HK,1993,4,N1-N10,HM,0.0,0.0,0.0
HK,1994,4,N1-N10,HM,0.23868856388802584,0.0,0.5995184347341826
HK,1995,4,N1-N10,HM,0.0,0.0,0.0
HK,fixed_three_mean,4,N1-N10,HM,0.07956285462934194,0.0,0.19983947824472756
ISIC,1993,4,N10-C3,BA,-36.62579867444661,-41.85784025008567,-31.187059277108627
ISIC,1994,4,N10-C3,BA,-37.39609125445552,-43.204376880327004,-31.933346226479152
ISIC,1995,4,N10-C3,BA,-42.741248486211376,-48.543895327926315,-36.98402374533494
ISIC,fixed_three_mean,4,N10-C3,BA,-38.92104613837117,-43.92849713204858,-34.20582166771598
ISIC,1993,4,N10-C3,old,-62.38708135049598,-68.99152810710898,-55.986943747315856
ISIC,1994,4,N10-C3,old,-52.87148845075674,-59.570055645055646,-46.330069266228016
ISIC,1995,4,N10-C3,old,-64.29509459997266,-70.21530205070334,-58.309410201269934
ISIC,fixed_three_mean,4,N10-C3,old,-59.85122146707513,-65.61876759910648,-54.323956169391735
ISIC,1993,4,N10-C3,current,40.658049353701514,30.77576617841481,51.47187003937576
ISIC,1994,4,N10-C3,current,9.03010033444815,-3.3498447204969026,20.821135265700466
ISIC,1995,4,N10-C3,current,21.92028985507246,7.738471322849215,36.670454545454525
ISIC,fixed_three_mean,4,N10-C3,current,23.869479847740706,15.524296306075488,32.391325908288145
ISIC,1993,4,N10-C3,tail,-71.31410256410257,-84.0,-58.81323160535118
ISIC,1994,4,N10-C3,tail,-46.31410256410257,-61.174986698084524,-32.0
ISIC,1995,4,N10-C3,tail,-50.32051282051282,-63.29657190635452,-35.78505434782609
ISIC,fixed_three_mean,4,N10-C3,tail,-55.98290598290598,-66.44567901234569,-44.42419175027871
ISIC,1993,4,N10-C3,HM,-54.742052777398634,-61.32080936875218,-46.70232902288207
ISIC,1994,4,N10-C3,HM,-58.698856409371714,-64.17344135347378,-53.16828140068177
ISIC,1995,4,N10-C3,HM,-58.151576780459365,-65.85612522469627,-47.92592280334027
ISIC,fixed_three_mean,4,N10-C3,HM,-57.19749532240991,-62.87492777117861,-50.714102632288274
ISIC,1993,4,N1-B1T,BA,-38.10370568224492,-43.453799464319765,-32.63213422120755
ISIC,1994,4,N1-B1T,BA,-37.832709938356814,-43.72612140708445,-32.25559019995511
ISIC,1995,4,N1-B1T,BA,-43.47803710409755,-48.85333866477704,-38.09112767963116
ISIC,fixed_three_mean,4,N1-B1T,BA,-39.804817574899765,-44.64631343230099,-35.11248543691654
ISIC,1993,4,N1-B1T,old,-63.18253589595053,-69.70475417795464,-56.84721164972288
ISIC,1994,4,N1-B1T,old,-52.004371333639625,-58.555365134577514,-45.53495014903873
ISIC,1995,4,N1-B1T,old,-63.88859053493201,-69.91463957582377,-57.929858879858884
ISIC,fixed_three_mean,4,N1-B1T,old,-59.69183258817406,-65.40400311744922,-54.26450149636126
ISIC,1993,4,N1-B1T,current,37.13278495887191,26.743314125295516,47.93092294422081
ISIC,1994,4,N1-B1T,current,4.682274247491634,-7.660476410730809,16.853158881552122
ISIC,1995,4,N1-B1T,current,17.75362318840579,5.737837116629902,28.72438269408667
ISIC,fixed_three_mean,4,N1-B1T,current,19.856227464923112,11.959770669939436,27.930716744266224
ISIC,1993,4,N1-B1T,tail,-71.31410256410257,-84.0,-58.81323160535118
ISIC,1994,4,N1-B1T,tail,-46.31410256410257,-61.174986698084524,-32.0
ISIC,1995,4,N1-B1T,tail,-54.48717948717949,-64.58541666666667,-44.37824675324676
ISIC,fixed_three_mean,4,N1-B1T,tail,-57.37179487179488,-67.21117724867725,-46.849982746721885
ISIC,1993,4,N1-B1T,HM,-57.223372313716396,-63.57103943272276,-49.83290364015531
ISIC,1994,4,N1-B1T,HM,-59.790163976588424,-65.3807533722223,-54.105591462708816
ISIC,1995,4,N1-B1T,HM,-57.98473342694414,-65.79481655916749,-47.88153395499643
ISIC,fixed_three_mean,4,N1-B1T,HM,-58.332756572416315,-64.05702687257427,-52.00535455903131
ISIC,1993,4,N10-C2,BA,-36.01622170617399,-41.42154248964085,-30.605902770409255
ISIC,1994,4,N10-C2,BA,-38.541703661666546,-44.29390095126121,-33.012613999658925
ISIC,1995,4,N10-C2,BA,-42.741248486211376,-48.543895327926315,-36.98402374533494
ISIC,fixed_three_mean,4,N10-C2,BA,-39.099724618017305,-44.05303336672262,-34.309441605895884
ISIC,1993,4,N10-C2,old,-62.38708135049598,-68.99152810710898,-55.986943747315856
ISIC,1994,4,N10-C2,old,-53.67433397921203,-60.23440156321987,-47.278131992827525
ISIC,1995,4,N10-C2,old,-64.29509459997266,-70.21530205070334,-58.309410201269934
ISIC,fixed_three_mean,4,N10-C2,old,-60.11883664322689,-65.75741675589236,-54.69482752527792
ISIC,1993,4,N10-C2,current,43.096357226792,32.88288288288287,53.938560413960836
ISIC,1994,4,N10-C2,current,6.856187290969899,-5.8129432624113555,18.668749999999992
ISIC,1995,4,N10-C2,current,21.92028985507246,7.738471322849215,36.670454545454525
ISIC,fixed_three_mean,4,N10-C2,current,23.957611457611453,15.590501921015367,32.37452061991069
ISIC,1993,4,N10-C2,tail,-71.31410256410257,-84.0,-58.81323160535118
ISIC,1994,4,N10-C2,tail,-46.31410256410257,-61.174986698084524,-32.0
ISIC,1995,4,N10-C2,tail,-50.32051282051282,-63.29657190635452,-35.78505434782609
ISIC,fixed_three_mean,4,N10-C2,tail,-55.98290598290598,-66.44567901234569,-44.42419175027871
ISIC,1993,4,N10-C2,HM,-53.17134079220397,-59.962829980454835,-44.898969168680814
ISIC,1994,4,N10-C2,HM,-60.049735797111474,-65.52657589072665,-54.552472550163486
ISIC,1995,4,N10-C2,HM,-58.151576780459365,-65.85612522469627,-47.92592280334027
ISIC,fixed_three_mean,4,N10-C2,HM,-57.124217789924934,-62.78004441104747,-50.62817767979149
ISIC,1993,4,N1-B1A,BA,-38.10370568224492,-43.453799464319765,-32.63213422120755
ISIC,1994,4,N1-B1A,BA,-37.59410972626773,-43.4825946450601,-32.059900156798356
ISIC,1995,4,N1-B1A,BA,-43.47803710409755,-48.85333866477704,-38.09112767963116
