dataset,seed,method,original_label,arrival_task,first_recall,terminal_recall,first_to_terminal,max_to_terminal
ISIC,1994,P,0,3,75.0,75.0,,
ISIC,1994,C0,3,1,97.5,17.5,80.0,80.0
ISIC,1994,C0,7,1,50.0,45.833333333333336,4.166666666666664,12.5
ISIC,1994,C0,4,2,53.65853658536585,41.46341463414634,12.195121951219512,12.195121951219512
ISIC,1994,C0,5,2,56.75675675675676,59.45945945945946,-2.7027027027027017,0.0
ISIC,1994,C0,1,3,72.97297297297297,72.97297297297297,,
ISIC,1994,C0,0,3,86.36363636363636,86.36363636363636,,
ISIC,1994,C1,3,1,97.5,15.0,82.5,82.5
ISIC,1994,C1,7,1,50.0,37.5,12.5,12.5
ISIC,1994,C1,4,2,53.65853658536585,36.58536585365854,17.073170731707314,17.073170731707314
ISIC,1994,C1,5,2,59.45945945945946,56.75675675675676,2.7027027027027017,2.7027027027027017
ISIC,1994,C1,1,3,75.67567567567568,75.67567567567568,,
ISIC,1994,C1,0,3,86.36363636363636,86.36363636363636,,
ISIC,1994,C2,3,1,97.5,42.5,55.0,55.0
ISIC,1994,C2,7,1,50.0,58.333333333333336,-8.333333333333336,0.0
ISIC,1994,C2,4,2,53.65853658536585,60.97560975609756,-7.31707317073171,0.0
ISIC,1994,C2,5,2,51.351351351351354,51.351351351351354,0.0,0.0
ISIC,1994,C2,1,3,51.351351351351354,51.351351351351354,,
ISIC,1994,C2,0,3,81.81818181818181,81.81818181818181,,
ISIC,1994,C3,3,1,97.5,42.5,55.0,55.0
ISIC,1994,C3,7,1,50.0,58.333333333333336,-8.333333333333336,0.0
ISIC,1994,C3,4,2,53.65853658536585,56.09756097560975,-2.439024390243901,0.0
ISIC,1994,C3,5,2,48.648648648648646,51.351351351351354,-2.702702702702709,0.0
ISIC,1994,C3,1,3,51.351351351351354,51.351351351351354,,
ISIC,1994,C3,0,3,81.81818181818181,81.81818181818181,,
ISIC,1995,P,1,1,78.37837837837837,51.351351351351354,27.027027027027017,27.027027027027017
ISIC,1995,P,3,1,87.5,37.5,50.0,50.0
ISIC,1995,P,0,2,79.54545454545455,79.54545454545455,0.0,0.0
ISIC,1995,P,6,2,96.15384615384616,92.3076923076923,3.846153846153854,3.846153846153854
ISIC,1995,P,4,3,58.53658536585366,58.53658536585366,,
ISIC,1995,P,5,3,48.648648648648646,48.648648648648646,,
ISIC,1995,C0,1,1,86.48648648648648,24.324324324324323,62.16216216216216,62.16216216216216
ISIC,1995,C0,3,1,85.0,17.5,67.5,67.5
ISIC,1995,C0,0,2,93.18181818181819,84.0909090909091,9.090909090909093,9.090909090909093
ISIC,1995,C0,6,2,96.15384615384616,96.15384615384616,0.0,0.0
ISIC,1995,C0,4,3,60.97560975609756,60.97560975609756,,
ISIC,1995,C0,5,3,59.45945945945946,59.45945945945946,,
ISIC,1995,C1,1,1,86.48648648648648,24.324324324324323,62.16216216216216,62.16216216216216
ISIC,1995,C1,3,1,85.0,12.5,72.5,72.5
ISIC,1995,C1,0,2,95.45454545454545,86.36363636363636,9.090909090909093,9.090909090909093
ISIC,1995,C1,6,2,92.3076923076923,92.3076923076923,0.0,0.0
ISIC,1995,C1,4,3,60.97560975609756,60.97560975609756,,
ISIC,1995,C1,5,3,59.45945945945946,59.45945945945946,,
ISIC,1995,C2,1,1,86.48648648648648,54.054054054054056,32.43243243243243,32.43243243243243
ISIC,1995,C2,3,1,85.0,55.0,30.0,30.0
ISIC,1995,C2,0,2,79.54545454545455,81.81818181818181,-2.2727272727272663,0.0
ISIC,1995,C2,6,2,88.46153846153847,92.3076923076923,-3.8461538461538396,0.0
ISIC,1995,C2,4,3,58.53658536585366,58.53658536585366,,
ISIC,1995,C2,5,3,48.648648648648646,48.648648648648646,,
ISIC,1995,C3,1,1,86.48648648648648,54.054054054054056,32.43243243243243,32.43243243243243
ISIC,1995,C3,3,1,85.0,55.0,30.0,30.0
ISIC,1995,C3,0,2,79.54545454545455,81.81818181818181,-2.2727272727272663,0.0
ISIC,1995,C3,6,2,88.46153846153847,92.3076923076923,-3.8461538461538396,0.0
ISIC,1995,C3,4,3,58.53658536585366,58.53658536585366,,
ISIC,1995,C3,5,3,48.648648648648646,48.648648648648646,,
