comparison,stage,metric,lower_pp,upper_pp,resamples,seed,valid_draws,parents_resampled
S-J-CB minus A-CB,5,label_21_recall,0.0,75.0,2000,44001,2000,False
S-J-CB minus A-CB,5,label_16_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,5,label_22_recall,0.0,4.761904761904764,2000,44001,2000,False
S-J-CB minus A-CB,5,label_13_recall,0.0,2.5,2000,44001,2000,False
S-J-CB minus A-CB,5,label_18_recall,-2.3684757858670005e-15,19.19191919191919,2000,44001,2000,False
S-J-CB minus A-CB,5,label_14_recall,0.5555555555555571,13.333333333333329,2000,44001,2000,False
S-J-CB minus A-CB,5,label_9_recall,-1.0162601626016254,0.0,2000,44001,2000,False
S-J-CB minus A-CB,5,label_19_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,5,label_15_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,5,label_6_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,5,label_5_recall,33.333333333333336,33.333333333333336,2000,44001,2000,False
S-J-CB minus A-CB,5,label_20_recall,-3.547979797979798,8.585858585858585,2000,44001,2000,False
S-J-CB minus A-CB,5,label_10_recall,-2.444444444444443,2.6666666666666665,2000,44001,2000,False
S-J-CB minus A-CB,5,label_7_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,5,label_1_recall,-0.8849557522123869,1.7699115044247833,2000,44001,2000,False
S-J-CB minus A-CB,average,AvgBA_all,0.4356589085708452,4.190889038407279,2000,44001,2000,False
S-J-CB minus A-CB,average,AvgBA_inc,0.5509565864784096,4.3072937679363825,2000,44001,2000,False
S-M-CB minus A-CB,0,balanced_accuracy,-1.2204129147044291,4.421823315664465,2000,44001,2000,False
S-M-CB minus A-CB,0,current_macro_recall,-1.2204129147044291,4.421823315664465,2000,44001,2000,False
S-M-CB minus A-CB,0,base_macro_recall,-1.2204129147044291,4.421823315664465,2000,44001,2000,False
S-M-CB minus A-CB,0,tail_rank8_macro_recall,-7.688492063492063,6.605902777777732,2000,44001,2000,False
S-M-CB minus A-CB,0,middle_rank7_macro_recall,-0.016539891979717322,5.133531508031707,2000,44001,2000,False
S-M-CB minus A-CB,0,head_rank8_macro_recall,1.3838319417808191,3.496879155307778,2000,44001,2000,False
S-M-CB minus A-CB,0,label_12_recall,0.8130081300813004,8.94308943089431,2000,44001,2000,False
S-M-CB minus A-CB,0,label_17_recall,0.0,40.0,2000,44001,2000,False
S-M-CB minus A-CB,0,label_16_recall,-25.0,12.5,2000,44001,2000,False
S-M-CB minus A-CB,0,label_22_recall,0.0,14.285714285714286,2000,44001,2000,False
S-M-CB minus A-CB,0,label_13_recall,-0.4166666666666667,2.9166666666666665,2000,44001,2000,False
S-M-CB minus A-CB,1,balanced_accuracy,-1.0706032667044703,2.9072198740471906,2000,44001,2000,False
S-M-CB minus A-CB,1,old_macro_recall,-1.4044824831923228,3.13065959512365,2000,44001,2000,False
S-M-CB minus A-CB,1,current_macro_recall,-0.25252525252525143,2.7777777777777772,2000,44001,2000,False
S-M-CB minus A-CB,1,base_macro_recall,-1.4044824831923228,3.13065959512365,2000,44001,2000,False
S-M-CB minus A-CB,1,post_base_macro_recall,-0.25252525252525143,2.7777777777777772,2000,44001,2000,False
S-M-CB minus A-CB,1,tail_rank8_macro_recall,-8.023809523809524,2.5,2000,44001,2000,False
S-M-CB minus A-CB,1,middle_rank7_macro_recall,0.6258654306435151,4.244151473609684,2000,44001,2000,False
S-M-CB minus A-CB,1,head_rank8_macro_recall,1.0809319425994748,2.8310504731445016,2000,44001,2000,False
S-M-CB minus A-CB,1,HM_old_current_macro,-0.34758887766105073,4.508896045389781,2000,44001,2000,False
S-M-CB minus A-CB,1,label_12_recall,0.8130081300813004,7.317073170731708,2000,44001,2000,False
S-M-CB minus A-CB,1,label_17_recall,0.0,20.0,2000,44001,2000,False
S-M-CB minus A-CB,1,label_16_recall,-25.0,12.5,2000,44001,2000,False
S-M-CB minus A-CB,1,label_22_recall,0.0,7.936507936507937,2000,44001,2000,False
S-M-CB minus A-CB,1,label_13_recall,-0.4166666666666667,2.7083333333333335,2000,44001,2000,False
S-M-CB minus A-CB,1,label_9_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,2,balanced_accuracy,-2.424641279913813,2.4438601760360217,2000,44001,2000,False
S-M-CB minus A-CB,2,old_macro_recall,-1.8771956502170033,2.8231916688077145,2000,44001,2000,False
S-M-CB minus A-CB,2,current_macro_recall,-7.9034544719258015,1.0101010101010104,2000,44001,2000,False
S-M-CB minus A-CB,2,base_macro_recall,-2.358167729807659,3.005719776243649,2000,44001,2000,False
S-M-CB minus A-CB,2,post_base_macro_recall,-3.319405956746721,1.6218112655214538,2000,44001,2000,False
S-M-CB minus A-CB,2,tail_rank8_macro_recall,-9.366443452380956,2.8841765873015754,2000,44001,2000,False
S-M-CB minus A-CB,2,middle_rank7_macro_recall,-0.6504309291194552,3.31578282587878,2000,44001,2000,False
S-M-CB minus A-CB,2,head_rank8_macro_recall,1.1411289951063717,2.770398217351665,2000,44001,2000,False
S-M-CB minus A-CB,2,HM_old_current_macro,-3.7557441432125604,1.6547918031965043,2000,44001,2000,False
S-M-CB minus A-CB,2,label_0_recall,-42.85714285714286,0.0,2000,44001,2000,False
S-M-CB minus A-CB,2,label_12_recall,-2.439024390243906,2.439024390243901,2000,44001,2000,False
S-M-CB minus A-CB,2,label_17_recall,-20.0,20.0,2000,44001,2000,False
S-M-CB minus A-CB,2,label_3_recall,2.972399150743101,8.70488322717622,2000,44001,2000,False
S-M-CB minus A-CB,2,label_16_recall,-25.0,25.0,2000,44001,2000,False
S-M-CB minus A-CB,2,label_22_recall,0.0,7.936507936507937,2000,44001,2000,False
S-M-CB minus A-CB,2,label_13_recall,-0.625,2.2916666666666665,2000,44001,2000,False
S-M-CB minus A-CB,2,label_18_recall,-4.040404040404037,10.101010101010099,2000,44001,2000,False
S-M-CB minus A-CB,2,label_9_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,2,label_19_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,2,label_15_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,3,balanced_accuracy,-1.5828007141381657,2.7075919815834535,2000,44001,2000,False
S-M-CB minus A-CB,3,old_macro_recall,-1.7328260669884978,3.0673278077944124,2000,44001,2000,False
S-M-CB minus A-CB,3,current_macro_recall,-1.9368892757547904,1.3516377323210373,2000,44001,2000,False
S-M-CB minus A-CB,3,base_macro_recall,-1.4749145804336823,3.8375449075127674,2000,44001,2000,False
S-M-CB minus A-CB,3,post_base_macro_recall,-2.5927080286900694,0.9793141244070873,2000,44001,2000,False
S-M-CB minus A-CB,3,tail_rank8_macro_recall,-7.645124716553288,3.055555555555556,2000,44001,2000,False
S-M-CB minus A-CB,3,middle_rank7_macro_recall,0.5690989297879263,4.991185382521002,2000,44001,2000,False
S-M-CB minus A-CB,3,head_rank8_macro_recall,0.8746873299760614,2.471363158486926,2000,44001,2000,False
S-M-CB minus A-CB,3,HM_old_current_macro,-1.107178806843859,1.6938426351575795,2000,44001,2000,False
S-M-CB minus A-CB,3,label_0_recall,-42.85714285714286,0.0,2000,44001,2000,False
S-M-CB minus A-CB,3,label_12_recall,0.0,6.504065040650407,2000,44001,2000,False
S-M-CB minus A-CB,3,label_11_recall,-4.918032786885248,5.464480874316938,2000,44001,2000,False
S-M-CB minus A-CB,3,label_17_recall,-13.333333333333334,26.666666666666668,2000,44001,2000,False
S-M-CB minus A-CB,3,label_3_recall,3.397027600849261,9.341825902335458,2000,44001,2000,False
S-M-CB minus A-CB,3,label_16_recall,-25.0,12.5,2000,44001,2000,False
S-M-CB minus A-CB,3,label_22_recall,0.0,9.523809523809527,2000,44001,2000,False
S-M-CB minus A-CB,3,label_13_recall,-0.8333333333333334,2.9166666666666665,2000,44001,2000,False
S-M-CB minus A-CB,3,label_18_recall,-1.0101010101010104,15.15151515151515,2000,44001,2000,False
S-M-CB minus A-CB,3,label_9_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,3,label_19_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,3,label_15_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,3,label_6_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,3,label_5_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,4,balanced_accuracy,0.9942466190843078,6.6637167059922975,2000,44001,2000,False
S-M-CB minus A-CB,4,old_macro_recall,0.9264037427646445,6.2837191727348,2000,44001,2000,False
S-M-CB minus A-CB,4,current_macro_recall,-1.1921717171717154,12.773106060606064,2000,44001,2000,False
S-M-CB minus A-CB,4,base_macro_recall,-0.3279152723879099,6.58695998513917,2000,44001,2000,False
S-M-CB minus A-CB,4,post_base_macro_recall,2.641208142464661,7.293877514101351,2000,44001,2000,False
S-M-CB minus A-CB,4,tail_rank8_macro_recall,-0.860969387755104,15.00903486394557,2000,44001,2000,False
S-M-CB minus A-CB,4,middle_rank7_macro_recall,-0.1391131556843998,4.199708414275691,2000,44001,2000,False
S-M-CB minus A-CB,4,head_rank8_macro_recall,1.168152432926813,2.959832888592349,2000,44001,2000,False
S-M-CB minus A-CB,4,HM_old_current_macro,0.26488129665867705,9.091483450965058,2000,44001,2000,False
S-M-CB minus A-CB,4,label_0_recall,-42.85714285714286,0.0,2000,44001,2000,False
S-M-CB minus A-CB,4,label_4_recall,1.2121212121212086,9.090909090909088,2000,44001,2000,False
S-M-CB minus A-CB,4,label_12_recall,-1.6260162601626007,9.756097560975618,2000,44001,2000,False
S-M-CB minus A-CB,4,label_11_recall,-3.2786885245901645,7.6502732240437155,2000,44001,2000,False
S-M-CB minus A-CB,4,label_17_recall,0.0,40.0,2000,44001,2000,False
S-M-CB minus A-CB,4,label_3_recall,4.0339702760084934,11.464968152866243,2000,44001,2000,False
S-M-CB minus A-CB,4,label_21_recall,0.0,75.0,2000,44001,2000,False
S-M-CB minus A-CB,4,label_16_recall,-25.0,12.5,2000,44001,2000,False
S-M-CB minus A-CB,4,label_22_recall,0.0,4.761904761904764,2000,44001,2000,False
S-M-CB minus A-CB,4,label_13_recall,-0.20833333333333334,3.5416666666666665,2000,44001,2000,False
S-M-CB minus A-CB,4,label_18_recall,-4.0404040404040416,12.121212121212123,2000,44001,2000,False
S-M-CB minus A-CB,4,label_14_recall,-4.444444444444443,3.3333333333333286,2000,44001,2000,False
S-M-CB minus A-CB,4,label_9_recall,-0.6097560975609753,0.0,2000,44001,2000,False
S-M-CB minus A-CB,4,label_19_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,4,label_15_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,4,label_6_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,4,label_5_recall,33.333333333333336,33.333333333333336,2000,44001,2000,False
S-M-CB minus A-CB,4,label_20_recall,-5.050505050505051,8.585858585858587,2000,44001,2000,False
S-M-CB minus A-CB,5,balanced_accuracy,1.9248591824201742,7.434468512081255,2000,44001,2000,False
S-M-CB minus A-CB,5,old_macro_recall,2.002904172631537,8.058509881146229,2000,44001,2000,False
S-M-CB minus A-CB,5,current_macro_recall,0.20217230376002332,2.0899358714819396,2000,44001,2000,False
S-M-CB minus A-CB,5,base_macro_recall,0.6913474814721077,8.274657867138789,2000,44001,2000,False
S-M-CB minus A-CB,5,post_base_macro_recall,3.146063796996543,6.971653975289625,2000,44001,2000,False
S-M-CB minus A-CB,5,tail_rank8_macro_recall,0.9218749999999942,15.833333333333334,2000,44001,2000,False
S-M-CB minus A-CB,5,middle_rank7_macro_recall,1.1339905942676856,6.105795606516999,2000,44001,2000,False
S-M-CB minus A-CB,5,head_rank8_macro_recall,1.1418203452379891,3.0320041726701397,2000,44001,2000,False
S-M-CB minus A-CB,5,HM_old_current_macro,1.7216766792349927,6.169604996576879,2000,44001,2000,False
S-M-CB minus A-CB,5,label_0_recall,-42.85714285714286,0.0,2000,44001,2000,False
S-M-CB minus A-CB,5,label_4_recall,0.6010101010100997,8.080808080808088,2000,44001,2000,False
S-M-CB minus A-CB,5,label_12_recall,-1.6260162601626007,12.195121951219514,2000,44001,2000,False
S-M-CB minus A-CB,5,label_8_recall,-1.3071895424836601,1.9607843137254974,2000,44001,2000,False
S-M-CB minus A-CB,5,label_2_recall,1.098901098901095,7.142857142857139,2000,44001,2000,False
S-M-CB minus A-CB,5,label_11_recall,-3.2786885245901622,8.743169398907105,2000,44001,2000,False
S-M-CB minus A-CB,5,label_17_recall,0.0,53.333333333333336,2000,44001,2000,False
S-M-CB minus A-CB,5,label_3_recall,3.8216560509554163,11.677282377919317,2000,44001,2000,False
S-M-CB minus A-CB,5,label_21_recall,0.0,75.0,2000,44001,2000,False
S-M-CB minus A-CB,5,label_16_recall,-25.0,12.5,2000,44001,2000,False
S-M-CB minus A-CB,5,label_22_recall,0.0,4.761904761904764,2000,44001,2000,False
S-M-CB minus A-CB,5,label_13_recall,0.0,3.75,2000,44001,2000,False
S-M-CB minus A-CB,5,label_18_recall,-4.040404040404044,18.18181818181818,2000,44001,2000,False
S-M-CB minus A-CB,5,label_14_recall,-0.5555555555555524,12.22222222222222,2000,44001,2000,False
S-M-CB minus A-CB,5,label_9_recall,-0.6097560975609753,0.0,2000,44001,2000,False
S-M-CB minus A-CB,5,label_19_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,5,label_15_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,5,label_6_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,5,label_5_recall,33.333333333333336,33.333333333333336,2000,44001,2000,False
S-M-CB minus A-CB,5,label_20_recall,-4.040404040404038,10.101010101010099,2000,44001,2000,False
S-M-CB minus A-CB,5,label_10_recall,-4.0,2.6666666666666714,2000,44001,2000,False
S-M-CB minus A-CB,5,label_7_recall,0.0,0.0,2000,44001,2000,False
S-M-CB minus A-CB,5,label_1_recall,0.0,5.014749262536867,2000,44001,2000,False
S-M-CB minus A-CB,average,AvgBA_all,-0.3700241289345887,4.059272923485909,2000,44001,2000,False
S-M-CB minus A-CB,average,AvgBA_inc,-0.2206628742376578,4.089060242559489,2000,44001,2000,False
