method,order_seed,session,split,seen_classes,old_classes,current_classes,scope,n_images,n_classes,correct_sample_weighted,correct_class_macro,to_other_sample_weighted,to_other_class_macro,wrong_within_sample_weighted,wrong_within_class_macro
S-M-CB,1994,4,val,21,19,2,current,126,2,55.55555555555556,57.19696969696969,43.65079365079365,42.04545454545455,0.7936507936507936,0.7575757575757576
S-M-CB,1994,4,val,21,19,2,old,1237,19,87.46968472109944,67.77992142977631,0.40420371867421184,8.256506010036176,12.126111560226354,23.963572560187515
S-M-CB,1994,5,val,23,21,2,current,335,2,91.64179104477613,92.04733175321411,8.358208955223882,7.952668246785893,0.0,0.0
S-M-CB,1994,5,val,23,21,2,old,1363,21,84.00586940572266,67.29032695119437,0.9537784299339692,0.9622137940722012,15.040352164343359,31.747459254733414
S-M-CB,1995,0,val,13,0,13,current,884,13,95.70135746606336,76.10623813457386,0.0,0.0,4.298642533936651,23.89376186542614
S-M-CB,1995,0,val,13,0,13,old,0,0,,,,,,
S-M-CB,1995,1,val,15,13,2,current,67,2,44.776119402985074,22.727272727272727,52.23880597014925,26.515151515151516,2.9850746268656714,50.75757575757576
S-M-CB,1995,1,val,15,13,2,old,884,13,94.45701357466064,73.66607348494007,1.3574660633484164,6.624833499833501,4.18552036199095,19.709093015226443
S-M-CB,1995,2,val,17,15,2,current,164,2,97.5609756097561,78.25295723384895,2.4390243902439024,21.747042766151043,0.0,0.0
S-M-CB,1995,2,val,17,15,2,old,951,15,90.32597266035752,64.68123332111854,0.5257623554153523,2.154471544715447,9.14826498422713,33.16429513416601
S-M-CB,1995,3,val,19,17,2,current,243,2,87.65432098765432,75.40983606557377,12.345679012345679,24.59016393442623,0.0,0.0
S-M-CB,1995,3,val,19,17,2,old,1115,17,90.85201793721973,65.83867073370867,0.8071748878923767,2.1969960795966053,8.340807174887892,31.96433318669473
S-M-CB,1995,4,val,21,19,2,current,169,2,87.57396449704143,57.04545454545455,12.42603550295858,42.95454545454545,0.0,0.0
S-M-CB,1995,4,val,21,19,2,old,1358,19,87.84977908689248,65.10256894121666,2.798232695139912,3.44265411647242,9.3519882179676,31.454776942310918
S-M-CB,1995,5,val,23,21,2,current,171,2,81.87134502923976,89.66666666666667,18.128654970760234,10.333333333333334,0.0,0.0
S-M-CB,1995,5,val,23,21,2,old,1527,21,85.26522593320236,62.21821662509639,2.8814669286182055,3.435164237271965,11.853307138179437,34.346619137631656
