comparison,seed,stage,metric,delta_pp
S-J-CB minus A-CB,1993,2,current_tail_macro_recall,0.0
S-J-CB minus A-CB,1993,2,tail_base_macro_recall,-3.5714285714285765
S-J-CB minus A-CB,1993,2,tail_post_base_macro_recall,0.0
S-J-CB minus A-CB,1993,3,balanced_accuracy,0.9391410923505603
S-J-CB minus A-CB,1993,3,tail_rank8_macro_recall,-2.0408163265306136
S-J-CB minus A-CB,1993,3,head_rank8_macro_recall,2.1386528940856095
S-J-CB minus A-CB,1993,3,middle_rank7_macro_recall,3.4317649563551242
S-J-CB minus A-CB,1993,3,old_macro_recall,1.049628279685919
S-J-CB minus A-CB,1993,3,current_macro_recall,0.0
S-J-CB minus A-CB,1993,3,HM_old_current_macro,0.0
S-J-CB minus A-CB,1993,3,base_macro_recall,1.2443856990764743
S-J-CB minus A-CB,1993,3,post_base_macro_recall,0.27777777777777146
S-J-CB minus A-CB,1993,3,old_tail_macro_recall,-2.857142857142861
S-J-CB minus A-CB,1993,3,current_tail_macro_recall,0.0
S-J-CB minus A-CB,1993,3,tail_base_macro_recall,-3.5714285714285765
S-J-CB minus A-CB,1993,3,tail_post_base_macro_recall,0.0
S-J-CB minus A-CB,1993,4,balanced_accuracy,1.0582227677663951
S-J-CB minus A-CB,1993,4,tail_rank8_macro_recall,-1.3265306122449019
S-J-CB minus A-CB,1993,4,head_rank8_macro_recall,1.8676057833865087
S-J-CB minus A-CB,1993,4,middle_rank7_macro_recall,2.7612576902860866
S-J-CB minus A-CB,1993,4,old_macro_recall,1.2047023573558349
S-J-CB minus A-CB,1993,4,current_macro_recall,-0.3333333333333286
S-J-CB minus A-CB,1993,4,HM_old_current_macro,0.26423678320401933
S-J-CB minus A-CB,1993,4,base_macro_recall,1.632513701776503
S-J-CB minus A-CB,1993,4,post_base_macro_recall,0.125
S-J-CB minus A-CB,1993,4,old_tail_macro_recall,-1.3265306122449019
S-J-CB minus A-CB,1993,4,current_tail_macro_recall,
S-J-CB minus A-CB,1993,4,tail_base_macro_recall,-2.3214285714285765
S-J-CB minus A-CB,1993,4,tail_post_base_macro_recall,0.0
S-J-CB minus A-CB,1993,5,balanced_accuracy,2.3018280759971788
S-J-CB minus A-CB,1993,5,tail_rank8_macro_recall,1.3392857142857082
S-J-CB minus A-CB,1993,5,head_rank8_macro_recall,2.1391150596728608
S-J-CB minus A-CB,1993,5,middle_rank7_macro_recall,3.5878342223237922
S-J-CB minus A-CB,1993,5,old_macro_recall,2.478909047415364
S-J-CB minus A-CB,1993,5,current_macro_recall,0.44247787610621003
S-J-CB minus A-CB,1993,5,HM_old_current_macro,2.0528654229240857
S-J-CB minus A-CB,1993,5,base_macro_recall,3.4379579716989426
S-J-CB minus A-CB,1993,5,post_base_macro_recall,0.8248592115848723
S-J-CB minus A-CB,1993,5,old_tail_macro_recall,1.5306122448979558
S-J-CB minus A-CB,1993,5,current_tail_macro_recall,0.0
S-J-CB minus A-CB,1993,5,tail_base_macro_recall,2.6785714285714235
S-J-CB minus A-CB,1993,5,tail_post_base_macro_recall,0.0
S-J-CB minus A-CB,1994,0,balanced_accuracy,2.5038717547462497
S-J-CB minus A-CB,1994,0,tail_rank8_macro_recall,0.952380952380949
S-J-CB minus A-CB,1994,0,head_rank8_macro_recall,3.0985511966801624
S-J-CB minus A-CB,1994,0,middle_rank7_macro_recall,4.81394743689826
S-J-CB minus A-CB,1994,0,old_macro_recall,
S-J-CB minus A-CB,1994,0,current_macro_recall,2.5038717547462497
S-J-CB minus A-CB,1994,0,HM_old_current_macro,
S-J-CB minus A-CB,1994,0,base_macro_recall,2.5038717547462497
S-J-CB minus A-CB,1994,0,post_base_macro_recall,
S-J-CB minus A-CB,1994,0,old_tail_macro_recall,
S-J-CB minus A-CB,1994,0,current_tail_macro_recall,0.952380952380949
S-J-CB minus A-CB,1994,0,tail_base_macro_recall,0.952380952380949
S-J-CB minus A-CB,1994,0,tail_post_base_macro_recall,
S-J-CB minus A-CB,1994,1,balanced_accuracy,1.9113423582139148
S-J-CB minus A-CB,1994,1,tail_rank8_macro_recall,0.8163265306122369
S-J-CB minus A-CB,1994,1,head_rank8_macro_recall,2.3585391745637168
S-J-CB minus A-CB,1994,1,middle_rank7_macro_recall,3.7210512620348766
S-J-CB minus A-CB,1994,1,old_macro_recall,2.299203659102375
S-J-CB minus A-CB,1994,1,current_macro_recall,-0.6097560975609753
S-J-CB minus A-CB,1994,1,HM_old_current_macro,1.5367819948969696
S-J-CB minus A-CB,1994,1,base_macro_recall,2.299203659102375
S-J-CB minus A-CB,1994,1,post_base_macro_recall,-0.6097560975609753
S-J-CB minus A-CB,1994,1,old_tail_macro_recall,0.952380952380949
S-J-CB minus A-CB,1994,1,current_tail_macro_recall,0.0
S-J-CB minus A-CB,1994,1,tail_base_macro_recall,0.952380952380949
S-J-CB minus A-CB,1994,1,tail_post_base_macro_recall,0.0
S-J-CB minus A-CB,1994,2,balanced_accuracy,1.9534074871832843
S-J-CB minus A-CB,1994,2,tail_rank8_macro_recall,0.7142857142857082
S-J-CB minus A-CB,1994,2,head_rank8_macro_recall,2.4921041234153023
S-J-CB minus A-CB,1994,2,middle_rank7_macro_recall,3.7582802376884814
S-J-CB minus A-CB,1994,2,old_macro_recall,2.0118416167875353
S-J-CB minus A-CB,1994,2,current_macro_recall,1.5151515151515156
S-J-CB minus A-CB,1994,2,HM_old_current_macro,1.8074402029702412
S-J-CB minus A-CB,1994,2,base_macro_recall,2.415164342071911
S-J-CB minus A-CB,1994,2,post_base_macro_recall,0.45269770879528437
S-J-CB minus A-CB,1994,2,old_tail_macro_recall,0.8163265306122369
S-J-CB minus A-CB,1994,2,current_tail_macro_recall,0.0
S-J-CB minus A-CB,1994,2,tail_base_macro_recall,0.952380952380949
S-J-CB minus A-CB,1994,2,tail_post_base_macro_recall,0.0
S-J-CB minus A-CB,1994,3,balanced_accuracy,1.9074650810106988
S-J-CB minus A-CB,1994,3,tail_rank8_macro_recall,0.7142857142857082
S-J-CB minus A-CB,1994,3,head_rank8_macro_recall,2.400178772343608
S-J-CB minus A-CB,1994,3,middle_rank7_macro_recall,3.225295638171204
S-J-CB minus A-CB,1994,3,old_macro_recall,2.0406008306073034
S-J-CB minus A-CB,1994,3,current_macro_recall,0.7758112094395244
S-J-CB minus A-CB,1994,3,HM_old_current_macro,1.6394638734583538
S-J-CB minus A-CB,1994,3,base_macro_recall,2.7622866396497017
S-J-CB minus A-CB,1994,3,post_base_macro_recall,0.055351703959530596
S-J-CB minus A-CB,1994,3,old_tail_macro_recall,0.7142857142857082
S-J-CB minus A-CB,1994,3,current_tail_macro_recall,
S-J-CB minus A-CB,1994,3,tail_base_macro_recall,0.952380952380949
S-J-CB minus A-CB,1994,3,tail_post_base_macro_recall,0.0
S-J-CB minus A-CB,1994,4,balanced_accuracy,8.998704988475069
S-J-CB minus A-CB,1994,4,tail_rank8_macro_recall,18.839285714285708
S-J-CB minus A-CB,1994,4,head_rank8_macro_recall,2.4007946875936597
S-J-CB minus A-CB,1994,4,middle_rank7_macro_recall,3.4076787025898057
S-J-CB minus A-CB,1994,4,old_macro_recall,9.539238527931758
S-J-CB minus A-CB,1994,4,current_macro_recall,3.863636363636367
S-J-CB minus A-CB,1994,4,HM_old_current_macro,6.407576360033417
S-J-CB minus A-CB,1994,4,base_macro_recall,6.177205054568127
S-J-CB minus A-CB,1994,4,post_base_macro_recall,13.583642381073858
S-J-CB minus A-CB,1994,4,old_tail_macro_recall,18.839285714285708
S-J-CB minus A-CB,1994,4,current_tail_macro_recall,
S-J-CB minus A-CB,1994,4,tail_base_macro_recall,8.452380952380945
S-J-CB minus A-CB,1994,4,tail_post_base_macro_recall,50.0
S-J-CB minus A-CB,1994,5,balanced_accuracy,8.295652552861007
S-J-CB minus A-CB,1994,5,tail_rank8_macro_recall,18.839285714285708
S-J-CB minus A-CB,1994,5,head_rank8_macro_recall,2.0310796043208796
S-J-CB minus A-CB,1994,5,middle_rank7_macro_recall,3.4052980238501007
S-J-CB minus A-CB,1994,5,old_macro_recall,8.940015395389366
S-J-CB minus A-CB,1994,5,current_macro_recall,1.5298427063133033
S-J-CB minus A-CB,1994,5,HM_old_current_macro,6.753780185922636
S-J-CB minus A-CB,1994,5,base_macro_recall,5.76428464164772
S-J-CB minus A-CB,1994,5,post_base_macro_recall,11.586430837438328
S-J-CB minus A-CB,1994,5,old_tail_macro_recall,18.839285714285708
S-J-CB minus A-CB,1994,5,current_tail_macro_recall,
S-J-CB minus A-CB,1994,5,tail_base_macro_recall,8.452380952380945
S-J-CB minus A-CB,1994,5,tail_post_base_macro_recall,50.0
S-J-CB minus A-CB,1995,0,balanced_accuracy,1.1984744292850422
S-J-CB minus A-CB,1995,0,tail_rank8_macro_recall,0.0
S-J-CB minus A-CB,1995,0,head_rank8_macro_recall,0.6354864100111683
S-J-CB minus A-CB,1995,0,middle_rank7_macro_recall,2.6076443881322007
S-J-CB minus A-CB,1995,0,old_macro_recall,
S-J-CB minus A-CB,1995,0,current_macro_recall,1.1984744292850422
S-J-CB minus A-CB,1995,0,HM_old_current_macro,
S-J-CB minus A-CB,1995,0,base_macro_recall,1.1984744292850422
S-J-CB minus A-CB,1995,0,post_base_macro_recall,
S-J-CB minus A-CB,1995,0,old_tail_macro_recall,
S-J-CB minus A-CB,1995,0,current_tail_macro_recall,0.0
S-J-CB minus A-CB,1995,0,tail_base_macro_recall,0.0
S-J-CB minus A-CB,1995,0,tail_post_base_macro_recall,
S-J-CB minus A-CB,1995,1,balanced_accuracy,2.149722958905187
S-J-CB minus A-CB,1995,1,tail_rank8_macro_recall,4.0
S-J-CB minus A-CB,1995,1,head_rank8_macro_recall,0.32679738562090677
S-J-CB minus A-CB,1995,1,middle_rank7_macro_recall,1.8231091401822965
S-J-CB minus A-CB,1995,1,old_macro_recall,2.2473493348672804
S-J-CB minus A-CB,1995,1,current_macro_recall,1.5151515151515191
S-J-CB minus A-CB,1995,1,HM_old_current_macro,2.0876255116464044
S-J-CB minus A-CB,1995,1,base_macro_recall,2.2473493348672804
S-J-CB minus A-CB,1995,1,post_base_macro_recall,1.5151515151515191
S-J-CB minus A-CB,1995,1,old_tail_macro_recall,5.0
S-J-CB minus A-CB,1995,1,current_tail_macro_recall,0.0
S-J-CB minus A-CB,1995,1,tail_base_macro_recall,5.0
S-J-CB minus A-CB,1995,1,tail_post_base_macro_recall,0.0
S-J-CB minus A-CB,1995,2,balanced_accuracy,1.0878707075095804
S-J-CB minus A-CB,1995,2,tail_rank8_macro_recall,0.952380952380949
S-J-CB minus A-CB,1995,2,head_rank8_macro_recall,0.1316608384330351
S-J-CB minus A-CB,1995,2,middle_rank7_macro_recall,2.0202020202020208
S-J-CB minus A-CB,1995,2,old_macro_recall,2.2702267775797154
S-J-CB minus A-CB,1995,2,current_macro_recall,-7.779799818016386
S-J-CB minus A-CB,1995,2,HM_old_current_macro,-1.5715288705309405
S-J-CB minus A-CB,1995,2,base_macro_recall,2.153291969468441
S-J-CB minus A-CB,1995,2,post_base_macro_recall,-2.3747483938566774
S-J-CB minus A-CB,1995,2,old_tail_macro_recall,4.0
S-J-CB minus A-CB,1995,2,current_tail_macro_recall,-14.285714285714292
S-J-CB minus A-CB,1995,2,tail_base_macro_recall,5.0
S-J-CB minus A-CB,1995,2,tail_post_base_macro_recall,-7.142857142857146
S-J-CB minus A-CB,1995,3,balanced_accuracy,1.3353778207035987
S-J-CB minus A-CB,1995,3,tail_rank8_macro_recall,0.952380952380949
S-J-CB minus A-CB,1995,3,head_rank8_macro_recall,0.10971736536085075
S-J-CB minus A-CB,1995,3,middle_rank7_macro_recall,2.714226955273901
S-J-CB minus A-CB,1995,3,old_macro_recall,1.2031850474401864
S-J-CB minus A-CB,1995,3,current_macro_recall,2.4590163934426243
S-J-CB minus A-CB,1995,3,HM_old_current_macro,1.736516001884084
S-J-CB minus A-CB,1995,3,base_macro_recall,2.537187877862536
S-J-CB minus A-CB,1995,3,post_base_macro_recall,-1.2685439698074106
S-J-CB minus A-CB,1995,3,old_tail_macro_recall,0.952380952380949
S-J-CB minus A-CB,1995,3,current_tail_macro_recall,
S-J-CB minus A-CB,1995,3,tail_base_macro_recall,5.0
S-J-CB minus A-CB,1995,3,tail_post_base_macro_recall,-7.142857142857146
S-J-CB minus A-CB,1995,4,balanced_accuracy,2.7117574359771126
S-J-CB minus A-CB,1995,4,tail_rank8_macro_recall,4.387755102040813
S-J-CB minus A-CB,1995,4,head_rank8_macro_recall,0.8046578021287587
S-J-CB minus A-CB,1995,4,middle_rank7_macro_recall,2.942859403761773
S-J-CB minus A-CB,1995,4,old_macro_recall,1.5857223335440906
S-J-CB minus A-CB,1995,4,current_macro_recall,13.409090909090907
S-J-CB minus A-CB,1995,4,HM_old_current_macro,9.102047135294256
S-J-CB minus A-CB,1995,4,base_macro_recall,2.4154445386876517
S-J-CB minus A-CB,1995,4,post_base_macro_recall,3.1932658940725105
S-J-CB minus A-CB,1995,4,old_tail_macro_recall,0.952380952380949
S-J-CB minus A-CB,1995,4,current_tail_macro_recall,25.0
S-J-CB minus A-CB,1995,4,tail_base_macro_recall,5.0
S-J-CB minus A-CB,1995,4,tail_post_base_macro_recall,3.5714285714285694
S-J-CB minus A-CB,1995,5,balanced_accuracy,2.546738054202173
S-J-CB minus A-CB,1995,5,tail_rank8_macro_recall,3.839285714285708
S-J-CB minus A-CB,1995,5,head_rank8_macro_recall,0.6875556384677282
S-J-CB minus A-CB,1995,5,middle_rank7_macro_recall,3.194320632088882
S-J-CB minus A-CB,1995,5,old_macro_recall,2.7892845355547564
S-J-CB minus A-CB,1995,5,current_macro_recall,0.0
S-J-CB minus A-CB,1995,5,HM_old_current_macro,2.000912401560285
S-J-CB minus A-CB,1995,5,base_macro_recall,2.8715267416131383
S-J-CB minus A-CB,1995,5,post_base_macro_recall,2.124512760567896
S-J-CB minus A-CB,1995,5,old_tail_macro_recall,4.387755102040813
S-J-CB minus A-CB,1995,5,current_tail_macro_recall,0.0
S-J-CB minus A-CB,1995,5,tail_base_macro_recall,5.0
S-J-CB minus A-CB,1995,5,tail_post_base_macro_recall,2.6785714285714235
S-M-CB minus A-CB,1993,0,balanced_accuracy,1.2572632833811923
S-M-CB minus A-CB,1993,0,tail_rank8_macro_recall,-1.6964285714285765
S-M-CB minus A-CB,1993,0,head_rank8_macro_recall,2.611006562439684
S-M-CB minus A-CB,1993,0,middle_rank7_macro_recall,2.5187760393678076
S-M-CB minus A-CB,1993,0,old_macro_recall,
S-M-CB minus A-CB,1993,0,current_macro_recall,1.2572632833811923
S-M-CB minus A-CB,1993,0,HM_old_current_macro,
S-M-CB minus A-CB,1993,0,base_macro_recall,1.2572632833811923
S-M-CB minus A-CB,1993,0,post_base_macro_recall,
S-M-CB minus A-CB,1993,0,old_tail_macro_recall,
S-M-CB minus A-CB,1993,0,current_tail_macro_recall,-1.6964285714285765
S-M-CB minus A-CB,1993,0,tail_base_macro_recall,-1.6964285714285765
S-M-CB minus A-CB,1993,0,tail_post_base_macro_recall,
S-M-CB minus A-CB,1993,1,balanced_accuracy,0.2867383202691798
S-M-CB minus A-CB,1993,1,tail_rank8_macro_recall,-6.6964285714285765
S-M-CB minus A-CB,1993,1,head_rank8_macro_recall,2.3933000386025753
S-M-CB minus A-CB,1993,1,middle_rank7_macro_recall,3.3453977716272902
S-M-CB minus A-CB,1993,1,old_macro_recall,0.33085190800288444
S-M-CB minus A-CB,1993,1,current_macro_recall,0.0
S-M-CB minus A-CB,1993,1,HM_old_current_macro,0.22178034215350806
S-M-CB minus A-CB,1993,1,base_macro_recall,0.33085190800288444
S-M-CB minus A-CB,1993,1,post_base_macro_recall,0.0
S-M-CB minus A-CB,1993,1,old_tail_macro_recall,-6.6964285714285765
S-M-CB minus A-CB,1993,1,current_tail_macro_recall,
S-M-CB minus A-CB,1993,1,tail_base_macro_recall,-6.6964285714285765
S-M-CB minus A-CB,1993,1,tail_post_base_macro_recall,
S-M-CB minus A-CB,1993,2,balanced_accuracy,-0.27323202902771015
S-M-CB minus A-CB,1993,2,tail_rank8_macro_recall,-5.357142857142861
S-M-CB minus A-CB,1993,2,head_rank8_macro_recall,2.5049990079027253
S-M-CB minus A-CB,1993,2,middle_rank7_macro_recall,0.9211553473848539
S-M-CB minus A-CB,1993,2,old_macro_recall,-0.3096629662313859
S-M-CB minus A-CB,1993,2,current_macro_recall,0.0
S-M-CB minus A-CB,1993,2,HM_old_current_macro,-0.09849213049437822
S-M-CB minus A-CB,1993,2,base_macro_recall,-0.35730342257470227
S-M-CB minus A-CB,1993,2,post_base_macro_recall,0.0
S-M-CB minus A-CB,1993,2,old_tail_macro_recall,-6.6964285714285765
S-M-CB minus A-CB,1993,2,current_tail_macro_recall,0.0
S-M-CB minus A-CB,1993,2,tail_base_macro_recall,-6.6964285714285765
S-M-CB minus A-CB,1993,2,tail_post_base_macro_recall,0.0
S-M-CB minus A-CB,1993,3,balanced_accuracy,0.19224095745833836
S-M-CB minus A-CB,1993,3,tail_rank8_macro_recall,-3.826530612244902
S-M-CB minus A-CB,1993,3,head_rank8_macro_recall,2.4048377312708453
S-M-CB minus A-CB,1993,3,middle_rank7_macro_recall,2.7208856717053465
S-M-CB minus A-CB,1993,3,old_macro_recall,0.2148575406887261
S-M-CB minus A-CB,1993,3,current_macro_recall,0.0
S-M-CB minus A-CB,1993,3,HM_old_current_macro,0.0
S-M-CB minus A-CB,1993,3,base_macro_recall,0.28096755320832756
S-M-CB minus A-CB,1993,3,post_base_macro_recall,0.0
S-M-CB minus A-CB,1993,3,old_tail_macro_recall,-5.357142857142861
S-M-CB minus A-CB,1993,3,current_tail_macro_recall,0.0
S-M-CB minus A-CB,1993,3,tail_base_macro_recall,-6.6964285714285765
S-M-CB minus A-CB,1993,3,tail_post_base_macro_recall,0.0
S-M-CB minus A-CB,1993,4,balanced_accuracy,1.261040460093703
S-M-CB minus A-CB,1993,4,tail_rank8_macro_recall,-0.2551020408163289
S-M-CB minus A-CB,1993,4,head_rank8_macro_recall,2.347390694600577
S-M-CB minus A-CB,1993,4,middle_rank7_macro_recall,1.5814063984795723
S-M-CB minus A-CB,1993,4,old_macro_recall,1.4384386584448734
S-M-CB minus A-CB,1993,4,current_macro_recall,-0.4242424242424221
S-M-CB minus A-CB,1993,4,HM_old_current_macro,0.29677685107316165
S-M-CB minus A-CB,1993,4,base_macro_recall,2.2305385520861023
S-M-CB minus A-CB,1993,4,post_base_macro_recall,-0.31439393939393767
S-M-CB minus A-CB,1993,4,old_tail_macro_recall,-0.2551020408163289
S-M-CB minus A-CB,1993,4,current_tail_macro_recall,
S-M-CB minus A-CB,1993,4,tail_base_macro_recall,-0.4464285714285765
S-M-CB minus A-CB,1993,4,tail_post_base_macro_recall,0.0
S-M-CB minus A-CB,1993,5,balanced_accuracy,2.272669921132149
S-M-CB minus A-CB,1993,5,tail_rank8_macro_recall,2.276785714285708
S-M-CB minus A-CB,1993,5,head_rank8_macro_recall,2.441296788506648
S-M-CB minus A-CB,1993,5,middle_rank7_macro_recall,2.0752497376715056
S-M-CB minus A-CB,1993,5,old_macro_recall,2.4048331753149768
S-M-CB minus A-CB,1993,5,current_macro_recall,0.8849557522123916
S-M-CB minus A-CB,1993,5,HM_old_current_macro,2.123873003551651
S-M-CB minus A-CB,1993,5,base_macro_recall,3.5630521922920266
S-M-CB minus A-CB,1993,5,post_base_macro_recall,0.595172968624297
S-M-CB minus A-CB,1993,5,old_tail_macro_recall,2.6020408163265287
S-M-CB minus A-CB,1993,5,current_tail_macro_recall,0.0
S-M-CB minus A-CB,1993,5,tail_base_macro_recall,4.5535714285714235
S-M-CB minus A-CB,1993,5,tail_post_base_macro_recall,0.0
S-M-CB minus A-CB,1994,0,balanced_accuracy,1.8068297909323334
S-M-CB minus A-CB,1994,0,tail_rank8_macro_recall,0.952380952380949
S-M-CB minus A-CB,1994,0,head_rank8_macro_recall,4.033789326384863
S-M-CB minus A-CB,1994,0,middle_rank7_macro_recall,0.546448087431699
S-M-CB minus A-CB,1994,0,old_macro_recall,
S-M-CB minus A-CB,1994,0,current_macro_recall,1.8068297909323334
S-M-CB minus A-CB,1994,0,HM_old_current_macro,
S-M-CB minus A-CB,1994,0,base_macro_recall,1.8068297909323334
S-M-CB minus A-CB,1994,0,post_base_macro_recall,
S-M-CB minus A-CB,1994,0,old_tail_macro_recall,
S-M-CB minus A-CB,1994,0,current_tail_macro_recall,0.952380952380949
S-M-CB minus A-CB,1994,0,tail_base_macro_recall,0.952380952380949
S-M-CB minus A-CB,1994,0,tail_post_base_macro_recall,
S-M-CB minus A-CB,1994,1,balanced_accuracy,1.570036761354487
S-M-CB minus A-CB,1994,1,tail_rank8_macro_recall,0.8163265306122369
S-M-CB minus A-CB,1994,1,head_rank8_macro_recall,3.239384288747331
S-M-CB minus A-CB,1994,1,middle_rank7_macro_recall,0.546448087431699
S-M-CB minus A-CB,1994,1,old_macro_recall,1.8115808784859624
S-M-CB minus A-CB,1994,1,current_macro_recall,0.0
S-M-CB minus A-CB,1994,1,HM_old_current_macro,1.363040891542795
S-M-CB minus A-CB,1994,1,base_macro_recall,1.8115808784859624
S-M-CB minus A-CB,1994,1,post_base_macro_recall,0.0
S-M-CB minus A-CB,1994,1,old_tail_macro_recall,0.952380952380949
S-M-CB minus A-CB,1994,1,current_tail_macro_recall,0.0
S-M-CB minus A-CB,1994,1,tail_base_macro_recall,0.952380952380949
S-M-CB minus A-CB,1994,1,tail_post_base_macro_recall,0.0
S-M-CB minus A-CB,1994,2,balanced_accuracy,0.06426986094906795
S-M-CB minus A-CB,1994,2,tail_rank8_macro_recall,-1.7857142857142918
S-M-CB minus A-CB,1994,2,head_rank8_macro_recall,3.2355964099594843
S-M-CB minus A-CB,1994,2,middle_rank7_macro_recall,-0.19992003198720454
S-M-CB minus A-CB,1994,2,old_macro_recall,0.07283917574227416
S-M-CB minus A-CB,1994,2,current_macro_recall,0.0
S-M-CB minus A-CB,1994,2,HM_old_current_macro,0.04193615007065432
S-M-CB minus A-CB,1994,2,base_macro_recall,0.0840452027795493
S-M-CB minus A-CB,1994,2,post_base_macro_recall,0.0
S-M-CB minus A-CB,1994,2,old_tail_macro_recall,-2.040816326530617
S-M-CB minus A-CB,1994,2,current_tail_macro_recall,0.0
S-M-CB minus A-CB,1994,2,tail_base_macro_recall,-2.3809523809523796
S-M-CB minus A-CB,1994,2,tail_post_base_macro_recall,0.0
S-M-CB minus A-CB,1994,3,balanced_accuracy,0.37641981988522843
S-M-CB minus A-CB,1994,3,tail_rank8_macro_recall,-1.7857142857142918
S-M-CB minus A-CB,1994,3,head_rank8_macro_recall,2.4725036994145455
S-M-CB minus A-CB,1994,3,middle_rank7_macro_recall,1.320533733409306
S-M-CB minus A-CB,1994,3,old_macro_recall,0.5255110289572826
S-M-CB minus A-CB,1994,3,current_macro_recall,-0.890855457227147
S-M-CB minus A-CB,1994,3,HM_old_current_macro,0.03507782738344645
S-M-CB minus A-CB,1994,3,base_macro_recall,0.6872067301748928
S-M-CB minus A-CB,1994,3,post_base_macro_recall,-0.29695181907570145
S-M-CB minus A-CB,1994,3,old_tail_macro_recall,-1.7857142857142918
S-M-CB minus A-CB,1994,3,current_tail_macro_recall,
S-M-CB minus A-CB,1994,3,tail_base_macro_recall,-2.3809523809523867
S-M-CB minus A-CB,1994,3,tail_post_base_macro_recall,0.0
S-M-CB minus A-CB,1994,4,balanced_accuracy,7.394742413288654
S-M-CB minus A-CB,1994,4,tail_rank8_macro_recall,16.339285714285708
S-M-CB minus A-CB,1994,4,head_rank8_macro_recall,3.0206919082074393
S-M-CB minus A-CB,1994,4,middle_rank7_macro_recall,0.9215933593616228
S-M-CB minus A-CB,1994,4,old_macro_recall,8.021621200014408
S-M-CB minus A-CB,1994,4,current_macro_recall,1.4393939393939306
S-M-CB minus A-CB,1994,4,HM_old_current_macro,4.3517089021986095
S-M-CB minus A-CB,1994,4,base_macro_recall,4.294813295583992
S-M-CB minus A-CB,1994,4,post_base_macro_recall,12.432127229558702
S-M-CB minus A-CB,1994,4,old_tail_macro_recall,16.339285714285708
S-M-CB minus A-CB,1994,4,current_tail_macro_recall,
S-M-CB minus A-CB,1994,4,tail_base_macro_recall,5.119047619047617
S-M-CB minus A-CB,1994,4,tail_post_base_macro_recall,50.0
S-M-CB minus A-CB,1994,5,balanced_accuracy,8.315386321433301
S-M-CB minus A-CB,1994,5,tail_rank8_macro_recall,18.839285714285708
S-M-CB minus A-CB,1994,5,head_rank8_macro_recall,2.5595272104580005
S-M-CB minus A-CB,1994,5,middle_rank7_macro_recall,2.8661974278594897
S-M-CB minus A-CB,1994,5,old_macro_recall,8.902972629483472
S-M-CB minus A-CB,1994,5,current_macro_recall,2.1457300869065676
S-M-CB minus A-CB,1994,5,HM_old_current_macro,6.949739070672933
S-M-CB minus A-CB,1994,5,base_macro_recall,5.786654787425498
S-M-CB minus A-CB,1994,5,post_base_macro_recall,11.602737315643438
S-M-CB minus A-CB,1994,5,old_tail_macro_recall,18.839285714285708
S-M-CB minus A-CB,1994,5,current_tail_macro_recall,
S-M-CB minus A-CB,1994,5,tail_base_macro_recall,8.452380952380945
