method,seed,original_label,first_stage,first_recall,final_recall,recall_change_final_minus_first,forgetting_first_minus_final,no_later_stage
S-M-CB,1995,12,0,92.6829268292683,87.8048780487805,-4.878048780487802,4.878048780487802,False
S-M-CB,1995,1,0,100.0,97.34513274336283,-2.654867256637175,2.654867256637175,False
S-M-CB,1995,8,0,98.69281045751634,98.0392156862745,-0.653594771241842,0.653594771241842,False
S-M-CB,1995,22,0,100.0,80.95238095238095,-19.04761904761905,19.04761904761905,False
S-M-CB,1995,19,0,0.0,0.0,0.0,0.0,False
S-M-CB,1995,17,0,60.0,80.0,20.0,-20.0,False
S-M-CB,1995,18,0,45.45454545454545,42.42424242424242,-3.030303030303031,3.030303030303031,False
S-M-CB,1995,6,1,0.0,0.0,0.0,0.0,False
S-M-CB,1995,20,1,45.45454545454545,22.727272727272727,-22.727272727272727,22.727272727272727,False
S-M-CB,1995,0,2,57.14285714285714,57.14285714285714,0.0,0.0,False
S-M-CB,1995,3,2,99.36305732484077,84.71337579617835,-14.649681528662413,14.649681528662413,False
S-M-CB,1995,11,3,50.81967213114754,27.86885245901639,-22.95081967213115,22.95081967213115,False
S-M-CB,1995,2,3,100.0,85.71428571428571,-14.285714285714292,14.285714285714292,False
S-M-CB,1995,21,4,25.0,25.0,0.0,0.0,False
S-M-CB,1995,4,4,89.0909090909091,89.0909090909091,0.0,0.0,False
S-M-CB,1995,10,5,79.33333333333333,79.33333333333333,,,True
S-M-CB,1995,7,5,100.0,100.0,,,True
