seed,epoch,seconds,steps,lr_used,lr_next,gradients_finite_all_steps,future_head_CE_gradient_max_abs,frequency_gradient_rows,loss,train_accuracy,concm_gradient_batches
1994,9,31.35166017099982,576,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",0.011937333416426554,98.39,0
1994,10,31.358622124011163,640,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",0.010206558567006141,98.69,0
1995,1,35.985876294987975,74,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",22.03573817095241,85.5,0
1995,2,36.07340883198776,148,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",21.044215082316786,94.43,0
1995,3,36.120592770021176,222,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",20.98339795341363,96.07,0
1995,4,36.886629790009465,296,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",20.927842633949744,96.72,0
1995,5,36.60805546600022,370,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",20.91748201242975,97.06,0
1995,6,35.93941742699826,444,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",0.04120406709812783,97.0,0
1995,7,36.38707548897946,518,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",0.0003539357032324817,98.62,0
1995,8,36.64012947998708,592,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",-0.012618949397693615,99.07,0
1995,9,36.330354638019344,666,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",-0.018280900511387234,99.41,0
1995,10,36.237958817975596,740,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",True,0.0,"[3, 6, 23, 34, 85, 127, 167, 252, 403, 488, 635, 654, 662]",-0.015833762675725126,99.35,0
