dataset,seed,task,contrast,metric,difference_pp,low,high
HK,1994,3,C3-F1,HM,0.0,0.0,0.0
HK,1995,3,C3-F1,HM,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-F1,HM,0.0,0.0,0.0
HK,1993,3,C3-F1,tail,0.0,0.0,0.0
HK,1994,3,C3-F1,tail,0.0,0.0,0.0
HK,1995,3,C3-F1,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-F1,tail,0.0,0.0,0.0
HK,1993,3,C2-F1,BA,0.0,0.0,0.0
HK,1994,3,C2-F1,BA,0.0,0.0,0.0
HK,1995,3,C2-F1,BA,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-F1,BA,0.0,0.0,0.0
HK,1993,3,C2-F1,old,0.0,0.0,0.0
HK,1994,3,C2-F1,old,0.0,0.0,0.0
HK,1995,3,C2-F1,old,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-F1,old,0.0,0.0,0.0
HK,1993,3,C2-F1,current,0.0,0.0,0.0
HK,1994,3,C2-F1,current,0.0,0.0,0.0
HK,1995,3,C2-F1,current,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-F1,current,0.0,0.0,0.0
HK,1993,3,C2-F1,HM,0.0,0.0,0.0
HK,1994,3,C2-F1,HM,0.0,0.0,0.0
HK,1995,3,C2-F1,HM,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-F1,HM,0.0,0.0,0.0
HK,1993,3,C2-F1,tail,0.0,0.0,0.0
HK,1994,3,C2-F1,tail,0.0,0.0,0.0
HK,1995,3,C2-F1,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-F1,tail,0.0,0.0,0.0
HK,1993,3,F1-P,BA,0.0,0.0,0.0
HK,1994,3,F1-P,BA,0.0,0.0,0.0
HK,1995,3,F1-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,BA,0.0,0.0,0.0
HK,1993,3,F1-P,old,0.0,0.0,0.0
HK,1994,3,F1-P,old,0.0,0.0,0.0
HK,1995,3,F1-P,old,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,old,0.0,0.0,0.0
HK,1993,3,F1-P,current,0.0,0.0,0.0
HK,1994,3,F1-P,current,0.0,0.0,0.0
HK,1995,3,F1-P,current,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,current,0.0,0.0,0.0
HK,1993,3,F1-P,HM,0.0,0.0,0.0
HK,1994,3,F1-P,HM,0.0,0.0,0.0
HK,1995,3,F1-P,HM,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,HM,0.0,0.0,0.0
HK,1993,3,F1-P,tail,0.0,0.0,0.0
HK,1994,3,F1-P,tail,0.0,0.0,0.0
HK,1995,3,F1-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,tail,0.0,0.0,0.0
HK,1993,3,F1-C0,BA,2.1629443460711144,-3.278688524590166,8.290969326555114
HK,1994,3,F1-C0,BA,0.30438311688311614,-8.427579365079353,9.330357142857153
HK,1995,3,F1-C0,BA,0.2032520325203251,-0.11420223577236918,0.6148373983739788
HK,fixed_three_mean,3,F1-C0,BA,0.8901931651581853,-2.7209936927705995,4.4835322349535405
HK,1993,3,F1-C0,old,7.752613240418128,0.0,17.85714285714286
HK,1994,3,F1-C0,old,12.805059523809518,5.952380952380949,20.691964285714292
HK,1995,3,F1-C0,old,0.3048780487804805,-0.1713033536585401,0.9222560975609753
HK,fixed_three_mean,3,F1-C0,old,6.954183604336042,3.3366966705381356,11.12212362078978
HK,1993,3,F1-C0,current,-9.016393442622956,-13.93442622950819,-4.9180327868852345
HK,1994,3,F1-C0,current,-24.69696969696969,-49.69696969696969,0.30303030303031164
HK,1995,3,F1-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-C0,current,-11.237787713197548,-19.297897002815034,-2.9044543798642173
HK,1993,3,F1-C0,HM,-0.19911280886336158,-5.0590261252910445,5.348454227742232
HK,1994,3,F1-C0,HM,-8.205790927445605,-22.627319646290463,5.6180501912344205
HK,1995,3,F1-C0,HM,0.0680001788663418,-0.03836591534329829,0.2069753514505944
HK,fixed_three_mean,3,F1-C0,HM,-2.778967852480875,-7.953824901137006,2.205659900028846
HK,1993,3,F1-C0,tail,28.571428571428577,0.0,71.42857142857142
HK,1994,3,F1-C0,tail,-18.75,-43.75,6.25
HK,1995,3,F1-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-C0,tail,3.2738095238095255,-10.416666666666666,18.452380952380953
ISIC,1993,1,C3-F1,BA,0.0,0.0,0.0
ISIC,1994,1,C3-F1,BA,0.0,0.0,0.0
ISIC,1995,1,C3-F1,BA,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C3-F1,BA,0.0,0.0,0.0
ISIC,1993,1,C3-F1,old,,,
ISIC,1994,1,C3-F1,old,,,
ISIC,1995,1,C3-F1,old,,,
ISIC,1993,1,C3-F1,current,0.0,0.0,0.0
ISIC,1994,1,C3-F1,current,0.0,0.0,0.0
ISIC,1995,1,C3-F1,current,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C3-F1,current,0.0,0.0,0.0
ISIC,1993,1,C3-F1,HM,,,
ISIC,1994,1,C3-F1,HM,,,
ISIC,1995,1,C3-F1,HM,,,
ISIC,1993,1,C3-F1,tail,,,
ISIC,1994,1,C3-F1,tail,0.0,0.0,0.0
ISIC,1995,1,C3-F1,tail,,,
ISIC,1993,1,C2-F1,BA,0.0,0.0,0.0
ISIC,1994,1,C2-F1,BA,0.0,0.0,0.0
ISIC,1995,1,C2-F1,BA,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C2-F1,BA,0.0,0.0,0.0
ISIC,1993,1,C2-F1,old,,,
ISIC,1994,1,C2-F1,old,,,
ISIC,1995,1,C2-F1,old,,,
ISIC,1993,1,C2-F1,current,0.0,0.0,0.0
ISIC,1994,1,C2-F1,current,0.0,0.0,0.0
ISIC,1995,1,C2-F1,current,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C2-F1,current,0.0,0.0,0.0
ISIC,1993,1,C2-F1,HM,,,
ISIC,1994,1,C2-F1,HM,,,
ISIC,1995,1,C2-F1,HM,,,
ISIC,1993,1,C2-F1,tail,,,
ISIC,1994,1,C2-F1,tail,0.0,0.0,0.0
ISIC,1995,1,C2-F1,tail,,,
ISIC,1993,1,F1-P,BA,2.2727272727272805,0.0,5.681818181818187
ISIC,1994,1,F1-P,BA,-2.0833333333333286,-8.333333333333329,4.761904761904759
ISIC,1995,1,F1-P,BA,2.804054054054049,-3.8798920377867607,9.722222222222214
ISIC,fixed_three_mean,1,F1-P,BA,0.9978159978160003,-2.3760274812906363,4.743395286968659
ISIC,1993,1,F1-P,old,,,
ISIC,1994,1,F1-P,old,,,
ISIC,1995,1,F1-P,old,,,
ISIC,1993,1,F1-P,current,2.2727272727272805,0.0,5.681818181818187
ISIC,1994,1,F1-P,current,-2.0833333333333286,-8.333333333333329,4.761904761904759
ISIC,1995,1,F1-P,current,2.804054054054049,-3.8798920377867607,9.722222222222214
ISIC,fixed_three_mean,1,F1-P,current,0.9978159978160003,-2.3760274812906363,4.743395286968659
ISIC,1993,1,F1-P,HM,,,
ISIC,1994,1,F1-P,HM,,,
ISIC,1995,1,F1-P,HM,,,
ISIC,1993,1,F1-P,tail,,,
ISIC,1994,1,F1-P,tail,-4.166666666666664,-16.666666666666664,9.523809523809526
ISIC,1995,1,F1-P,tail,,,
ISIC,1993,1,F1-C0,BA,0.0,0.0,0.0
ISIC,1994,1,F1-C0,BA,0.0,0.0,0.0
ISIC,1995,1,F1-C0,BA,0.0,0.0,0.0
ISIC,fixed_three_mean,1,F1-C0,BA,0.0,0.0,0.0
ISIC,1993,1,F1-C0,old,,,
ISIC,1994,1,F1-C0,old,,,
ISIC,1995,1,F1-C0,old,,,
ISIC,1993,1,F1-C0,current,0.0,0.0,0.0
ISIC,1994,1,F1-C0,current,0.0,0.0,0.0
ISIC,1995,1,F1-C0,current,0.0,0.0,0.0
ISIC,fixed_three_mean,1,F1-C0,current,0.0,0.0,0.0
