dataset,seed,task,candidate,comparator,ba_difference_pp,macro_f1_difference_pp,accuracy_difference_pp,tail_ba_difference_pp,old_ba_difference_pp,current_ba_difference_pp,hm_difference_pp,zero_recall_difference
HK,1993,1,A6,A5,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1993,1,A6,A4,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1993,1,A6,A3s,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1993,2,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,2,A2,A0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,2,A6,A0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,2,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,2,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,2,A6,A3s,3.57142857142857,2.054086264612587,0.2732240437158473,14.28571428571429,7.14285714285714,0.0,3.4784802403078907,0
HK,1993,3,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,3,A2,A0,1.4994002399040363,2.1562553621223057,0.8210180623973717,0.0,0.6097560975609762,3.2786885245901676,1.9858646630500632,0
HK,1993,3,A6,A0,1.4994002399040363,2.1562553621223057,0.8210180623973717,0.0,0.6097560975609762,3.2786885245901676,1.9858646630500632,0
HK,1993,3,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,3,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,3,A6,A3s,-0.4131680661068948,-1.6324515471011103,-0.3284072249589598,0.0,0.6097560975609762,-2.4590163934426257,-0.9206442521344282,0
HK,1993,4,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,4,A2,A0,0.6108938397233254,0.4864104748488751,0.3891050583657574,0.0,0.9206822321576436,-0.31847133757961776,0.36352498527186805,0
HK,1993,4,A6,A0,0.6108938397233254,0.4864104748488751,0.3891050583657574,0.0,0.9206822321576436,-0.31847133757961776,0.36352498527186805,0
HK,1993,4,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,4,A6,A4,-0.3048780487804881,-0.2693331791193354,-0.12970168612191912,0.0,-0.40650406504064707,0.0,-0.22193715108962397,0
HK,1993,4,A6,A3s,-0.6488556864457373,-1.372096182033078,-0.25940337224383825,0.0,-1.395926477893683,1.5923566878980888,-0.014268741932832452,0
HK,1993,5,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,5,A2,A0,3.5399284306309786,2.124328431239908,0.6385696040868472,8.571428571428575,4.424910538288729,0.0,2.0075368164468532,0
HK,1993,5,A6,A0,3.5399284306309786,2.124328431239908,0.6385696040868472,8.571428571428575,4.424910538288729,0.0,2.0075368164468532,0
HK,1993,5,A6,A5,-0.09857494910532338,0.22867275177111956,0.0,0.0,-0.12321868638165423,0.0,-0.05431219105062057,0
HK,1993,5,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,5,A6,A3s,-0.3534849133188245,0.10214874557644693,-0.12771392081736277,0.0,-0.4418561416485334,0.0,-0.19437331724838636,0
HK,1993,6,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,6,A2,A0,1.505562980406272,1.4550539125302464,0.3112033195020736,5.000000000000004,1.080485100297024,3.630952380952379,2.1660594568177927,0
HK,1993,6,A6,A0,1.505562980406272,1.4550539125302464,0.3112033195020736,5.000000000000004,1.080485100297024,3.630952380952379,2.1660594568177927,0
HK,1993,6,A6,A5,-0.20325203252031798,-0.2192735124461942,-0.10373443983402453,0.0,-0.24390243902439046,0.0,-0.14387599065714962,0
HK,1993,6,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,6,A6,A3s,-0.16391036553273786,0.09557242602808991,0.0,0.0,-0.3216924386392872,0.6249999999999867,0.07303772382988294,0
HK,1993,7,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,7,A2,A0,1.4244674495225818,1.1062898665414322,0.2838221381267769,5.000000000000004,1.661878691109675,0.0,0.8285880986828476,0
HK,1993,7,A6,A0,1.4244674495225818,1.1062898665414322,0.2838221381267769,5.000000000000004,1.661878691109675,0.0,0.8285880986828476,0
HK,1993,7,A6,A5,0.0,-0.02476265231367014,0.0,0.0,0.0,0.0,0.0,0
HK,1993,7,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,7,A6,A3s,0.1236573848691358,0.2864102687975434,0.18921475875118832,0.0,-0.10825830351126609,1.5151515151515138,0.7236518319491569,0
HK,1993,8,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,8,A2,A0,1.5232293214984982,1.1698704003965221,0.8176614881439059,4.0000000000000036,1.697279503315352,0.3048780487804881,0.7646872574168961,0
HK,1993,8,A6,A0,1.5232293214984982,1.1698704003965221,0.8176614881439059,4.0000000000000036,1.697279503315352,0.3048780487804881,0.7646872574168961,0
HK,1993,8,A6,A5,0.0,-0.09419326241134618,0.0,0.0,0.0,0.0,0.0,0
HK,1993,8,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
