class_id,dataset,f1,fn,fp,method,n,n_components_fit,recall,seed,task,tp,zero_recall
0,ISIC,0.8602150537634409,4,9,A5,44,6552.0,0.9090909090909091,1993,2,40,False
3,ISIC,0.6666666666666666,12,16,A5,40,799.0,0.7,1993,2,28,False
7,ISIC,0.717948717948718,10,1,A5,24,23.0,0.5833333333333334,1993,2,14,False
4,ISIC,0.7560975609756098,10,10,A6,41,199.0,0.7560975609756098,1993,2,31,False
0,ISIC,0.851063829787234,4,10,A6,44,6552.0,0.9090909090909091,1993,2,40,False
3,ISIC,0.6666666666666666,12,16,A6,40,799.0,0.7,1993,2,28,False
7,ISIC,0.6842105263157895,11,1,A6,24,23.0,0.5416666666666666,1993,2,13,False
4,ISIC,0.5866666666666667,19,12,A7,41,199.0,0.5365853658536586,1993,2,22,False
0,ISIC,0.7391304347826086,10,14,A7,44,6552.0,0.7727272727272727,1993,2,34,False
3,ISIC,0.45977011494252873,20,27,A7,40,799.0,0.5,1993,2,20,False
7,ISIC,0.5,13,9,A7,24,23.0,0.4583333333333333,1993,2,11,False
4,ISIC,0.7560975609756098,10,10,A8,41,199.0,0.7560975609756098,1993,2,31,False
0,ISIC,0.851063829787234,4,10,A8,44,6552.0,0.9090909090909091,1993,2,40,False
3,ISIC,0.6666666666666666,12,16,A8,40,799.0,0.7,1993,2,28,False
7,ISIC,0.6842105263157895,11,1,A8,24,23.0,0.5416666666666666,1993,2,13,False
4,ISIC,0.5376344086021505,16,27,P,41,199.0,0.6097560975609756,1993,3,25,False
0,ISIC,0.78,5,17,P,44,6552.0,0.8863636363636364,1993,3,39,False
3,ISIC,0.5507246376811594,21,10,P,40,799.0,0.475,1993,3,19,False
7,ISIC,0.6341463414634146,11,4,P,24,23.0,0.5416666666666666,1993,3,13,False
5,ISIC,0.5217391304347826,19,14,P,37,144.0,0.4864864864864865,1993,3,18,False
6,ISIC,0.8846153846153846,3,3,P,26,33.0,0.8846153846153846,1993,3,23,False
4,ISIC,0.5494505494505495,16,25,A0,41,199.0,0.6097560975609756,1993,3,25,False
0,ISIC,0.8333333333333334,4,12,A0,44,6552.0,0.9090909090909091,1993,3,40,False
3,ISIC,0.6075949367088608,16,15,A0,40,799.0,0.6,1993,3,24,False
7,ISIC,0.717948717948718,10,1,A0,24,23.0,0.5833333333333334,1993,3,14,False
5,ISIC,0.5507246376811594,18,13,A0,37,144.0,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,A0,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.5555555555555556,16,24,A1,41,199.0,0.6097560975609756,1993,3,25,False
0,ISIC,0.7789473684210526,7,14,A1,44,6552.0,0.8409090909090909,1993,3,37,False
3,ISIC,0.5641025641025641,18,16,A1,40,799.0,0.55,1993,3,22,False
7,ISIC,0.47368421052631576,15,5,A1,24,23.0,0.375,1993,3,9,False
5,ISIC,0.5294117647058824,19,13,A1,37,144.0,0.4864864864864865,1993,3,18,False
6,ISIC,0.8727272727272727,2,5,A1,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.5591397849462365,15,26,A2,41,199.0,0.6341463414634146,1993,3,26,False
0,ISIC,0.8333333333333334,4,12,A2,44,6552.0,0.9090909090909091,1993,3,40,False
3,ISIC,0.631578947368421,16,12,A2,40,799.0,0.6,1993,3,24,False
7,ISIC,0.6666666666666666,11,2,A2,24,23.0,0.5416666666666666,1993,3,13,False
5,ISIC,0.5428571428571428,18,14,A2,37,144.0,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,A2,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.5684210526315789,14,27,A3,41,199.0,0.6585365853658537,1993,3,27,False
0,ISIC,0.865979381443299,2,11,A3,44,6552.0,0.9545454545454546,1993,3,42,False
3,ISIC,0.6582278481012658,14,13,A3,40,799.0,0.65,1993,3,26,False
7,ISIC,0.6486486486486487,12,1,A3,24,23.0,0.5,1993,3,12,False
5,ISIC,0.5454545454545454,19,11,A3,37,144.0,0.4864864864864865,1993,3,18,False
6,ISIC,0.96,2,0,A3,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.5625,14,28,A3s,41,199.0,0.6585365853658537,1993,3,27,False
0,ISIC,0.865979381443299,2,11,A3s,44,6552.0,0.9545454545454546,1993,3,42,False
3,ISIC,0.6582278481012658,14,13,A3s,40,799.0,0.65,1993,3,26,False
7,ISIC,0.6666666666666666,12,0,A3s,24,23.0,0.5,1993,3,12,False
5,ISIC,0.5454545454545454,19,11,A3s,37,144.0,0.4864864864864865,1993,3,18,False
6,ISIC,0.96,2,0,A3s,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.5591397849462365,15,26,A4,41,199.0,0.6341463414634146,1993,3,26,False
0,ISIC,0.8333333333333334,4,12,A4,44,6552.0,0.9090909090909091,1993,3,40,False
3,ISIC,0.631578947368421,16,12,A4,40,799.0,0.6,1993,3,24,False
7,ISIC,0.6666666666666666,11,2,A4,24,23.0,0.5416666666666666,1993,3,13,False
5,ISIC,0.5428571428571428,18,14,A4,37,144.0,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,A4,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.5591397849462365,15,26,A5,41,199.0,0.6341463414634146,1993,3,26,False
0,ISIC,0.8333333333333334,4,12,A5,44,6552.0,0.9090909090909091,1993,3,40,False
3,ISIC,0.631578947368421,16,12,A5,40,799.0,0.6,1993,3,24,False
7,ISIC,0.6666666666666666,11,2,A5,24,23.0,0.5416666666666666,1993,3,13,False
5,ISIC,0.5428571428571428,18,14,A5,37,144.0,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,A5,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.5591397849462365,15,26,A6,41,199.0,0.6341463414634146,1993,3,26,False
0,ISIC,0.8333333333333334,4,12,A6,44,6552.0,0.9090909090909091,1993,3,40,False
3,ISIC,0.631578947368421,16,12,A6,40,799.0,0.6,1993,3,24,False
7,ISIC,0.6666666666666666,11,2,A6,24,23.0,0.5416666666666666,1993,3,13,False
5,ISIC,0.5428571428571428,18,14,A6,37,144.0,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,A6,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.43956043956043955,21,30,A7,41,199.0,0.4878048780487805,1993,3,20,False
0,ISIC,0.7311827956989247,10,15,A7,44,6552.0,0.7727272727272727,1993,3,34,False
3,ISIC,0.4,24,24,A7,40,799.0,0.4,1993,3,16,False
7,ISIC,0.5238095238095238,13,7,A7,24,23.0,0.4583333333333333,1993,3,11,False
5,ISIC,0.5,19,17,A7,37,144.0,0.4864864864864865,1993,3,18,False
6,ISIC,0.8260869565217391,7,1,A7,26,33.0,0.7307692307692307,1993,3,19,False
4,ISIC,0.574468085106383,14,26,A8,41,199.0,0.6585365853658537,1993,3,27,False
0,ISIC,0.8333333333333334,4,12,A8,44,6552.0,0.9090909090909091,1993,3,40,False
3,ISIC,0.64,16,11,A8,40,799.0,0.6,1993,3,24,False
7,ISIC,0.6666666666666666,11,2,A8,24,23.0,0.5416666666666666,1993,3,13,False
5,ISIC,0.5428571428571428,18,14,A8,37,144.0,0.5135135135135135,1993,3,19,False
6,ISIC,0.96,2,0,A8,26,33.0,0.9230769230769231,1993,3,24,False
4,ISIC,0.46,18,36,P,41,199.0,0.5609756097560976,1993,4,23,False
0,ISIC,0.673469387755102,11,21,P,44,6552.0,0.75,1993,4,33,False
3,ISIC,0.36619718309859156,27,18,P,40,799.0,0.325,1993,4,13,False
7,ISIC,0.5581395348837209,12,7,P,24,23.0,0.5,1993,4,12,False
5,ISIC,0.42105263157894735,21,23,P,37,144.0,0.43243243243243246,1993,4,16,False
6,ISIC,0.9230769230769231,2,2,P,26,33.0,0.9230769230769231,1993,4,24,False
2,ISIC,0.5,26,14,P,46,1168.0,0.43478260869565216,1993,4,20,False
1,ISIC,0.5428571428571428,18,14,P,37,1018.0,0.5135135135135135,1993,4,19,False
4,ISIC,0.4807692307692308,16,38,A0,41,199.0,0.6097560975609756,1993,4,25,False
0,ISIC,0.7070707070707071,9,20,A0,44,6552.0,0.7954545454545454,1993,4,35,False
3,ISIC,0.5066666666666667,21,16,A0,40,799.0,0.475,1993,4,19,False
7,ISIC,0.6046511627906976,11,6,A0,24,23.0,0.5416666666666666,1993,4,13,False
5,ISIC,0.4722222222222222,20,18,A0,37,144.0,0.4594594594594595,1993,4,17,False
6,ISIC,0.92,3,1,A0,26,33.0,0.8846153846153846,1993,4,23,False
2,ISIC,0.475,27,15,A0,46,1168.0,0.41304347826086957,1993,4,19,False
1,ISIC,0.5970149253731343,17,10,A0,37,1018.0,0.5405405405405406,1993,4,20,False
4,ISIC,0.4489795918367347,19,35,A1,41,199.0,0.5365853658536586,1993,4,22,False
0,ISIC,0.673469387755102,11,21,A1,44,6552.0,0.75,1993,4,33,False
3,ISIC,0.4266666666666667,24,19,A1,40,799.0,0.4,1993,4,16,False
7,ISIC,0.42857142857142855,15,9,A1,24,23.0,0.375,1993,4,9,False
5,ISIC,0.4117647058823529,23,17,A1,37,144.0,0.3783783783783784,1993,4,14,False
6,ISIC,0.8275862068965517,2,8,A1,26,33.0,0.9230769230769231,1993,4,24,False
2,ISIC,0.36363636363636365,32,17,A1,46,1168.0,0.30434782608695654,1993,4,14,False
1,ISIC,0.5675675675675675,16,16,A1,37,1018.0,0.5675675675675675,1993,4,21,False
4,ISIC,0.4752475247524752,17,36,A2,41,199.0,0.5853658536585366,1993,4,24,False
0,ISIC,0.7216494845360825,9,18,A2,44,6552.0,0.7954545454545454,1993,4,35,False
3,ISIC,0.5897435897435898,17,15,A2,40,799.0,0.575,1993,4,23,False
7,ISIC,0.6046511627906976,11,6,A2,24,23.0,0.5416666666666666,1993,4,13,False
5,ISIC,0.5,19,17,A2,37,144.0,0.4864864864864865,1993,4,18,False
6,ISIC,0.92,3,1,A2,26,33.0,0.8846153846153846,1993,4,23,False
2,ISIC,0.475,27,15,A2,46,1168.0,0.41304347826086957,1993,4,19,False
1,ISIC,0.5797101449275363,17,12,A2,37,1018.0,0.5405405405405406,1993,4,20,False
4,ISIC,0.5094339622641509,14,38,A3,41,199.0,0.6585365853658537,1993,4,27,False
0,ISIC,0.7216494845360825,9,18,A3,44,6552.0,0.7954545454545454,1993,4,35,False
3,ISIC,0.5783132530120482,16,19,A3,40,799.0,0.6,1993,4,24,False
7,ISIC,0.5853658536585366,12,5,A3,24,23.0,0.5,1993,4,12,False
5,ISIC,0.5217391304347826,19,14,A3,37,144.0,0.4864864864864865,1993,4,18,False
6,ISIC,0.92,3,1,A3,26,33.0,0.8846153846153846,1993,4,23,False
2,ISIC,0.4675324675324675,28,13,A3,46,1168.0,0.391304347826087,1993,4,18,False
1,ISIC,0.5671641791044776,18,11,A3,37,1018.0,0.5135135135135135,1993,4,19,False
4,ISIC,0.5046728971962616,14,39,A3s,41,199.0,0.6585365853658537,1993,4,27,False
0,ISIC,0.7216494845360825,9,18,A3s,44,6552.0,0.7954545454545454,1993,4,35,False
3,ISIC,0.5542168674698795,17,20,A3s,40,799.0,0.575,1993,4,23,False
7,ISIC,0.5853658536585366,12,5,A3s,24,23.0,0.5,1993,4,12,False
5,ISIC,0.5217391304347826,19,14,A3s,37,144.0,0.4864864864864865,1993,4,18,False
6,ISIC,0.92,3,1,A3s,26,33.0,0.8846153846153846,1993,4,23,False
2,ISIC,0.4473684210526316,29,13,A3s,46,1168.0,0.3695652173913043,1993,4,17,False
1,ISIC,0.5671641791044776,18,11,A3s,37,1018.0,0.5135135135135135,1993,4,19,False
4,ISIC,0.4752475247524752,17,36,A4,41,199.0,0.5853658536585366,1993,4,24,False
0,ISIC,0.7216494845360825,9,18,A4,44,6552.0,0.7954545454545454,1993,4,35,False
3,ISIC,0.5897435897435898,17,15,A4,40,799.0,0.575,1993,4,23,False
7,ISIC,0.6046511627906976,11,6,A4,24,23.0,0.5416666666666666,1993,4,13,False
5,ISIC,0.5,19,17,A4,37,144.0,0.4864864864864865,1993,4,18,False
6,ISIC,0.92,3,1,A4,26,33.0,0.8846153846153846,1993,4,23,False
2,ISIC,0.475,27,15,A4,46,1168.0,0.41304347826086957,1993,4,19,False
1,ISIC,0.5797101449275363,17,12,A4,37,1018.0,0.5405405405405406,1993,4,20,False
4,ISIC,0.4752475247524752,17,36,A5,41,199.0,0.5853658536585366,1993,4,24,False
0,ISIC,0.7216494845360825,9,18,A5,44,6552.0,0.7954545454545454,1993,4,35,False
3,ISIC,0.5897435897435898,17,15,A5,40,799.0,0.575,1993,4,23,False
7,ISIC,0.6046511627906976,11,6,A5,24,23.0,0.5416666666666666,1993,4,13,False
5,ISIC,0.5,19,17,A5,37,144.0,0.4864864864864865,1993,4,18,False
6,ISIC,0.92,3,1,A5,26,33.0,0.8846153846153846,1993,4,23,False
2,ISIC,0.475,27,15,A5,46,1168.0,0.41304347826086957,1993,4,19,False
1,ISIC,0.5797101449275363,17,12,A5,37,1018.0,0.5405405405405406,1993,4,20,False
4,ISIC,0.4752475247524752,17,36,A6,41,199.0,0.5853658536585366,1993,4,24,False
0,ISIC,0.7216494845360825,9,18,A6,44,6552.0,0.7954545454545454,1993,4,35,False
3,ISIC,0.5897435897435898,17,15,A6,40,799.0,0.575,1993,4,23,False
7,ISIC,0.6046511627906976,11,6,A6,24,23.0,0.5416666666666666,1993,4,13,False
5,ISIC,0.5,19,17,A6,37,144.0,0.4864864864864865,1993,4,18,False
6,ISIC,0.92,3,1,A6,26,33.0,0.8846153846153846,1993,4,23,False
2,ISIC,0.475,27,15,A6,46,1168.0,0.41304347826086957,1993,4,19,False
1,ISIC,0.5797101449275363,17,12,A6,37,1018.0,0.5405405405405406,1993,4,20,False
4,ISIC,0.3434343434343434,24,41,A7,41,199.0,0.4146341463414634,1993,4,17,False
0,ISIC,0.62,13,25,A7,44,6552.0,0.7045454545454546,1993,4,31,False
3,ISIC,0.2857142857142857,30,20,A7,40,799.0,0.25,1993,4,10,False
7,ISIC,0.5,13,9,A7,24,23.0,0.4583333333333333,1993,4,11,False
5,ISIC,0.45569620253164556,19,24,A7,37,144.0,0.4864864864864865,1993,4,18,False
6,ISIC,0.8260869565217391,7,1,A7,26,33.0,0.7307692307692307,1993,4,19,False
2,ISIC,0.3132530120481928,33,24,A7,46,1168.0,0.2826086956521739,1993,4,13,False
1,ISIC,0.43478260869565216,22,17,A7,37,1018.0,0.40540540540540543,1993,4,15,False
4,ISIC,0.46,18,36,A8,41,199.0,0.5609756097560976,1993,4,23,False
0,ISIC,0.7142857142857143,9,19,A8,44,6552.0,0.7954545454545454,1993,4,35,False
3,ISIC,0.5897435897435898,17,15,A8,40,799.0,0.575,1993,4,23,False
7,ISIC,0.6046511627906976,11,6,A8,24,23.0,0.5416666666666666,1993,4,13,False
5,ISIC,0.5070422535211268,19,16,A8,37,144.0,0.4864864864864865,1993,4,18,False
6,ISIC,0.92,3,1,A8,26,33.0,0.8846153846153846,1993,4,23,False
2,ISIC,0.475,27,15,A8,46,1168.0,0.41304347826086957,1993,4,19,False
1,ISIC,0.5714285714285714,17,13,A8,37,1018.0,0.5405405405405406,1993,4,20,False
3,ISIC,0.8666666666666667,1,11,P,40,799.0,0.975,1994,1,39,False
7,ISIC,0.6842105263157895,11,1,P,24,23.0,0.5416666666666666,1994,1,13,False
3,ISIC,0.8571428571428571,1,12,A0,40,799.0,0.975,1994,1,39,False
7,ISIC,0.6486486486486487,12,1,A0,24,23.0,0.5,1994,1,12,False
3,ISIC,0.8636363636363636,2,10,A1,40,799.0,0.95,1994,1,38,False
7,ISIC,0.7,10,2,A1,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.8764044943820225,1,10,A2,40,799.0,0.975,1994,1,39,False
7,ISIC,0.717948717948718,10,1,A2,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.8764044943820225,1,10,A3,40,799.0,0.975,1994,1,39,False
7,ISIC,0.717948717948718,10,1,A3,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.8764044943820225,1,10,A3s,40,799.0,0.975,1994,1,39,False
7,ISIC,0.717948717948718,10,1,A3s,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.8764044943820225,1,10,A4,40,799.0,0.975,1994,1,39,False
7,ISIC,0.717948717948718,10,1,A4,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.8764044943820225,1,10,A5,40,799.0,0.975,1994,1,39,False
7,ISIC,0.717948717948718,10,1,A5,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.8764044943820225,1,10,A6,40,799.0,0.975,1994,1,39,False
7,ISIC,0.717948717948718,10,1,A6,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.717948717948718,12,10,A7,40,799.0,0.7,1994,1,28,False
7,ISIC,0.56,10,12,A7,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.8764044943820225,1,10,A8,40,799.0,0.975,1994,1,39,False
7,ISIC,0.717948717948718,10,1,A8,24,23.0,0.5833333333333334,1994,1,14,False
3,ISIC,0.7045454545454546,9,17,P,40,799.0,0.775,1994,2,31,False
7,ISIC,0.6341463414634146,11,4,P,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.5,20,22,P,41,199.0,0.5121951219512195,1994,2,21,False
5,ISIC,0.5352112676056338,18,15,P,37,144.0,0.5135135135135135,1994,2,19,False
3,ISIC,0.7209302325581395,9,15,A0,40,799.0,0.775,1994,2,31,False
7,ISIC,0.65,11,3,A0,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.5287356321839081,18,23,A0,41,199.0,0.5609756097560976,1994,2,23,False
5,ISIC,0.5633802816901409,17,14,A0,37,144.0,0.5405405405405406,1994,2,20,False
3,ISIC,0.6976744186046512,10,16,A1,40,799.0,0.75,1994,2,30,False
7,ISIC,0.65,11,3,A1,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.5977011494252874,15,20,A1,41,199.0,0.6341463414634146,1994,2,26,False
5,ISIC,0.5352112676056338,18,15,A1,37,144.0,0.5135135135135135,1994,2,19,False
3,ISIC,0.7391304347826086,6,18,A2,40,799.0,0.85,1994,2,34,False
7,ISIC,0.6666666666666666,11,2,A2,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.5060240963855421,20,21,A2,41,199.0,0.5121951219512195,1994,2,21,False
5,ISIC,0.5142857142857142,19,15,A2,37,144.0,0.4864864864864865,1994,2,18,False
3,ISIC,0.723404255319149,6,20,A3,40,799.0,0.85,1994,2,34,False
7,ISIC,0.5945945945945946,13,2,A3,24,23.0,0.4583333333333333,1994,2,11,False
4,ISIC,0.5238095238095238,19,21,A3,41,199.0,0.5365853658536586,1994,2,22,False
5,ISIC,0.5217391304347826,19,14,A3,37,144.0,0.4864864864864865,1994,2,18,False
3,ISIC,0.7311827956989247,6,19,A3s,40,799.0,0.85,1994,2,34,False
7,ISIC,0.631578947368421,12,2,A3s,24,23.0,0.5,1994,2,12,False
4,ISIC,0.5238095238095238,19,21,A3s,41,199.0,0.5365853658536586,1994,2,22,False
5,ISIC,0.5217391304347826,19,14,A3s,37,144.0,0.4864864864864865,1994,2,18,False
3,ISIC,0.7252747252747253,7,18,A4,40,799.0,0.825,1994,2,33,False
7,ISIC,0.65,11,3,A4,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.5060240963855421,20,21,A4,41,199.0,0.5121951219512195,1994,2,21,False
5,ISIC,0.5142857142857142,19,15,A4,37,144.0,0.4864864864864865,1994,2,18,False
3,ISIC,0.7252747252747253,7,18,A5,40,799.0,0.825,1994,2,33,False
7,ISIC,0.65,11,3,A5,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.5060240963855421,20,21,A5,41,199.0,0.5121951219512195,1994,2,21,False
5,ISIC,0.5142857142857142,19,15,A5,37,144.0,0.4864864864864865,1994,2,18,False
3,ISIC,0.7391304347826086,6,18,A6,40,799.0,0.85,1994,2,34,False
7,ISIC,0.6666666666666666,11,2,A6,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.5060240963855421,20,21,A6,41,199.0,0.5121951219512195,1994,2,21,False
5,ISIC,0.5142857142857142,19,15,A6,37,144.0,0.4864864864864865,1994,2,18,False
3,ISIC,0.4533333333333333,23,18,A7,40,799.0,0.425,1994,2,17,False
7,ISIC,0.5,11,15,A7,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.4888888888888889,19,27,A7,41,199.0,0.5365853658536586,1994,2,22,False
5,ISIC,0.47761194029850745,21,14,A7,37,144.0,0.43243243243243246,1994,2,16,False
3,ISIC,0.7252747252747253,7,18,A8,40,799.0,0.825,1994,2,33,False
7,ISIC,0.65,11,3,A8,24,23.0,0.5416666666666666,1994,2,13,False
4,ISIC,0.5060240963855421,20,21,A8,41,199.0,0.5121951219512195,1994,2,21,False
5,ISIC,0.5142857142857142,19,15,A8,37,144.0,0.4864864864864865,1994,2,18,False
3,ISIC,0.5333333333333333,20,15,P,40,799.0,0.5,1994,3,20,False
7,ISIC,0.5853658536585366,12,5,P,24,23.0,0.5,1994,3,12,False
4,ISIC,0.5,16,34,P,41,199.0,0.6097560975609756,1994,3,25,False
5,ISIC,0.5142857142857142,19,15,P,37,144.0,0.4864864864864865,1994,3,18,False
1,ISIC,0.5454545454545454,19,11,P,37,1018.0,0.4864864864864865,1994,3,18,False
0,ISIC,0.7021276595744681,11,17,P,44,6552.0,0.75,1994,3,33,False
3,ISIC,0.4657534246575342,23,16,A0,40,799.0,0.425,1994,3,17,False
7,ISIC,0.5714285714285714,12,6,A0,24,23.0,0.5,1994,3,12,False
4,ISIC,0.48,17,35,A0,41,199.0,0.5853658536585366,1994,3,24,False
5,ISIC,0.5,19,17,A0,37,144.0,0.4864864864864865,1994,3,18,False
1,ISIC,0.5714285714285714,19,8,A0,37,1018.0,0.4864864864864865,1994,3,18,False
0,ISIC,0.6875,11,19,A0,44,6552.0,0.75,1994,3,33,False
3,ISIC,0.5066666666666667,21,16,A1,40,799.0,0.475,1994,3,19,False
7,ISIC,0.4878048780487805,14,7,A1,24,23.0,0.4166666666666667,1994,3,10,False
4,ISIC,0.5274725274725275,17,26,A1,41,199.0,0.5853658536585366,1994,3,24,False
5,ISIC,0.5352112676056338,18,15,A1,37,144.0,0.5135135135135135,1994,3,19,False
1,ISIC,0.5507246376811594,18,13,A1,37,1018.0,0.5135135135135135,1994,3,19,False
0,ISIC,0.7070707070707071,9,20,A1,44,6552.0,0.7954545454545454,1994,3,35,False
3,ISIC,0.5675675675675675,19,13,A2,40,799.0,0.525,1994,3,21,False
7,ISIC,0.5714285714285714,12,6,A2,24,23.0,0.5,1994,3,12,False
4,ISIC,0.5106382978723404,17,29,A2,41,199.0,0.5853658536585366,1994,3,24,False
5,ISIC,0.5555555555555556,17,15,A2,37,144.0,0.5405405405405406,1994,3,20,False
1,ISIC,0.6060606060606061,17,9,A2,37,1018.0,0.5405405405405406,1994,3,20,False
0,ISIC,0.7142857142857143,9,19,A2,44,6552.0,0.7954545454545454,1994,3,35,False
