dataset,seed,task,method,true_class,predicted_class,n
ISIC,1993,4,A3s,5,0,0
ISIC,1993,4,A3s,5,1,1
ISIC,1993,4,A3s,5,2,3
ISIC,1993,4,A3s,5,3,2
ISIC,1993,4,A3s,5,4,12
ISIC,1993,4,A3s,5,5,18
ISIC,1993,4,A3s,5,6,0
ISIC,1993,4,A3s,5,7,1
ISIC,1993,4,A3s,6,0,1
ISIC,1993,4,A3s,6,1,0
ISIC,1993,4,A3s,6,2,1
ISIC,1993,4,A3s,6,3,0
ISIC,1993,4,A3s,6,4,1
ISIC,1993,4,A3s,6,5,0
ISIC,1993,4,A3s,6,6,23
ISIC,1993,4,A3s,6,7,0
ISIC,1993,4,A3s,7,0,4
ISIC,1993,4,A3s,7,1,1
ISIC,1993,4,A3s,7,2,3
ISIC,1993,4,A3s,7,3,1
ISIC,1993,4,A3s,7,4,2
ISIC,1993,4,A3s,7,5,1
ISIC,1993,4,A3s,7,6,0
ISIC,1993,4,A3s,7,7,12
ISIC,1993,4,A4,0,0,35
ISIC,1993,4,A4,0,1,4
ISIC,1993,4,A4,0,2,2
ISIC,1993,4,A4,0,3,1
ISIC,1993,4,A4,0,4,0
ISIC,1993,4,A4,0,5,1
ISIC,1993,4,A4,0,6,0
ISIC,1993,4,A4,0,7,1
ISIC,1993,4,A4,1,0,6
ISIC,1993,4,A4,1,1,20
ISIC,1993,4,A4,1,2,2
ISIC,1993,4,A4,1,3,3
ISIC,1993,4,A4,1,4,4
ISIC,1993,4,A4,1,5,0
ISIC,1993,4,A4,1,6,0
ISIC,1993,4,A4,1,7,2
ISIC,1993,4,A4,2,0,2
ISIC,1993,4,A4,2,1,2
ISIC,1993,4,A4,2,2,19
ISIC,1993,4,A4,2,3,6
ISIC,1993,4,A4,2,4,12
ISIC,1993,4,A4,2,5,4
ISIC,1993,4,A4,2,6,1
ISIC,1993,4,A4,2,7,0
ISIC,1993,4,A4,3,0,6
ISIC,1993,4,A4,3,1,3
ISIC,1993,4,A4,3,2,1
ISIC,1993,4,A4,3,3,23
ISIC,1993,4,A4,3,4,5
ISIC,1993,4,A4,3,5,1
ISIC,1993,4,A4,3,6,0
ISIC,1993,4,A4,3,7,1
ISIC,1993,4,A4,4,0,0
ISIC,1993,4,A4,4,1,2
ISIC,1993,4,A4,4,2,3
ISIC,1993,4,A4,4,3,3
ISIC,1993,4,A4,4,4,24
ISIC,1993,4,A4,4,5,9
ISIC,1993,4,A4,4,6,0
ISIC,1993,4,A4,4,7,0
ISIC,1993,4,A4,5,0,0
ISIC,1993,4,A4,5,1,0
ISIC,1993,4,A4,5,2,3
ISIC,1993,4,A4,5,3,2
ISIC,1993,4,A4,5,4,12
ISIC,1993,4,A4,5,5,18
ISIC,1993,4,A4,5,6,0
ISIC,1993,4,A4,5,7,2
ISIC,1993,4,A4,6,0,1
ISIC,1993,4,A4,6,1,0
ISIC,1993,4,A4,6,2,1
ISIC,1993,4,A4,6,3,0
ISIC,1993,4,A4,6,4,1
ISIC,1993,4,A4,6,5,0
ISIC,1993,4,A4,6,6,23
ISIC,1993,4,A4,6,7,0
ISIC,1993,4,A4,7,0,3
ISIC,1993,4,A4,7,1,1
ISIC,1993,4,A4,7,2,3
ISIC,1993,4,A4,7,3,0
ISIC,1993,4,A4,7,4,2
ISIC,1993,4,A4,7,5,2
ISIC,1993,4,A4,7,6,0
ISIC,1993,4,A4,7,7,13
ISIC,1993,4,A5,0,0,35
ISIC,1993,4,A5,0,1,4
ISIC,1993,4,A5,0,2,2
ISIC,1993,4,A5,0,3,1
ISIC,1993,4,A5,0,4,0
ISIC,1993,4,A5,0,5,1
ISIC,1993,4,A5,0,6,0
ISIC,1993,4,A5,0,7,1
ISIC,1993,4,A5,1,0,6
ISIC,1993,4,A5,1,1,20
ISIC,1993,4,A5,1,2,2
ISIC,1993,4,A5,1,3,3
ISIC,1993,4,A5,1,4,4
ISIC,1993,4,A5,1,5,0
ISIC,1993,4,A5,1,6,0
ISIC,1993,4,A5,1,7,2
ISIC,1993,4,A5,2,0,2
ISIC,1993,4,A5,2,1,2
ISIC,1993,4,A5,2,2,19
ISIC,1993,4,A5,2,3,6
ISIC,1993,4,A5,2,4,12
ISIC,1993,4,A5,2,5,4
ISIC,1993,4,A5,2,6,1
ISIC,1993,4,A5,2,7,0
ISIC,1993,4,A5,3,0,6
ISIC,1993,4,A5,3,1,3
ISIC,1993,4,A5,3,2,1
ISIC,1993,4,A5,3,3,23
ISIC,1993,4,A5,3,4,5
ISIC,1993,4,A5,3,5,1
ISIC,1993,4,A5,3,6,0
ISIC,1993,4,A5,3,7,1
ISIC,1993,4,A5,4,0,0
ISIC,1993,4,A5,4,1,2
ISIC,1993,4,A5,4,2,3
ISIC,1993,4,A5,4,3,3
ISIC,1993,4,A5,4,4,24
ISIC,1993,4,A5,4,5,9
ISIC,1993,4,A5,4,6,0
ISIC,1993,4,A5,4,7,0
ISIC,1993,4,A5,5,0,0
ISIC,1993,4,A5,5,1,0
ISIC,1993,4,A5,5,2,3
ISIC,1993,4,A5,5,3,2
ISIC,1993,4,A5,5,4,12
ISIC,1993,4,A5,5,5,18
ISIC,1993,4,A5,5,6,0
ISIC,1993,4,A5,5,7,2
ISIC,1993,4,A5,6,0,1
ISIC,1993,4,A5,6,1,0
ISIC,1993,4,A5,6,2,1
ISIC,1993,4,A5,6,3,0
ISIC,1993,4,A5,6,4,1
ISIC,1993,4,A5,6,5,0
ISIC,1993,4,A5,6,6,23
ISIC,1993,4,A5,6,7,0
ISIC,1993,4,A5,7,0,3
ISIC,1993,4,A5,7,1,1
ISIC,1993,4,A5,7,2,3
ISIC,1993,4,A5,7,3,0
ISIC,1993,4,A5,7,4,2
ISIC,1993,4,A5,7,5,2
ISIC,1993,4,A5,7,6,0
ISIC,1993,4,A5,7,7,13
ISIC,1993,4,A6,0,0,35
ISIC,1993,4,A6,0,1,4
ISIC,1993,4,A6,0,2,2
ISIC,1993,4,A6,0,3,1
ISIC,1993,4,A6,0,4,0
ISIC,1993,4,A6,0,5,1
ISIC,1993,4,A6,0,6,0
ISIC,1993,4,A6,0,7,1
ISIC,1993,4,A6,1,0,6
ISIC,1993,4,A6,1,1,20
ISIC,1993,4,A6,1,2,2
ISIC,1993,4,A6,1,3,3
ISIC,1993,4,A6,1,4,4
ISIC,1993,4,A6,1,5,0
ISIC,1993,4,A6,1,6,0
ISIC,1993,4,A6,1,7,2
ISIC,1993,4,A6,2,0,2
ISIC,1993,4,A6,2,1,2
ISIC,1993,4,A6,2,2,19
ISIC,1993,4,A6,2,3,6
ISIC,1993,4,A6,2,4,12
ISIC,1993,4,A6,2,5,4
ISIC,1993,4,A6,2,6,1
ISIC,1993,4,A6,2,7,0
ISIC,1993,4,A6,3,0,6
ISIC,1993,4,A6,3,1,3
ISIC,1993,4,A6,3,2,1
ISIC,1993,4,A6,3,3,23
ISIC,1993,4,A6,3,4,5
ISIC,1993,4,A6,3,5,1
ISIC,1993,4,A6,3,6,0
ISIC,1993,4,A6,3,7,1
ISIC,1993,4,A6,4,0,0
ISIC,1993,4,A6,4,1,2
ISIC,1993,4,A6,4,2,3
ISIC,1993,4,A6,4,3,3
ISIC,1993,4,A6,4,4,24
ISIC,1993,4,A6,4,5,9
ISIC,1993,4,A6,4,6,0
ISIC,1993,4,A6,4,7,0
ISIC,1993,4,A6,5,0,0
ISIC,1993,4,A6,5,1,0
ISIC,1993,4,A6,5,2,3
ISIC,1993,4,A6,5,3,2
ISIC,1993,4,A6,5,4,12
ISIC,1993,4,A6,5,5,18
ISIC,1993,4,A6,5,6,0
ISIC,1993,4,A6,5,7,2
ISIC,1993,4,A6,6,0,1
ISIC,1993,4,A6,6,1,0
ISIC,1993,4,A6,6,2,1
ISIC,1993,4,A6,6,3,0
ISIC,1993,4,A6,6,4,1
ISIC,1993,4,A6,6,5,0
ISIC,1993,4,A6,6,6,23
ISIC,1993,4,A6,6,7,0
ISIC,1993,4,A6,7,0,3
ISIC,1993,4,A6,7,1,1
ISIC,1993,4,A6,7,2,3
ISIC,1993,4,A6,7,3,0
ISIC,1993,4,A6,7,4,2
ISIC,1993,4,A6,7,5,2
ISIC,1993,4,A6,7,6,0
ISIC,1993,4,A6,7,7,13
ISIC,1993,4,A7,0,0,31
ISIC,1993,4,A7,0,1,7
ISIC,1993,4,A7,0,2,2
ISIC,1993,4,A7,0,3,2
ISIC,1993,4,A7,0,4,0
ISIC,1993,4,A7,0,5,0
ISIC,1993,4,A7,0,6,0
ISIC,1993,4,A7,0,7,2
ISIC,1993,4,A7,1,0,8
ISIC,1993,4,A7,1,1,15
ISIC,1993,4,A7,1,2,2
ISIC,1993,4,A7,1,3,4
ISIC,1993,4,A7,1,4,5
ISIC,1993,4,A7,1,5,1
ISIC,1993,4,A7,1,6,0
ISIC,1993,4,A7,1,7,2
ISIC,1993,4,A7,2,0,5
ISIC,1993,4,A7,2,1,1
ISIC,1993,4,A7,2,2,13
ISIC,1993,4,A7,2,3,4
ISIC,1993,4,A7,2,4,14
ISIC,1993,4,A7,2,5,8
ISIC,1993,4,A7,2,6,1
ISIC,1993,4,A7,2,7,0
ISIC,1993,4,A7,3,0,7
ISIC,1993,4,A7,3,1,6
ISIC,1993,4,A7,3,2,5
ISIC,1993,4,A7,3,3,10
ISIC,1993,4,A7,3,4,6
ISIC,1993,4,A7,3,5,3
ISIC,1993,4,A7,3,6,0
ISIC,1993,4,A7,3,7,3
ISIC,1993,4,A7,4,0,0
ISIC,1993,4,A7,4,1,2
ISIC,1993,4,A7,4,2,5
ISIC,1993,4,A7,4,3,5
ISIC,1993,4,A7,4,4,17
ISIC,1993,4,A7,4,5,10
ISIC,1993,4,A7,4,6,0
ISIC,1993,4,A7,4,7,2
ISIC,1993,4,A7,5,0,0
ISIC,1993,4,A7,5,1,0
ISIC,1993,4,A7,5,2,2
ISIC,1993,4,A7,5,3,4
ISIC,1993,4,A7,5,4,13
ISIC,1993,4,A7,5,5,18
ISIC,1993,4,A7,5,6,0
ISIC,1993,4,A7,5,7,0
ISIC,1993,4,A7,6,0,1
ISIC,1993,4,A7,6,1,0
ISIC,1993,4,A7,6,2,4
ISIC,1993,4,A7,6,3,0
ISIC,1993,4,A7,6,4,1
ISIC,1993,4,A7,6,5,1
ISIC,1993,4,A7,6,6,19
ISIC,1993,4,A7,6,7,0
ISIC,1993,4,A7,7,0,4
ISIC,1993,4,A7,7,1,1
ISIC,1993,4,A7,7,2,4
ISIC,1993,4,A7,7,3,1
ISIC,1993,4,A7,7,4,2
ISIC,1993,4,A7,7,5,1
ISIC,1993,4,A7,7,6,0
ISIC,1993,4,A7,7,7,11
ISIC,1993,4,A8,0,0,35
ISIC,1993,4,A8,0,1,4
ISIC,1993,4,A8,0,2,2
ISIC,1993,4,A8,0,3,1
ISIC,1993,4,A8,0,4,0
ISIC,1993,4,A8,0,5,1
ISIC,1993,4,A8,0,6,0
ISIC,1993,4,A8,0,7,1
ISIC,1993,4,A8,1,0,7
ISIC,1993,4,A8,1,1,20
ISIC,1993,4,A8,1,2,2
ISIC,1993,4,A8,1,3,2
ISIC,1993,4,A8,1,4,4
ISIC,1993,4,A8,1,5,0
ISIC,1993,4,A8,1,6,0
ISIC,1993,4,A8,1,7,2
ISIC,1993,4,A8,2,0,2
ISIC,1993,4,A8,2,1,2
ISIC,1993,4,A8,2,2,19
ISIC,1993,4,A8,2,3,6
ISIC,1993,4,A8,2,4,12
ISIC,1993,4,A8,2,5,4
ISIC,1993,4,A8,2,6,1
ISIC,1993,4,A8,2,7,0
ISIC,1993,4,A8,3,0,6
ISIC,1993,4,A8,3,1,3
ISIC,1993,4,A8,3,2,1
ISIC,1993,4,A8,3,3,23
ISIC,1993,4,A8,3,4,5
ISIC,1993,4,A8,3,5,1
ISIC,1993,4,A8,3,6,0
ISIC,1993,4,A8,3,7,1
ISIC,1993,4,A8,4,0,0
ISIC,1993,4,A8,4,1,3
ISIC,1993,4,A8,4,2,3
ISIC,1993,4,A8,4,3,4
ISIC,1993,4,A8,4,4,23
ISIC,1993,4,A8,4,5,8
ISIC,1993,4,A8,4,6,0
ISIC,1993,4,A8,4,7,0
ISIC,1993,4,A8,5,0,0
ISIC,1993,4,A8,5,1,0
ISIC,1993,4,A8,5,2,3
ISIC,1993,4,A8,5,3,2
ISIC,1993,4,A8,5,4,12
ISIC,1993,4,A8,5,5,18
ISIC,1993,4,A8,5,6,0
ISIC,1993,4,A8,5,7,2
ISIC,1993,4,A8,6,0,1
ISIC,1993,4,A8,6,1,0
ISIC,1993,4,A8,6,2,1
ISIC,1993,4,A8,6,3,0
ISIC,1993,4,A8,6,4,1
ISIC,1993,4,A8,6,5,0
ISIC,1993,4,A8,6,6,23
ISIC,1993,4,A8,6,7,0
ISIC,1993,4,A8,7,0,3
ISIC,1993,4,A8,7,1,1
ISIC,1993,4,A8,7,2,3
ISIC,1993,4,A8,7,3,0
ISIC,1993,4,A8,7,4,2
ISIC,1993,4,A8,7,5,2
ISIC,1993,4,A8,7,6,0
ISIC,1993,4,A8,7,7,13
ISIC,1994,4,P,0,0,33
ISIC,1994,4,P,0,1,6
ISIC,1994,4,P,0,2,1
ISIC,1994,4,P,0,3,1
ISIC,1994,4,P,0,4,0
ISIC,1994,4,P,0,5,1
ISIC,1994,4,P,0,6,1
ISIC,1994,4,P,0,7,1
ISIC,1994,4,P,1,0,5
ISIC,1994,4,P,1,1,19
ISIC,1994,4,P,1,2,1
ISIC,1994,4,P,1,3,4
ISIC,1994,4,P,1,4,6
ISIC,1994,4,P,1,5,0
ISIC,1994,4,P,1,6,0
ISIC,1994,4,P,1,7,2
ISIC,1994,4,P,2,0,3
ISIC,1994,4,P,2,1,1
ISIC,1994,4,P,2,2,20
ISIC,1994,4,P,2,3,6
ISIC,1994,4,P,2,4,8
ISIC,1994,4,P,2,5,7
ISIC,1994,4,P,2,6,1
ISIC,1994,4,P,2,7,0
ISIC,1994,4,P,3,0,7
ISIC,1994,4,P,3,1,4
ISIC,1994,4,P,3,2,4
ISIC,1994,4,P,3,3,13
ISIC,1994,4,P,3,4,8
ISIC,1994,4,P,3,5,2
ISIC,1994,4,P,3,6,0
ISIC,1994,4,P,3,7,2
