encoder,classifier,order_seed,session,split,head_index,original_label,n_images,n_lesions,recall,lesion_equal_recall
B,NCM,1995,1,val,5,5,37,34,45.94594594594595,45.588235294117645
B,CBRidge,1995,1,val,0,1,37,36,48.64864864864865,48.61111111111111
B,CBRidge,1995,1,val,1,3,40,37,27.500000000000004,29.72972972972973
B,CBRidge,1995,1,val,2,0,44,44,79.54545454545455,79.54545454545455
B,CBRidge,1995,1,val,3,6,26,24,88.46153846153845,89.58333333333334
B,CBRidge,1995,1,val,4,4,41,38,63.41463414634146,64.47368421052632
B,CBRidge,1995,1,val,5,5,37,34,59.45945945945946,58.82352941176471
B,NCM,1995,2,val,0,1,37,36,32.432432432432435,33.33333333333333
B,NCM,1995,2,val,1,3,40,37,5.0,5.405405405405405
B,NCM,1995,2,val,2,0,44,44,56.81818181818182,56.81818181818182
B,NCM,1995,2,val,3,6,26,24,53.84615384615385,54.166666666666664
B,NCM,1995,2,val,4,4,41,38,41.46341463414634,40.78947368421053
B,NCM,1995,2,val,5,5,37,34,43.24324324324324,42.64705882352941
B,NCM,1995,2,val,6,2,46,45,15.217391304347828,15.555555555555555
B,NCM,1995,2,val,7,7,24,20,25.0,25.0
B,CBRidge,1995,2,val,0,1,37,36,59.45945945945946,58.333333333333336
B,CBRidge,1995,2,val,1,3,40,37,17.5,18.91891891891892
B,CBRidge,1995,2,val,2,0,44,44,72.72727272727273,72.72727272727273
B,CBRidge,1995,2,val,3,6,26,24,88.46153846153845,87.5
B,CBRidge,1995,2,val,4,4,41,38,58.536585365853654,59.210526315789465
B,CBRidge,1995,2,val,5,5,37,34,51.35135135135135,51.470588235294116
B,CBRidge,1995,2,val,6,2,46,45,52.17391304347826,51.11111111111111
B,CBRidge,1995,2,val,7,7,24,20,33.33333333333333,40.0
