dataset,seed,task,original_label,slack,variance_proxy,uncertainty_proxy,error_rate,n_val,n_components
HK,1993,6,16,9.687368411661507e-09,0.00013161661845830037,5.097572025153808e-05,0.0,8,8
HK,1993,6,22,9.592280779964919e-09,0.00015747059349690667,1.8525952176106696e-06,9.523809523809518,21,21
HK,1993,6,13,1.1156157967106038e-08,0.0001443460534094685,2.1804539789949851e-07,1.875,160,160
HK,1993,7,0,0.05557264159191022,7.380456381129276e-05,0.00010296246456603966,28.57142857142857,7,7
HK,1993,7,4,6.977242105409874e-08,8.80085446233277e-05,0.0001001508707430182,20.0,165,165
HK,1993,7,12,1.3366041616095407e-09,7.110752229059866e-05,0.00010007898252951149,34.14634146341463,41,41
HK,1993,7,8,7.505190453391279e-09,6.163517420204016e-05,9.974743236849111e-05,24.83660130718954,153,153
HK,1993,7,2,8.843568709570888e-09,4.6803805101355096e-05,9.902614180126692e-05,10.989010989010993,182,182
HK,1993,7,11,0.07229688820824717,7.187349530958508e-05,9.92379270514353e-05,62.295081967213115,61,61
HK,1993,7,17,1.227595543377329e-08,7.64458647261464e-05,0.00010052907589004464,100.0,5,5
HK,1993,7,3,0.044566869546644024,8.373843561640973e-05,9.733537126781515e-05,15.923566878980893,157,157
HK,1993,7,21,7.763680781077234e-09,8.555617828111218e-05,9.664381545811019e-05,75.0,4,4
HK,1993,7,16,3.4069765865359327e-09,7.650625319463639e-05,9.414087835998235e-05,50.0,8,8
HK,1993,7,22,8.281492085662175e-09,8.875894914171214e-05,7.816104855721406e-05,57.142857142857146,21,21
HK,1993,7,13,7.45082759696861e-09,8.03294047694709e-05,7.723816913787167e-05,8.125,160,160
HK,1993,7,18,7.139336818565751e-09,0.00015779380941704217,1.2424709402916697e-06,9.090909090909093,33,33
HK,1993,7,14,7.301364814141203e-09,0.00014190571214932126,5.631179053544493e-07,1.6666666666666714,60,60
HK,1993,8,0,0.08681865070071142,3.7431246443882765e-05,9.007858577831541e-05,100.0,7,7
HK,1993,8,4,0.035979120692621165,4.270202962004973e-05,8.864955002538427e-05,22.424242424242422,165,165
HK,1993,8,12,0.04562615779490999,3.4782832118929114e-05,8.863534994319802e-05,100.0,41,41
HK,1993,8,8,1.3858281022401756e-08,3.006818743542287e-05,8.847304533311491e-05,28.104575163398692,153,153
HK,1993,8,2,8.90332915349645e-09,2.281107734818787e-05,8.816520140674386e-05,17.032967032967022,182,182
HK,1993,8,11,0.09397240669611495,3.488899903843961e-05,8.826788242094755e-05,100.0,61,61
HK,1993,8,17,0.014383751161212967,3.891655407252639e-05,8.923699146529471e-05,80.0,5,5
HK,1993,8,3,0.11525406201748771,4.046932853982934e-05,8.760780794745146e-05,15.923566878980893,157,157
HK,1993,8,21,0.06506847234092746,4.285879126201829e-05,8.82701103335647e-05,75.0,4,4
HK,1993,8,16,0.0799055219314515,3.764647124184588e-05,8.699631552873563e-05,100.0,8,8
HK,1993,8,22,0.031112216771053917,4.21997687546117e-05,8.132952034063593e-05,85.71428571428572,21,21
HK,1993,8,13,1.4873488517082367e-08,3.813144545619896e-05,8.089065284371425e-05,23.125,160,160
HK,1993,8,18,0.0415406143441881,7.646025919571952e-05,4.5918368117164236e-05,54.54545454545455,33,33
HK,1993,8,14,8.805582182978676e-09,6.882547391690991e-05,4.5589435792146334e-05,1.6666666666666714,60,60
HK,1993,8,9,3.941318238259395e-09,9.386552767738406e-05,1.478197286258012e-07,0.0,164,164
HK,1993,8,19,7.511305540441596e-09,6.433143908715057e-05,1.0721906514525035e-05,50.0,2,2
HK,1993,9,0,0.10432753417017938,1.6246262435713616e-05,9.655319237848065e-05,100.0,7,7
HK,1993,9,4,0.07596677606588334,1.6639613542658435e-05,9.592992273335653e-05,54.54545454545455,165,165
HK,1993,9,12,0.09564521375395534,1.3660628609826674e-05,9.592218365942909e-05,100.0,41,41
HK,1993,9,8,0.006441934396405666,1.1576539770492922e-05,9.585808461926044e-05,63.39869281045752,153,153
HK,1993,9,2,4.672026504295633e-10,8.712072065192442e-06,9.573360511370376e-05,85.16483516483517,182,182
HK,1993,9,11,0.10436847154663,1.3539458650214601e-05,9.577364337976641e-05,100.0,61,61
HK,1993,9,17,0.0815750225325993,1.702787046287597e-05,9.616862517435234e-05,80.0,5,5
HK,1993,9,3,0.13661766319706245,1.569570127568976e-05,9.54526551872638e-05,35.6687898089172,157,157
HK,1993,9,21,0.10213848098744077,1.9089466328156127e-05,9.564623318351488e-05,100.0,4,4
HK,1993,9,16,0.10212490483759303,1.6080176274482212e-05,9.505865363740964e-05,100.0,8,8
HK,1993,9,22,0.07496368317088549,1.7186543393073855e-05,9.237862375782498e-05,95.23809523809524,21,21
HK,1993,9,13,0.04004495041633425,1.4847459473442106e-05,9.219885731618698e-05,55.625,160,160
HK,1993,9,18,0.10549890960351195,2.9832404276799044e-05,7.845517314783805e-05,96.96969696969697,33,33
HK,1993,9,14,5.016330624186146e-10,2.6645872160046982e-05,7.832600991469776e-05,18.33333333333333,60,60
HK,1993,9,9,3.5014755527558974e-10,3.6002739162320075e-05,6.024430261373055e-05,1.2195121951219505,164,164
HK,1993,9,19,4.564276666964188e-10,2.9185920277242987e-05,6.505192543291023e-05,100.0,2,2
HK,1993,9,15,4.0672620152574227e-10,8.180168883575264e-05,1.6762641154867354e-07,0.0,123,123
HK,1993,9,6,3.752500031221237e-10,4.6357934418155634e-05,7.72632240302593e-06,0.0,1,1
HK,1993,10,0,0.1069185919939541,5.788733767348115e-06,6.5042891733787e-05,100.0,7,7
HK,1993,10,4,0.09677466724535565,5.064552677485142e-06,6.481943272283364e-05,100.0,165,165
HK,1993,10,12,0.10545415960611129,4.26745573762905e-06,6.481825118283159e-05,97.5609756097561,41,41
HK,1993,10,8,0.08332815929718058,3.5284950554615916e-06,6.479809280803861e-05,100.0,153,153
HK,1993,10,2,0.037816677338395166,2.650139045009195e-06,6.476092475115381e-05,100.0,182,182
HK,1993,10,11,0.10453582698261013,4.142012233045712e-06,6.477319379742629e-05,100.0,61,61
HK,1993,10,17,0.10780543617388519,6.106811627840435e-06,6.493826035110708e-05,100.0,5,5
HK,1993,10,3,0.12267080137293607,4.7651154622075145e-06,6.468014604968282e-05,100.0,157,157
HK,1993,10,21,0.10894734677013704,6.89569382165194e-06,6.481551191252942e-05,100.0,4,4
HK,1993,10,16,0.1063275184680956,5.526025671049327e-06,6.459494797812201e-05,100.0,8,8
HK,1993,10,22,0.09737864859651271,5.515775827461245e-06,6.379981730049665e-05,100.0,21,21
HK,1993,10,13,0.09497582792207543,4.491675326922024e-06,6.374171082822037e-05,100.0,160,160
HK,1993,10,18,0.12532212173484594,9.187777701438533e-06,5.969280948594602e-05,100.0,33,33
HK,1993,10,14,0.061320008529448036,8.096119798891383e-06,5.9652592239154904e-05,100.0,60,60
HK,1993,10,9,5.8438255454026334e-09,1.076915795111818e-05,5.431567726469543e-05,87.8048780487805,164,164
HK,1993,10,19,0.02667452435343007,1.089075139967505e-05,5.611384319411457e-05,100.0,2,2
HK,1993,10,15,5.721519539267628e-09,2.4120571263442098e-05,3.675921684758413e-05,1.6260162601626007,123,123
HK,1993,10,6,5.409467774324531e-09,1.5745591558691927e-05,3.9334054707236117e-05,100.0,1,1
HK,1993,10,5,4.416283374518767e-09,1.453381906159204e-05,4.844606353864008e-06,100.0,1,1
HK,1993,10,20,3.441705766424558e-09,5.282682751029706e-05,1.834264844107535e-07,3.030303030303031,66,66
HK,1993,11,0,0.10797269169699232,4.404399174644046e-06,8.343749139633379e-05,100.0,7,7
HK,1993,11,4,0.10613018015175797,2.804353750176986e-06,8.326579522767089e-05,100.0,165,165
HK,1993,11,12,0.1071195695591295,2.5655274613359615e-06,8.326762608020992e-05,100.0,41,41
HK,1993,11,8,0.10262270584195649,1.971635758135564e-06,8.325527837389693e-05,100.0,153,153
HK,1993,11,2,0.0853217048328415,1.4856859543235563e-06,8.32374728098144e-05,100.0,182,182
HK,1993,11,11,0.10550263759888709,2.4192009194636016e-06,8.32447231838078e-05,100.0,61,61
HK,1993,11,17,0.1210981515340414,4.659243864391023e-06,8.340685476512402e-05,100.0,5,5
HK,1993,11,3,0.11227257986173475,2.63334525968634e-06,8.320836799036712e-05,100.0,157,157
HK,1993,11,21,0.11733368695899721,5.254452946565278e-06,8.341413851993916e-05,100.0,4,4
HK,1993,11,16,0.10619931367471962,3.9625240828979876e-06,8.323876929331987e-05,100.0,8,8
HK,1993,11,22,0.11100348912216684,3.3840555275045047e-06,8.289661906711447e-05,100.0,21,21
HK,1993,11,13,0.11798989850243326,2.457157451901535e-06,8.286051836734914e-05,100.0,160,160
HK,1993,11,18,0.12295652577117966,5.235539783314574e-06,8.078057456731167e-05,100.0,33,33
HK,1993,11,14,0.1068222721535039,4.571346392790389e-06,8.07574901080716e-05,100.0,60,60
HK,1993,11,9,0.0652363028319104,5.7007250386231375e-06,7.806114138047582e-05,100.0,164,164
HK,1993,11,19,0.08527378003525835,8.690439215788385e-06,7.950057039669462e-05,100.0,2,2
HK,1993,11,15,0.007081003488012521,1.242019551506218e-05,6.96393158764123e-05,98.3739837398374,123,123
HK,1993,11,6,0.032304127384130514,1.1072755126119505e-05,7.1459323843781e-05,100.0,1,1
HK,1993,11,5,1.3842595897199332e-09,1.115858937555303e-05,5.417326328614329e-05,100.0,1,1
HK,1993,11,20,0.028418953745761835,2.7318320766589327e-05,5.0548588774731665e-05,95.45454545454545,66,66
HK,1993,11,10,1.2158860013763307e-09,5.382924433481903e-05,9.046931820977982e-08,0.0,150,150
HK,1993,11,7,1.2156870703720375e-09,2.037240838634614e-05,2.454507034499533e-07,0.0,21,21
HK,1993,11,1,1.178122046730528e-09,4.537613156647722e-05,1.1259585996644427e-07,15.044247787610615,113,113
HK,1994,1,22,7.172023589870903e-09,0.0001889719430826429,2.2231993303840338e-06,0.0,21,21
HK,1994,1,16,5.907506140961851e-09,0.00018341270441860403,5.394491306429531e-06,0.0,8,8
HK,1994,2,22,1.3710377523534769e-09,0.00018261373834432414,9.27272595712915e-06,0.0,21,21
HK,1994,2,16,1.3561052212122584e-09,0.0001782137157459964,1.2365908910313456e-05,12.5,8,8
HK,1994,2,12,1.660108953312127e-09,0.0001806350206156697,1.0816468300339484e-06,9.756097560975604,41,41
HK,1994,2,13,1.2547356614628597e-09,0.00018576922778519754,2.806181688598152e-07,3.125,160,160
HK,1994,3,22,9.987683911081146e-09,0.0001613502169094011,4.8019981661563265e-05,61.904761904761905,21,21
HK,1994,3,16,8.360448413435684e-09,0.0001606114563284296,5.084561017817117e-05,12.5,8,8
HK,1994,3,12,4.8894008573232305e-09,0.00015874898331811701,4.2038232116213904e-05,12.195121951219505,41,41
HK,1994,3,13,3.4167348137038346e-08,0.00016103491633327594,4.133089456235848e-05,3.125,160,160
HK,1994,3,21,2.055920677495595e-08,0.00020037178689480696,1.113176593860039e-05,25.0,4,4
HK,1994,3,4,2.002452850018501e-08,0.00023018909439887817,3.6771420830491695e-07,0.6060606060606091,165,165
HK,1994,4,22,5.319344394513287e-10,0.0001559878006905013,7.153392288273751e-05,61.904761904761905,21,21
HK,1994,4,16,1.3807885792937141e-09,0.00015673283069823153,7.430856142456208e-05,0.0,8,8
HK,1994,4,12,1.3554308175309567e-09,0.0001527203256290269,6.619523926889082e-05,12.195121951219505,41,41
HK,1994,4,13,1.0180769855462481e-09,0.0001541670080155844,6.5513626977813e-05,8.125,160,160
HK,1994,4,21,9.660000048179705e-10,0.0001929255106581537,4.05760983347058e-05,50.0,4,4
HK,1994,4,4,1.2562647856872176e-09,0.00021788247689886756,3.020606948417123e-05,0.6060606060606091,165,165
HK,1994,4,19,1.4690816380449257e-09,0.00020365319413483205,3.394219902247206e-05,100.0,2,2
HK,1994,4,17,1.1703251218393964e-09,0.0002025162719690298,8.8050553030013e-06,20.0,5,5
HK,1994,5,22,1.1538151316137057e-08,0.0001370514454783659,0.00012200890203338423,33.33333333333334,21,21
HK,1994,5,16,1.5284111661503266e-08,0.0001396965146285214,0.0001245052531050659,87.5,8,8
HK,1994,5,12,1.4941170773958067e-08,0.0001329510623588774,0.00011836421135317467,95.1219512195122,41,41
HK,1994,5,13,1.0493194742151022e-08,0.00013293793381494919,0.00011776890979615743,12.5,160,160
HK,1994,5,21,1.0920117718471708e-08,0.00016613548981704194,0.0001046665625969587,50.0,4,4
HK,1994,5,4,1.1227339829737751e-08,0.00018276086474469435,9.572876342584879e-05,0.6060606060606091,165,165
HK,1994,5,19,9.931186377821949e-09,0.000177853661090199,0.00010651596363393677,100.0,2,2
HK,1994,5,17,1.060178811907026e-08,0.00016842999811113237,8.419673018170657e-05,0.0,5,5
HK,1994,5,6,1.0594976301931724e-08,0.00021897096803191802,3.649516133865301e-05,100.0,1,1
HK,1994,5,11,1.0722524163974016e-08,0.00021370089903497122,8.187773909385859e-07,0.0,61,61
HK,1994,6,22,1.1770827914354521e-08,8.532663402897466e-05,0.0001881254359062377,61.904761904761905,21,21
HK,1994,6,16,5.02240036007644e-09,8.794321748273834e-05,0.0001897081583730367,100.0,8,8
HK,1994,6,12,4.832213466328129e-09,8.189886519595377e-05,0.0001866885103608605,97.5609756097561,41,41
HK,1994,6,13,1.1360254637035431e-08,8.105592426708126e-05,0.00018632053896763072,32.5,160,160
HK,1994,6,21,7.47413399307315e-09,0.00010104907940210802,0.00018532525285078316,75.0,4,4
HK,1994,6,4,1.0598807449538632e-08,0.0001059675688664597,0.00017988069237278104,98.18181818181819,165,165
HK,1994,6,19,9.22097652099162e-09,0.00010954820802886341,0.0001922736218494319,100.0,2,2
HK,1994,6,17,1.4529583833677042e-08,9.893531564185137e-05,0.00017831712264064343,40.0,5,5
HK,1994,6,6,1.044601019176046e-08,0.0001257623979323418,0.00016841729381632614,100.0,1,1
HK,1994,6,11,8.875902431908303e-09,0.00010540791894003645,0.0001478607559193268,0.0,61,61
HK,1994,6,3,5.782580254849637e-09,0.00021747512810400404,3.3769429829814313e-07,0.6369426751592329,157,157
HK,1994,6,15,4.682511360884426e-09,0.00023047419452019625,4.7228318549220444e-07,0.0,123,123
HK,1994,7,22,0.05615406540943168,2.9281761886836325e-05,0.0001474440145101695,85.71428571428572,21,21
HK,1994,7,16,0.09252349140718738,3.132693862174753e-05,0.00014802090374155195,100.0,8,8
HK,1994,7,12,0.04631007010744875,2.7593575789659555e-05,0.00014701463288251769,100.0,41,41
HK,1994,7,13,3.28219639558812e-09,2.686466293402103e-05,0.0001468899829515995,96.25,160,160
HK,1994,7,21,0.0813537144033025,3.673887094229621e-05,0.00014721932532010018,100.0,4,4
HK,1994,7,4,2.5009743787153562e-09,3.471447119699304e-05,0.00014523373136124908,98.78787878787878,165,165
HK,1994,7,19,3.291022296865226e-09,4.226695203989785e-05,0.00015072097036941925,100.0,2,2
HK,1994,7,17,6.57403347522451e-09,3.547866328785468e-05,0.0001452190289405024,100.0,5,5
HK,1994,7,6,2.662861803411168e-09,4.7411427314780346e-05,0.00014415943267148833,100.0,1,1
HK,1994,7,11,0.001344402259582122,3.358626968309833e-05,0.00013638621114463057,100.0,61,61
HK,1994,7,3,2.296907766268102e-09,6.759519421594043e-05,9.37058793619144e-05,0.6369426751592329,157,157
HK,1994,7,15,2.388486245406843e-09,7.012025254420118e-05,9.374460692231159e-05,11.382113821138205,123,123
HK,1994,7,0,1.7001461747447509e-09,9.740293745230586e-05,3.896117498092231e-06,0.0,7,7
HK,1994,7,9,1.9556667177067993e-09,0.00012732797696749133,2.005164991614031e-07,0.6097560975609753,164,164
HK,1994,8,22,0.09140337216577805,1.444600138504809e-05,0.0001083754686277574,100.0,21,21
HK,1994,8,16,0.11283062471395601,1.5754643887187795e-05,0.00010866888754932106,100.0,8,8
HK,1994,8,12,0.07894274588049806,1.341026378471401e-05,0.00010817991392349524,100.0,41,41
HK,1994,8,13,0.041477295494577245,1.3072488920638968e-05,0.00010811935990486401,100.0,160,160
HK,1994,8,21,0.11122966390516159,1.8794488780337805e-05,0.0001084512176462861,100.0,4,4
HK,1994,8,4,0.0033293788089079745,1.684794070595454e-05,0.0001074339930240125,99.39393939393939,165,165
HK,1994,8,19,0.030844727445429296,2.1986937811644035e-05,0.00011042691012378958,100.0,2,2
HK,1994,8,17,0.05620158448115459,1.7951602842196343e-05,0.00010754292495991531,100.0,5,5
HK,1994,8,6,7.315884301383713e-10,2.4470802513976728e-05,0.00010757577691313007,100.0,1,1
HK,1994,8,11,0.06679742764191218,1.5858087893670887e-05,0.00010355806878491434,100.0,61,61
HK,1994,8,3,1.1341225237462785e-09,3.1549325633888736e-05,8.45330463261763e-05,99.36305732484077,157,157
HK,1994,8,15,5.421358602652595e-10,3.2302888742694784e-05,8.455025113424378e-05,71.54471544715447,123,123
HK,1994,8,0,4.792841052634953e-10,4.70969609553565e-05,4.234802099624801e-05,0.0,7,7
HK,1994,8,9,5.783215929819467e-10,6.115842285625407e-05,4.056045503497283e-05,10.36585365853658,164,164
HK,1994,8,5,6.746027485083367e-10,3.124875125891613e-05,1.0416250419638703e-05,0.0,1,1
HK,1994,8,7,3.53599803766997e-10,4.210225593128102e-05,5.072560955576039e-07,0.0,21,21
HK,1994,9,22,0.10520265986082064,4.3874779769154026e-06,7.561354191322536e-05,100.0,21,21
HK,1994,9,16,0.10952424953071742,5.328428092010778e-06,7.57186429985562e-05,100.0,8,8
HK,1994,9,12,0.10021701815654098,3.863490309144703e-06,7.55549863153943e-05,100.0,41,41
HK,1994,9,13,0.09339309588121388,3.5740847020247554e-06,7.553725056237383e-05,100.0,160,160
HK,1994,9,21,0.11008901637249406,6.798652577255897e-06,7.570981052577154e-05,100.0,4,4
HK,1994,9,4,0.09094794976241169,4.6079574793663165e-06,7.533946855925257e-05,99.39393939393939,165,165
HK,1994,9,19,0.10255352081186786,8.936590472146163e-06,7.663560940334545e-05,100.0,2,2
HK,1994,9,17,0.09699811553195116,6.297220650376352e-06,7.541996986017793e-05,100.0,5,5
HK,1994,9,6,0.07561640948013217,9.644474374011043e-06,7.582560282002537e-05,100.0,1,1
HK,1994,9,11,0.10504126834223242,4.4739751198289995e-06,7.423533209148277e-05,100.0,61,61
HK,1994,9,3,0.055794209971079,8.693261071955768e-06,6.895742186058088e-05,100.0,157,157
HK,1994,9,15,8.945852200000196e-10,8.951471221897207e-06,6.896226618671821e-05,97.5609756097561,123,123
HK,1994,9,0,6.442972028752235e-10,1.4016946203076436e-05,5.7611907168445026e-05,28.57142857142857,7,7
HK,1994,9,9,0.002793555127012854,1.6487996560174114e-05,5.707719466923575e-05,98.78048780487805,164,164
HK,1994,9,5,4.769627449407677e-10,1.2105216766572872e-05,5.0166477835640204e-05,100.0,1,1
HK,1994,9,7,4.736030752987288e-10,1.177965996993116e-05,4.627332919421155e-05,71.42857142857143,21,21
HK,1994,9,18,4.6358019890445013e-10,5.570532096179777e-05,4.386245745023457e-07,3.030303030303031,33,33
HK,1994,9,1,4.5996572266221527e-10,4.061703575803068e-05,1.007866892258825e-07,1.7699115044247833,113,113
HK,1994,10,22,0.10357235018326802,1.5435963253372189e-06,6.145620196935184e-05,100.0,21,21
HK,1994,10,16,0.10492875645254934,2.081581401083162e-06,6.149926499496792e-05,100.0,8,8
HK,1994,10,12,0.10245218157483227,1.2901114836912703e-06,6.142814094888263e-05,100.0,41,41
HK,1994,10,13,0.10407547079951558,1.1148887575194473e-06,6.142209985240749e-05,100.0,160,160
HK,1994,10,21,0.10603956610548194,2.8508438771832074e-06,6.144132733239392e-05,100.0,4,4
HK,1994,10,4,0.10491753973577737,1.4947985105116168e-06,6.128533497404024e-05,100.0,165,165
HK,1994,10,19,0.10580203966305525,4.054305233044345e-06,6.183199194037519e-05,100.0,2,2
HK,1994,10,17,0.10165330236358879,2.6101999557354215e-06,6.126976135613158e-05,100.0,5,5
HK,1994,10,6,0.09699564450940173,4.403687924654931e-06,6.136139057406366e-05,100.0,1,1
HK,1994,10,11,0.1135560449546431,1.6915966785283925e-06,6.0633923799948966e-05,100.0,61,61
HK,1994,10,3,0.07947626645657076,3.3842543335321567e-06,5.811328016486339e-05,100.0,157,157
HK,1994,10,15,0.05636438073085721,3.742433005406642e-06,5.8115694031643626e-05,100.0,123,123
HK,1994,10,0,0.05876653371033335,4.8322046780938e-06,5.4324696077854804e-05,100.0,7,7
HK,1994,10,9,0.07940647902266006,5.201689928389192e-06,5.413959952841368e-05,100.0,164,164
HK,1994,10,5,1.3315816218074097e-09,5.247033553188618e-06,5.2372456786783196e-05,100.0,1,1
HK,1994,10,7,1.1647587169651737e-09,3.5244864334213956e-06,5.066590929435605e-05,100.0,21,21
HK,1994,10,18,4.662348781802507e-09,1.5714643979064128e-05,3.791067162722366e-05,100.0,33,33
HK,1994,10,1,1.4581900952123005e-09,1.1503911821534505e-05,3.781547995995994e-05,100.0,113,113
HK,1994,10,10,9.71825922011758e-10,2.2510174399153565e-05,3.783222588093027e-08,0.0,150,150
HK,1994,10,14,9.410776815990264e-10,2.4668221977111834e-05,9.788976975044393e-08,0.0,60,60
HK,1994,11,22,0.11864116494283675,2.231928256086806e-06,0.00016050516144631549,100.0,21,21
HK,1994,11,16,0.12290376998816539,3.964404932550279e-06,0.00016059550361190706,100.0,8,8
HK,1994,11,12,0.11923133521467107,1.4857662318842417e-06,0.0001604669697456967,100.0,41,41
HK,1994,11,13,0.1221124360548109,8.920987293614626e-07,0.00016045942052307532,100.0,160,160
HK,1994,11,21,0.12314401540013342,6.057484136264403e-06,0.000160608820688742,100.0,4,4
HK,1994,11,4,0.11762047786448857,1.2582716550817216e-06,0.00016027430381090123,100.0,165,165
HK,1994,11,19,0.11573125684592424,9.906762891253818e-06,0.0001617593400775676,100.0,2,2
HK,1994,11,17,0.12544684274468484,5.296389308944691e-06,0.00016033849072506626,100.0,5,5
HK,1994,11,6,0.11615800292320773,1.0299133848715646e-05,0.0001611942510765162,100.0,1,1
HK,1994,11,11,0.12454542759991719,1.818854867757668e-06,0.00015948469756099385,100.0,61,61
HK,1994,11,3,0.10287717211558224,3.1694446482996932e-06,0.0001568295556196234,100.0,157,157
HK,1994,11,15,0.1114053083116947,3.748655518391771e-06,0.00015683231579286658,100.0,123,123
HK,1994,11,0,0.10731024413586474,6.430232114691952e-06,0.00015404326054972682,100.0,7,7
HK,1994,11,9,0.10942294560196121,3.667952275714288e-06,0.0001537918275679355,100.0,164,164
HK,1994,11,5,0.040274833602723194,1.2209537468749197e-05,0.0001556836453679606,100.0,1,1
HK,1994,11,7,0.07136378637132638,3.102846150903605e-06,0.00015165118323360913,100.0,21,21
HK,1994,11,18,0.06792279172000268,8.759693291349042e-06,0.00014530826430292096,100.0,33,33
HK,1994,11,1,0.07160418723014025,6.408931602653787e-06,0.00014525519339608287,100.0,113,113
HK,1994,11,10,9.64364029315857e-10,1.4961587120211831e-05,0.00012281070294960708,64.66666666666666,150,150
HK,1994,11,14,3.0770132161745366e-05,1.46315850893941e-05,0.0001228436192706281,100.0,60,60
HK,1994,11,20,1.1235657201137415e-09,0.00011663156389285473,4.049707079613011e-07,12.121212121212125,66,66
HK,1994,11,8,1.005970966789853e-09,7.264503980386564e-05,1.1107804251355597e-07,1.9607843137254974,153,153
HK,1994,11,2,9.862691889702708e-10,8.349369467497153e-05,1.1344251993881988e-07,0.0,182,182
HK,1995,1,9,7.728318482951317e-09,0.00020310339006653704,3.198478583724995e-07,0.0,164,164
HK,1995,1,13,7.285771019677293e-09,0.0001835114962608098,2.772076982791682e-07,3.125,160,160
HK,1995,2,9,1.2873008909419099e-09,0.00019199800982999533,2.9707964454646838e-05,0.6097560975609753,164,164
