dataset,seed,task,status,seconds,cvxpy,clarabel,iterations,eta,v_tilde_mean_by_class,u_mean_by_class,objective,normalized_max_constraint_violation,xi,active_constraints,primal_residual,dual_residual
HK,1993,11,optimal,6.722373369993875,1.7.3,0.11.1,17,0.1,"[4.404399174644046e-06, 2.804353750176986e-06, 2.5655274613359615e-06, 1.971635758135564e-06, 1.4856859543235563e-06, 2.4192009194636016e-06, 4.659243864391023e-06, 2.63334525968634e-06, 5.254452946565278e-06, 3.9625240828979876e-06, 3.3840555275045047e-06, 2.457157451901535e-06, 5.235539783314574e-06, 4.571346392790389e-06, 5.7007250386231375e-06, 8.690439215788385e-06, 1.242019551506218e-05, 1.1072755126119505e-05, 1.115858937555303e-05, 2.7318320766589327e-05, 5.382924433481903e-05, 2.037240838634614e-05, 4.537613156647722e-05]","[8.343749139633379e-05, 8.326579522767089e-05, 8.326762608020992e-05, 8.325527837389693e-05, 8.32374728098144e-05, 8.32447231838078e-05, 8.340685476512402e-05, 8.320836799036712e-05, 8.341413851993916e-05, 8.323876929331987e-05, 8.289661906711447e-05, 8.286051836734914e-05, 8.078057456731167e-05, 8.07574901080716e-05, 7.806114138047582e-05, 7.950057039669462e-05, 6.96393158764123e-05, 7.1459323843781e-05, 5.417326328614329e-05, 5.0548588774731665e-05, 9.046931820977982e-08, 2.454507034499533e-07, 1.1259585996644427e-07]",0.00781872563933706,0.0,"[0.10797269169699232, 0.10613018015175797, 0.1071195695591295, 0.10262270584195649, 0.0853217048328415, 0.10550263759888709, 0.1210981515340414, 0.11227257986173475, 0.11733368695899721, 0.10619931367471962, 0.11100348912216684, 0.11798989850243326, 0.12295652577117966, 0.1068222721535039, 0.0652363028319104, 0.08527378003525835, 0.007081003488012521, 0.032304127384130514, 1.3842595897199332e-09, 0.028418953745761835, 1.2158860013763307e-09, 1.2156870703720375e-09, 1.178122046730528e-09]",34,1.267537801672194e-10,1.500307399513015e-09
HK,1994,1,optimal,0.014543203986249864,1.7.3,0.11.1,6,0.1,"[0.0001889719430826429, 0.00018341270441860403]","[2.2231993303840338e-06, 5.394491306429531e-06]",6.53976486956557e-10,0.0,"[7.172023589870903e-09, 5.907506140961851e-09]",0,1.365730554517315e-10,2.5139832082119028e-09
HK,1994,2,optimal,0.24488519999431446,1.7.3,0.11.1,8,0.1,"[0.00018261373834432414, 0.0001782137157459964, 0.0001806350206156697, 0.00018576922778519754]","[9.27272595712915e-06, 1.2365908910313456e-05, 1.0816468300339484e-06, 2.806181688598152e-07]",1.410496897233317e-10,0.0,"[1.3710377523534769e-09, 1.3561052212122584e-09, 1.660108953312127e-09, 1.2547356614628597e-09]",0,1.975495546249422e-11,6.233361303252426e-10
HK,1994,3,optimal,0.1015916169853881,1.7.3,0.11.1,8,0.1,"[0.0001613502169094011, 0.0001606114563284296, 0.00015874898331811701, 0.00016103491633327594, 0.00020037178689480696, 0.00023018909439887817]","[4.8019981661563265e-05, 5.084561017817117e-05, 4.2038232116213904e-05, 4.133089456235848e-05, 1.113176593860039e-05, 3.6771420830491695e-07]",1.6331436164713058e-09,0.0,"[9.987683911081146e-09, 8.360448413435684e-09, 4.8894008573232305e-09, 3.4167348137038346e-08, 2.055920677495595e-08, 2.002452850018501e-08]",0,2.453469852838462e-10,3.5056618798593766e-09
HK,1994,4,optimal,0.2079188609495759,1.7.3,0.11.1,9,0.1,"[0.0001559878006905013, 0.00015673283069823153, 0.0001527203256290269, 0.0001541670080155844, 0.0001929255106581537, 0.00021788247689886756, 0.00020365319413483205, 0.0002025162719690298]","[7.153392288273751e-05, 7.430856142456208e-05, 6.619523926889082e-05, 6.5513626977813e-05, 4.05760983347058e-05, 3.020606948417123e-05, 3.394219902247206e-05, 8.8050553030013e-06]",1.1434877968034434e-10,0.0,"[5.319344394513287e-10, 1.3807885792937141e-09, 1.3554308175309567e-09, 1.0180769855462481e-09, 9.660000048179705e-10, 1.2562647856872176e-09, 1.4690816380449257e-09, 1.1703251218393964e-09]",0,1.2284470883848757e-11,4.0929101193457085e-11
HK,1994,5,optimal,0.353682825982105,1.7.3,0.11.1,9,0.1,"[0.0001370514454783659, 0.0001396965146285214, 0.0001329510623588774, 0.00013293793381494919, 0.00016613548981704194, 0.00018276086474469435, 0.000177853661090199, 0.00016842999811113237, 0.00021897096803191802, 0.00021370089903497122]","[0.00012200890203338423, 0.0001245052531050659, 0.00011836421135317467, 0.00011776890979615743, 0.0001046665625969587, 9.572876342584879e-05, 0.00010651596363393677, 8.419673018170657e-05, 3.649516133865301e-05, 8.187773909385859e-07]",1.1625456136152898e-09,0.0,"[1.1538151316137057e-08, 1.5284111661503266e-08, 1.4941170773958067e-08, 1.0493194742151022e-08, 1.0920117718471708e-08, 1.1227339829737751e-08, 9.931186377821949e-09, 1.060178811907026e-08, 1.0594976301931724e-08, 1.0722524163974016e-08]",0,1.4919905005412785e-10,7.983071616982675e-10
HK,1994,6,optimal,0.6092466239933856,1.7.3,0.11.1,10,0.1,"[8.532663402897466e-05, 8.794321748273834e-05, 8.189886519595377e-05, 8.105592426708126e-05, 0.00010104907940210802, 0.0001059675688664597, 0.00010954820802886341, 9.893531564185137e-05, 0.0001257623979323418, 0.00010540791894003645, 0.00021747512810400404, 0.00023047419452019625]","[0.0001881254359062377, 0.0001897081583730367, 0.0001866885103608605, 0.00018632053896763072, 0.00018532525285078316, 0.00017988069237278104, 0.0001922736218494319, 0.00017831712264064343, 0.00016841729381632614, 0.0001478607559193268, 3.3769429829814313e-07, 4.7228318549220444e-07]",8.716759385455585e-10,0.0,"[1.1770827914354521e-08, 5.02240036007644e-09, 4.832213466328129e-09, 1.1360254637035431e-08, 7.47413399307315e-09, 1.0598807449538632e-08, 9.22097652099162e-09, 1.4529583833677042e-08, 1.044601019176046e-08, 8.875902431908303e-09, 5.782580254849637e-09, 4.682511360884426e-09]",0,5.982126088738063e-11,5.093548341523076e-10
HK,1994,7,optimal,1.4762854350265115,1.7.3,0.11.1,12,0.1,"[2.9281761886836325e-05, 3.132693862174753e-05, 2.7593575789659555e-05, 2.686466293402103e-05, 3.673887094229621e-05, 3.471447119699304e-05, 4.226695203989785e-05, 3.547866328785468e-05, 4.7411427314780346e-05, 3.358626968309833e-05, 6.759519421594043e-05, 7.012025254420118e-05, 9.740293745230586e-05, 0.00012732797696749133]","[0.0001474440145101695, 0.00014802090374155195, 0.00014701463288251769, 0.0001468899829515995, 0.00014721932532010018, 0.00014523373136124908, 0.00015072097036941925, 0.0001452190289405024, 0.00014415943267148833, 0.00013638621114463057, 9.37058793619144e-05, 9.374460692231159e-05, 3.896117498092231e-06, 2.005164991614031e-07]",0.002091234522139529,0.0,"[0.05615406540943168, 0.09252349140718738, 0.04631007010744875, 3.28219639558812e-09, 0.0813537144033025, 2.5009743787153562e-09, 3.291022296865226e-09, 6.57403347522451e-09, 2.662861803411168e-09, 0.001344402259582122, 2.296907766268102e-09, 2.388486245406843e-09, 1.7001461747447509e-09, 1.9556667177067993e-09]",5,2.7483506255329752e-11,1.677540495742238e-10
HK,1994,8,optimal,2.155593622010201,1.7.3,0.11.1,14,0.1,"[1.444600138504809e-05, 1.5754643887187795e-05, 1.341026378471401e-05, 1.3072488920638968e-05, 1.8794488780337805e-05, 1.684794070595454e-05, 2.1986937811644035e-05, 1.7951602842196343e-05, 2.4470802513976728e-05, 1.5858087893670887e-05, 3.1549325633888736e-05, 3.2302888742694784e-05, 4.70969609553565e-05, 6.115842285625407e-05, 3.124875125891613e-05, 4.210225593128102e-05]","[0.0001083754686277574, 0.00010866888754932106, 0.00010817991392349524, 0.00010811935990486401, 0.0001084512176462861, 0.0001074339930240125, 0.00011042691012378958, 0.00010754292495991531, 0.00010757577691313007, 0.00010355806878491434, 8.45330463261763e-05, 8.455025113424378e-05, 4.234802099624801e-05, 4.056045503497283e-05, 1.0416250419638703e-05, 5.072560955576039e-07]",0.0038919098525998035,0.0,"[0.09140337216577805, 0.11283062471395601, 0.07894274588049806, 0.041477295494577245, 0.11122966390516159, 0.0033293788089079745, 0.030844727445429296, 0.05620158448115459, 7.315884301383713e-10, 0.06679742764191218, 1.1341225237462785e-09, 5.421358602652595e-10, 4.792841052634953e-10, 5.783215929819467e-10, 6.746027485083367e-10, 3.53599803766997e-10]",13,6.4519920666028476e-12,3.177664193772597e-11
HK,1994,9,optimal,3.4049859899678268,1.7.3,0.11.1,15,0.1,"[4.3874779769154026e-06, 5.328428092010778e-06, 3.863490309144703e-06, 3.5740847020247554e-06, 6.798652577255897e-06, 4.6079574793663165e-06, 8.936590472146163e-06, 6.297220650376352e-06, 9.644474374011043e-06, 4.4739751198289995e-06, 8.693261071955768e-06, 8.951471221897207e-06, 1.4016946203076436e-05, 1.6487996560174114e-05, 1.2105216766572872e-05, 1.177965996993116e-05, 5.570532096179777e-05, 4.061703575803068e-05]","[7.561354191322536e-05, 7.57186429985562e-05, 7.55549863153943e-05, 7.553725056237383e-05, 7.570981052577154e-05, 7.533946855925257e-05, 7.663560940334545e-05, 7.541996986017793e-05, 7.582560282002537e-05, 7.423533209148277e-05, 6.895742186058088e-05, 6.896226618671821e-05, 5.7611907168445026e-05, 5.707719466923575e-05, 5.0166477835640204e-05, 4.627332919421155e-05, 4.386245745023457e-07, 1.007866892258825e-07]",0.005983832255424113,0.0,"[0.10520265986082064, 0.10952424953071742, 0.10021701815654098, 0.09339309588121388, 0.11008901637249406, 0.09094794976241169, 0.10255352081186786, 0.09699811553195116, 0.07561640948013217, 0.10504126834223242, 0.055794209971079, 8.945852200000196e-10, 6.442972028752235e-10, 0.002793555127012854, 4.769627449407677e-10, 4.736030752987288e-10, 4.6358019890445013e-10, 4.5996572266221527e-10]",13,1.3065504878247639e-11,9.882403164635431e-11
HK,1994,10,optimal,4.0577630790066905,1.7.3,0.11.1,19,0.1,"[1.5435963253372189e-06, 2.081581401083162e-06, 1.2901114836912703e-06, 1.1148887575194473e-06, 2.8508438771832074e-06, 1.4947985105116168e-06, 4.054305233044345e-06, 2.6101999557354215e-06, 4.403687924654931e-06, 1.6915966785283925e-06, 3.3842543335321567e-06, 3.742433005406642e-06, 4.8322046780938e-06, 5.201689928389192e-06, 5.247033553188618e-06, 3.5244864334213956e-06, 1.5714643979064128e-05, 1.1503911821534505e-05, 2.2510174399153565e-05, 2.4668221977111834e-05]","[6.145620196935184e-05, 6.149926499496792e-05, 6.142814094888263e-05, 6.142209985240749e-05, 6.144132733239392e-05, 6.128533497404024e-05, 6.183199194037519e-05, 6.126976135613158e-05, 6.136139057406366e-05, 6.0633923799948966e-05, 5.811328016486339e-05, 5.8115694031643626e-05, 5.4324696077854804e-05, 5.413959952841368e-05, 5.2372456786783196e-05, 5.066590929435605e-05, 3.791067162722366e-05, 3.781547995995994e-05, 3.783222588093027e-08, 9.788976975044393e-08]",0.006700922887386398,0.0,"[0.10357235018326802, 0.10492875645254934, 0.10245218157483227, 0.10407547079951558, 0.10603956610548194, 0.10491753973577737, 0.10580203966305525, 0.10165330236358879, 0.09699564450940173, 0.1135560449546431, 0.07947626645657076, 0.05636438073085721, 0.05876653371033335, 0.07940647902266006, 1.3315816218074097e-09, 1.1647587169651737e-09, 4.662348781802507e-09, 1.4581900952123005e-09, 9.71825922011758e-10, 9.410776815990264e-10]",24,1.6388802431150232e-10,2.3581941364699533e-09
HK,1994,11,optimal,7.370685286994558,1.7.3,0.11.1,17,0.1,"[2.231928256086806e-06, 3.964404932550279e-06, 1.4857662318842417e-06, 8.920987293614626e-07, 6.057484136264403e-06, 1.2582716550817216e-06, 9.906762891253818e-06, 5.296389308944691e-06, 1.0299133848715646e-05, 1.818854867757668e-06, 3.1694446482996932e-06, 3.748655518391771e-06, 6.430232114691952e-06, 3.667952275714288e-06, 1.2209537468749197e-05, 3.102846150903605e-06, 8.759693291349042e-06, 6.408931602653787e-06, 1.4961587120211831e-05, 1.46315850893941e-05, 0.00011663156389285473, 7.264503980386564e-05, 8.349369467497153e-05]","[0.00016050516144631549, 0.00016059550361190706, 0.0001604669697456967, 0.00016045942052307532, 0.000160608820688742, 0.00016027430381090123, 0.0001617593400775676, 0.00016033849072506626, 0.0001611942510765162, 0.00015948469756099385, 0.0001568295556196234, 0.00015683231579286658, 0.00015404326054972682, 0.0001537918275679355, 0.0001556836453679606, 0.00015165118323360913, 0.00014530826430292096, 0.00014525519339608287, 0.00012281070294960708, 0.0001228436192706281, 4.049707079613011e-07, 1.1107804251355597e-07, 1.1344251993881988e-07]",0.008582256836623819,0.0,"[0.11864116494283675, 0.12290376998816539, 0.11923133521467107, 0.1221124360548109, 0.12314401540013342, 0.11762047786448857, 0.11573125684592424, 0.12544684274468484, 0.11615800292320773, 0.12454542759991719, 0.10287717211558224, 0.1114053083116947, 0.10731024413586474, 0.10942294560196121, 0.040274833602723194, 0.07136378637132638, 0.06792279172000268, 0.07160418723014025, 9.64364029315857e-10, 3.0770132161745366e-05, 1.1235657201137415e-09, 1.005970966789853e-09, 9.862691889702708e-10]",31,5.933362743595506e-11,8.105561428012563e-10
HK,1995,1,optimal,0.0146065519656986,1.7.3,0.11.1,6,0.1,"[0.00020310339006653704, 0.0001835114962608098]","[3.198478583724995e-07, 2.772076982791682e-07]",7.507044756653378e-10,0.0,"[7.728318482951317e-09, 7.285771019677293e-09]",0,1.5815334714710693e-10,9.890988787439645e-09
HK,1995,2,optimal,0.04423481097910553,1.7.3,0.11.1,7,0.1,"[0.00019199800982999533, 0.0001716047588700101, 0.00019038633416499425, 0.00022976287380344738]","[2.9707964454646838e-05, 2.9664827074184374e-05, 5.599598063676305e-06, 9.117574357279653e-07]",2.1609533237650315e-10,0.0,"[1.2873008909419099e-09, 1.3373018573686226e-09, 3.431053477661838e-09, 2.588157067671698e-09]",0,3.202044868416647e-11,5.394858490271204e-10
HK,1995,3,optimal,0.09717214800184593,1.7.3,0.11.1,8,0.1,"[0.00017067548794445458, 0.00015249889059621758, 0.00016994493661635923, 0.00020416104569530262, 0.00024152136825829004, 0.0001682600407148612]","[6.772111874062613e-05, 6.768269930657851e-05, 4.599431191952646e-05, 4.1806094310553256e-05, 4.949208365948574e-07, 5.608668023828703e-05]",2.7632127354745753e-10,0.0,"[4.335829220746639e-09, 3.2044679955521845e-09, 2.116015134316139e-09, 2.989837114668902e-09, 1.8372236124021703e-09, 2.095903330162416e-09]",0,3.255420145111221e-11,4.298749667035709e-10
HK,1995,4,optimal,0.20142548898002133,1.7.3,0.11.1,9,0.1,"[0.00011816324833396139, 0.00010449096797326408, 0.00011937679791967746, 0.000136521158579233, 0.00016917364465009814, 0.00012501923085393092, 0.00017955898547564357, 0.0001598752548213179]","[9.435564914685435e-05, 9.432740663255951e-05, 8.26829343053645e-05, 7.97136026428919e-05, 4.670294426006337e-05, 8.802935390676287e-05, 1.0752035058421786e-06, 3.967127911198959e-07]",7.585760383446284e-11,0.0,"[7.520347487269981e-10, 7.492297178453742e-10, 7.126085725757305e-10, 3.145485145256997e-10, 8.120561917208011e-10, 1.023929482758435e-09, 9.72234723587111e-10, 7.319663542368618e-10]",0,7.264366811384931e-12,8.514503050017736e-11
HK,1995,5,optimal,0.5272309120045975,1.7.3,0.11.1,9,0.1,"[5.300779482649947e-05, 4.6365965560777716e-05, 5.742821305696721e-05, 5.958006711810369e-05, 7.72148826351591e-05, 7.209985554486105e-05, 7.824803462168512e-05, 6.953193563409172e-05, 0.00014445615748869927, 0.00018470057475660135]","[0.00015329711525406524, 0.00015328367763471992, 0.00014963235094327877, 0.00014817971469113856, 0.00013188152775407466, 0.00015575658571718025, 0.000116055194199329, 0.000115759178914242, 2.208809747533632e-07, 2.172947938312962e-06]",8.320380732304214e-10,0.0,"[8.279339480933565e-09, 7.03443031302605e-09, 1.0014046730464112e-08, 1.411534243839202e-08, 7.747572455346198e-09, 7.771558827558205e-09, 9.132071883093027e-09, 7.632708334564752e-09, 4.618621503813996e-09, 6.858115066866351e-09]",0,4.4718634401945e-11,4.916802957870693e-10
HK,1995,6,optimal,0.6284533889847808,1.7.3,0.11.1,11,0.1,"[3.921332205696393e-05, 3.39904727265229e-05, 4.6091457757066596e-05, 4.354458802036464e-05, 5.7109263267723876e-05, 6.712715913502385e-05, 5.773545231396685e-05, 5.059494043479373e-05, 0.00010195051645186581, 0.0001329133339615168, 0.0001118429118042526, 0.0001536550169249796]","[0.00015341619061380908, 0.00015340578247569135, 0.00015122817293983034, 0.00015004533781353636, 0.0001376873918096963, 0.0001599460843425436, 0.0001273551856922212, 0.00012713501017878293, 4.7751951655454185e-05, 4.915975029751954e-05, 1.8640485300708698e-05, 6.680652909781721e-06]",6.936568543412456e-11,0.0,"[6.889490513928637e-10, 5.513918005544233e-10, 1.0671404326126237e-09, 4.4051800462832976e-10, 6.691011590662235e-10, 6.56706257923454e-10, 6.612549781048656e-10, 6.541021158910186e-10, 8.168850616941099e-10, 6.701714348395665e-10, 7.313321525793205e-10, 7.16329657028829e-10]",0,4.191155209397002e-12,1.1558242872734567e-11
