class_W_delta_norm,class_id,component_count,dataset,gamma,gate_reason,margin,margin_lower_bound,reliability,seed,semantic_scale,task
1.7095200412612627e-13,3,644,HK,0.0,margin_nonpositive,-0.033612974215940714,-0.034361696291642714,0.0,1993,1.264416924762709,4
1.5996834109599742e-13,0,25,HK,0.0,margin_nonpositive,-0.022605544870267894,-0.025095398453322107,0.0,1993,0.758597027543203,5
1.1708317104253943e-13,4,626,HK,0.0,margin_nonpositive,-0.011089344115539643,-0.011593072046680586,0.0,1993,0.758597027543203,5
1.3659232443807613e-13,12,167,HK,0.0,margin_nonpositive,-0.015396806403453245,-0.01565075458041449,0.0,1993,0.758597027543203,5
1.3249925027667746e-13,8,654,HK,0.0,margin_nonpositive,-0.005764956447036375,-0.006237627188431082,0.0,1993,0.758597027543203,5
1.3912671723418818e-13,2,736,HK,0.0,margin_nonpositive,-0.046520789357609636,-0.04697316979825726,0.0,1993,0.758597027543203,5
0.01963837313552674,11,261,HK,1.3972930202698135e-05,active,0.005831593992232852,0.005322519241677136,0.37866640849311944,1993,0.758597027543203,5
1.4328796482424734e-13,17,23,HK,0.0,margin_nonpositive,-0.00605788484086915,-0.008406163762457472,0.0,1993,0.758597027543203,5
1.3675821628348075e-13,3,644,HK,0.0,margin_nonpositive,-0.04037485990067165,-0.041086170808087866,0.0,1993,0.758597027543203,5
1.1238961343932507e-13,21,18,HK,0.0,margin_nonpositive,-0.02327191259600691,-0.02662435566520994,0.0,1993,0.758597027543203,5
1.2659796588886832e-13,16,34,HK,0.0,margin_nonpositive,-0.021048252515485723,-0.02297122213449443,0.0,1993,0.758597027543203,5
1.9021499869109908e-13,0,25,HK,0.0,margin_nonpositive,-0.022605564810149366,-0.02508754522346012,0.0,1993,0.6780031262172931,6
1.7882120100229276e-13,4,626,HK,0.0,margin_nonpositive,-0.0110893509652308,-0.011593004830194752,0.0,1993,0.6780031262172931,6
2.0364595227230226e-13,12,167,HK,0.0,margin_nonpositive,-0.01539682772843265,-0.01565279851938814,0.0,1993,0.6780031262172931,6
2.1570626550668148e-13,8,654,HK,0.0,margin_nonpositive,-0.005764992381248729,-0.006237725533686418,0.0,1993,0.6780031262172931,6
1.2840342212062596e-13,2,736,HK,0.0,margin_nonpositive,-0.046520843857508515,-0.04697350427575454,0.0,1993,0.6780031262172931,6
0.01722756237828361,11,261,HK,1.396737884053525e-05,active,0.005831593935155437,0.0053222219904544565,0.3785159665785052,1993,0.6780031262172931,6
1.861425935182118e-13,17,23,HK,0.0,margin_nonpositive,-0.006057842855719683,-0.008414774128801584,0.0,1993,0.6780031262172931,6
2.0026940257417907e-13,3,644,HK,0.0,margin_nonpositive,-0.04037484817974445,-0.041086189433211906,0.0,1993,0.6780031262172931,6
2.0523747210448865e-13,21,18,HK,0.0,margin_nonpositive,-0.023271882686225438,-0.026611075169801535,0.0,1993,0.6780031262172931,6
1.1024830824225966e-13,16,34,HK,0.0,margin_nonpositive,-0.021048245911163173,-0.02296972582978249,0.0,1993,0.6780031262172931,6
1.3839300028443216e-13,22,85,HK,0.0,margin_nonpositive,-0.010877908954407914,-0.012409382100078225,0.0,1993,0.6780031262172931,6
1.7258702308329254e-13,13,662,HK,0.0,margin_nonpositive,-0.025850607965023163,-0.02631965342212403,0.0,1993,0.6780031262172931,6
9.959746680408332e-14,0,25,HK,0.0,margin_nonpositive,-0.022605544495853745,-0.025080152538044506,0.0,1993,0.6436321395177724,7
9.070862111253504e-14,4,626,HK,0.0,margin_nonpositive,-0.011089392430332702,-0.011593172649278716,0.0,1993,0.6436321395177724,7
9.104873205557799e-14,12,167,HK,0.0,margin_nonpositive,-0.015396802083767779,-0.01565457994906576,0.0,1993,0.6436321395177724,7
1.46035348196807e-13,8,654,HK,0.0,margin_nonpositive,-0.005764989494351114,-0.006237785540626841,0.0,1993,0.6436321395177724,7
1.120741353107427e-13,2,736,HK,0.0,margin_nonpositive,-0.046520867194470364,-0.046973733659891034,0.0,1993,0.6436321395177724,7
0.01561883476883305,11,261,HK,1.3965394278920369e-05,active,0.005831575484197956,0.005322098856204532,0.37846218495874195,1993,0.6436321395177724,7
9.47104855034144e-14,17,23,HK,0.0,margin_nonpositive,-0.006057820920117164,-0.00840981440420805,0.0,1993,0.6436321395177724,7
1.1566841633687335e-13,3,644,HK,0.0,margin_nonpositive,-0.040374867163628265,-0.04108623303002145,0.0,1993,0.6436321395177724,7
1.0828179573720456e-13,21,18,HK,0.0,margin_nonpositive,-0.02327192649306509,-0.02661491498955286,0.0,1993,0.6436321395177724,7
1.0189407098196778e-13,16,34,HK,0.0,margin_nonpositive,-0.021048205300525577,-0.02296953758977113,0.0,1993,0.6436321395177724,7
